Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Penerimaan Klaim Pajak,Pembayaran Pajak,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Uang Muka Pembelian Aset Tetap,Penambahan Aset Tak Berwujud,Pelepasan Investasi Jangka Pendek,Penambahan Investasi Jangka Pendek,Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Penambahan Biaya Emisi Saham,Penambahan Setoran Modal Dari Penawaran Umum,Tambahan Modal Disetor Dari Pelaksanaan Waran,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penambahan Utang Lain-Lain,Pengurangan Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-1148433593.000000,31061060395.000000,-31617371155.000000,43271942.000000,,-635394775.000000,,-1148433593.000000,-1901789182.000000,-1901789182.000000,,,,,,-1901789182.000000,8684578547.000000,,,,,,,8684578547.000000,,8684578547.000000,5634355772.000000,,2629109332.000000,8263465104.000000
12M 2021,5680607924.000000,51499699898.000000,-45845884960.000000,41806059.000000,,-15013073.000000,,5680607924.000000,-80176500.000000,-80176500.000000,,,,,,-80176500.000000,-11098900003.000000,,,,,,,,-11098900003.000000,-11098900003.000000,-5498468579.000000,,8263465104.000000,2764996525.000000
12M 2022,10875211134.000000,72198837009.000000,-60234613169.000000,31011654.000000,,-1120024360.000000,,10875211134.000000,-1247308396.000000,-1230515241.000000,,,,-16793155.000000,,-1247308396.000000,3900000000.000000,11000000000.000000,,,,,,,-7100000000.000000,3900000000.000000,13527902738.000000,,4275935890.000000,17803838628.000000
12M 2023,-32120813071.000000,77926582573.000000,-105755483373.000000,88641334.000000,,-4380553605.000000,,-32120813071.000000,-24473592126.000000,-7508633938.000000,-7335000000.000000,-9630000000.000000,41812.000000,,,-24473592126.000000,62195376575.000000,27000000000.000000,-4908623425.000000,40104000000.000000,,,,,,62195376575.000000,5600971378.000000,,17803838628.000000,23404810006.000000
12M 2024,-42098493523.000000,83534711924.000000,-123496458602.000000,93377350.000000,,-2230124195.000000,,-42098493523.000000,-2330371903.000000,-2332122744.000000,,-15000502.000000,16751343.000000,,,-2330371903.000000,30578958002.000000,,,,7163100.000000,19255032402.000000,,11316762500.000000,,30578958002.000000,-13849907424.000000,,23404810006.000000,9554902582.000000
