Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,37435375532.000000,-33467749557.000000,3967625975.000000,,,,3967625975.000000,-1589066694.000000,-1589066694.000000,-1589066694.000000,2378559281.000000,-726879547.000000,1651679734.000000,-5286840.000000,1646392894.000000,1651679734.000000,1651679734.000000,,1651679734.000000,1646392894.000000,1646392894.000000,,1646392894.000000
12M 2021,41244048389.000000,-35469868051.000000,5774180338.000000,,,,5774180338.000000,-3635748548.000000,-3635748548.000000,-3635748548.000000,2138431790.000000,-465155524.000000,1673276266.000000,-63180.000000,1673213086.000000,1673276266.000000,1673276266.000000,,1673276266.000000,1673213086.000000,1673213086.000000,,1673213086.000000
12M 2022,66008974393.000000,-49656223149.000000,16352751244.000000,-7486818918.000000,,-7486818918.000000,8865932326.000000,-375487894.000000,-375487894.000000,-375487894.000000,8490444432.000000,-2215511523.000000,6274932909.000000,-2988960.000000,6271943949.000000,6274932909.000000,6274932909.000000,,6274932909.000000,6271943949.000000,6271943949.000000,,6271943949.000000
12M 2023,64391660574.000000,-39873188195.000000,24518472379.000000,-15711779864.000000,,-15711779864.000000,8806692515.000000,-423325481.000000,-423325481.000000,-423325481.000000,8383367034.000000,-1894898412.000000,6488468622.000000,147306499.000000,6635775121.000000,6488468622.000000,6478162147.000000,10306475.000000,6488468622.000000,6635775121.000000,6625468646.000000,10306475.000000,6635775121.000000
12M 2024,72525962894.000000,-47101538181.000000,25424424713.000000,-18330866510.000000,,-18330866510.000000,7093558203.000000,-1403733296.000000,-1403733296.000000,-1403733296.000000,5689824907.000000,-3020550146.000000,2669274761.000000,-64846712.000000,2604428049.000000,2669274761.000000,2657390553.000000,11884208.000000,2669274761.000000,2604428049.000000,2590790242.000000,13637807.000000,2604428049.000000
