Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,825839.87,0.00,0.00,4.11 B,6.48%,41.26%,195.28%,
12M 2021,0.00 B,836638.13,0.00,0.00,,8.84%,29.48%,118.22%,
12M 2022,0.00 B,9653.74,0.00,0.00,9.52 B,11.64%,13.85%,34.38%,
12M 2023,1.46 B,4.44,20.72,2.08,10.07 B,7.18%,7.59%,13.34%,
12M 2024,1.46 B,1.82,52.20,1.91,9.75 B,1.52%,3.02%,7.29%,
