Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Dari Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Atas Pelepasan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembiayaan,Penerimaan Dari Penawaran Umum Perdana,Penambahan Utang Bank,Pembayaran Utang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Biaya Emisi Saham,Peningkatan Modal Saham,Pembayaran Liabilitas Sewa,Pembagian Dividen,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,8176115430.000000,62000547008.000000,-28416926164.000000,-8445608131.000000,-13497864967.000000,20512761.000000,-95131045.000000,-3932785836.000000,543371804.000000,8176115430.000000,-10411193329.000000,-4383020278.000000,90000000.000000,-7768173051.000000,1650000000.000000,-10411193329.000000,986531006.000000,-242148994.000000,,,238680000.000000,990000000.000000,,,,,,,986531006.000000,-1248546893.000000,4590028783.000000,3341481890.000000
12M 2021,23670485475.000000,93826144633.000000,-51481807676.000000,-1401698250.000000,-14246907156.000000,55472915.000000,-134242704.000000,-3287230473.000000,340754186.000000,23670485475.000000,-18206725464.000000,-16738177499.000000,727273.000000,-1469275238.000000,,-18206725464.000000,12810854411.000000,-1517427199.000000,,,-35671718390.000000,,,50000000000.000000,,,,,12810854411.000000,18274614422.000000,3341481890.000000,21616096312.000000
12M 2022,47158234738.000000,129195426128.000000,-82247791403.000000,,,101740667.000000,-75727359.000000,-1340504581.000000,1525091286.000000,47158234738.000000,-19982450055.000000,-19082695566.000000,422342342.000000,-1322096831.000000,,-19982450055.000000,-19522747492.000000,798800087.000000,,,-267167050.000000,,,,,-20054380529.000000,,,-19522747492.000000,7653037191.000000,21616096312.000000,29269133503.000000
12M 2023,25097012226.000000,140299247886.000000,-86701191838.000000,,,,-133050590.000000,-13034897872.000000,-15333095360.000000,25097012226.000000,-21427942079.000000,-9323051687.000000,,-12104890392.000000,,-21427942079.000000,-696280481.000000,570022239.000000,,1000000000.000000,-232575000.000000,,-2033727720.000000,,,,,,-696280481.000000,3616131800.000000,,32885265303.000000
12M 2024,46033158361.000000,179469929387.000000,-121386709006.000000,,,1703062257.000000,-1693638447.000000,-11954129321.000000,-105356509.000000,46033158361.000000,-58006706664.000000,-18705818760.000000,1124909911.000000,-40425797815.000000,,-58006706664.000000,118124374080.000000,-752402301.000000,120000000000.000000,5000000000.000000,-110000.000000,,-2426713773.000000,,-36000000.000000,-2870265953.000000,-790133893.000000,,118124374080.000000,106150825777.000000,32885265303.000000,139036091080.000000
