Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,3341481890.000000,9755994016.000000,15939000.000000,9740055016.000000,9755994016.000000,26650000.000000,14240906633.000000,18053159635.000000,45418192174.000000,,86596365750.000000,224574273.000000,,86820940023.000000,132239132197.000000,,,11346959355.000000,,1307261412.000000,7652094729.000000,8959356141.000000,643386722.000000,97456876.000000,,,107131100.000000,107131100.000000,,,1539628516.000000,,1539628516.000000,,11346959355.000000,37680883440.000000,36177565440.000000,,,551840000.000000,,551840000.000000,951478000.000000,37680883440.000000,49027842795.000000,,50000000000.000000,,33211289402.000000,100000000.000000,33227322982.000000,-116033580.000000,33211289402.000000,83211289402.000000,132239132197.000000,50000.000000
12M 2021,,,21616096312.000000,13021147613.000000,,13021147613.000000,13021147613.000000,,9750971334.000000,4794316760.000000,49182532019.000000,,105045443664.000000,199086221.000000,,105244529885.000000,154427061904.000000,,,10724490738.000000,,2120109971.000000,6946990878.000000,9067100849.000000,548948312.000000,188307160.000000,,,296093100.000000,296093100.000000,,,574041317.000000,,574041317.000000,50000000.000000,10724490738.000000,1341210945.000000,505847050.000000,,,,,,835363895.000000,1341210945.000000,12065701683.000000,,100000000000.000000,,42361360221.000000,100000000.000000,42342744813.000000,-81384592.000000,42361360221.000000,142361360221.000000,154427061904.000000,100000.000000
12M 2022,,,29269133503.000000,15826355104.000000,19038054.000000,15807317050.000000,15826355104.000000,,4003437516.000000,2497950549.000000,51596876672.000000,,118246120292.000000,221878978.000000,127707602.000000,118595706872.000000,170192583544.000000,,,16409549268.000000,,2337726910.000000,7009748216.000000,9347475126.000000,6059999980.000000,212171015.000000,,,108761920.000000,108761920.000000,,,577679246.000000,36000000.000000,613679246.000000,67461981.000000,16409549268.000000,1896185035.000000,238680000.000000,,,795162158.000000,131105434.000000,926267592.000000,731237443.000000,1896185035.000000,18305734303.000000,,100000000000.000000,,51886849241.000000,100000000.000000,52115904126.000000,-329054885.000000,51886849241.000000,151886849241.000000,170192583544.000000,100000.000000
12M 2023,,,32885265303.000000,25073231612.000000,39295998.000000,25033935614.000000,25073231612.000000,5333334.000000,5987325433.000000,14698077150.000000,78649232832.000000,,240733628399.000000,1587866264.000000,2167425089.000000,244488919752.000000,323138152584.000000,,,12314883869.000000,,2522742266.000000,5806251604.000000,8328993870.000000,2932696866.000000,50391972.000000,,,76455253.000000,76455253.000000,,175315137.000000,715030771.000000,36000000.000000,926345908.000000,,12314883869.000000,2877465955.000000,6105000.000000,,824684863.000000,1299832872.000000,67654865.000000,2192172600.000000,679188355.000000,2877465955.000000,15192349824.000000,,150000000000.000000,,157945802760.000000,2100000000.000000,28818563665.000000,127027239095.000000,157945802760.000000,307945802760.000000,323138152584.000000,100000.000000
12M 2024,,,139036091080.000000,17920297695.000000,,17920297695.000000,17920297695.000000,7001324.000000,7391613082.000000,56360164803.000000,220715167984.000000,,247276111467.000000,1407593250.000000,66770468.000000,248750475185.000000,469465643169.000000,,,12383577236.000000,,2478026786.000000,5486804605.000000,7964831391.000000,1107555013.000000,1393565098.000000,,,121875100.000000,121875100.000000,,1074044115.000000,672340197.000000,36000000.000000,1782384312.000000,13366322.000000,12383577236.000000,5578569009.000000,5995000.000000,,4135821993.000000,590121145.000000,40641701.000000,4766584839.000000,805989170.000000,5578569009.000000,17962146245.000000,,187500000000.000000,78039558507.000000,185963938418.000000,7840531908.000000,52404604486.000000,125718802024.000000,185963938418.000000,451503496925.000000,469465643170.000000,100000.000000
