Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Keuangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,13413371061.000000,-4195516186.000000,9217854875.000000,-10570242626.000000,-493701304.000000,-10076541322.000000,,,-10570242626.000000,-1352387751.000000,2366265873.000000,1197194725.000000,-312658177.000000,39115728.000000,,1442613597.000000,2366265873.000000,1013878122.000000,118531255.000000,126891855.000000,-8360600.000000,118531255.000000,1132409377.000000,451119473.000000,1583528850.000000,,,,,1583528850.000000,1132409377.000000,451119473.000000,1583528850.000000,,,,
12M 2009,27821573219.000000,,27821573219.000000,-16844793687.000000,-535113853.000000,-16309679834.000000,,,-16844793687.000000,10976779532.000000,-2622039820.000000,990226052.000000,-76285969.000000,-1572216846.000000,117000000.000000,-2080763057.000000,-2622039820.000000,8354739712.000000,72376654.000000,449272055.000000,-376895401.000000,72376654.000000,8427116366.000000,2249785907.000000,10676902273.000000,,,,,10676902273.000000,8427116366.000000,2249785907.000000,10676902273.000000,,,,
12M 2010,138728631110.000000,-108554425456.000000,30174205654.000000,-22491729356.000000,-1513103180.000000,-22118215528.000000,,1139589352.000000,-22491729356.000000,7682476298.000000,25994680812.000000,,-159523833.000000,180436674.000000,165250000.000000,25808517971.000000,25994680812.000000,33677157110.000000,-576664166.000000,-66679376.000000,-509984790.000000,-576664166.000000,33100492944.000000,2637915421.000000,35738408365.000000,,,,,35738408365.000000,33100492944.000000,2637915421.000000,35738408365.000000,,,,
12M 2011,75035803094.000000,-52036237460.000000,22999565634.000000,-19355837250.000000,-379954565.000000,-21056175410.000000,,2080292725.000000,-19355837250.000000,3643728384.000000,,,,,,,,3643728384.000000,352484741.000000,972594350.000000,-620109609.000000,352484741.000000,3996213125.000000,,3996213125.000000,,,,3996213125.000000,3996213125.000000,2705986220.000000,1290226905.000000,3996213125.000000,3996213125.000000,2705986220.000000,1290226905.000000,3996213125.000000
12M 2012,48145993117.000000,-10444930708.000000,37701062409.000000,-25077656728.000000,-495289826.000000,-24377460464.000000,,-204906438.000000,-25077656728.000000,12623405681.000000,,,,,,,,12623405681.000000,-3836231350.000000,-400575622.000000,-3435655728.000000,-3836231350.000000,8787174331.000000,,8787174331.000000,,,,8787174331.000000,8787174331.000000,7461658669.000000,1325515662.000000,8787174331.000000,8787174331.000000,7461658669.000000,1325515662.000000,8787174331.000000
12M 2013,29138861125.000000,-1136048224.000000,28002812901.000000,-18924058649.000000,-197847804.000000,-25525086199.000000,,6798875354.000000,-18924058649.000000,9078754252.000000,,,,,,,,9078754252.000000,-227729964.000000,-480445364.000000,252715400.000000,-227729964.000000,8851024288.000000,,8851024288.000000,,,,8851024288.000000,8851024288.000000,5245055607.000000,3605968681.000000,8851024288.000000,8851024288.000000,5245055607.000000,3605968681.000000,8851024288.000000
12M 2014,29066487879.000000,-1708163968.000000,27358323911.000000,-21283408054.000000,-209797566.000000,-24779266243.000000,,3705655755.000000,-21283408054.000000,6074915857.000000,,,,,,,,6074915857.000000,-128440800.000000,-378521993.000000,250081193.000000,-128440800.000000,5946475057.000000,,5946475057.000000,,,,5946475057.000000,5946475057.000000,2118324879.000000,3828150178.000000,5946475057.000000,5946475057.000000,2118324879.000000,3828150178.000000,5946475057.000000
12M 2015,23508883197.000000,-388703535.000000,23120179662.000000,-32870254809.000000,-79754682.000000,-27164191357.000000,,-5626308770.000000,-32870254809.000000,-9750075147.000000,,,,,,,,-9750075147.000000,-201510881.000000,-427525810.000000,226014929.000000,-201510881.000000,-9951586028.000000,,-9951586028.000000,417798507.000000,417798507.000000,417798507.000000,-9533787521.000000,-9951586028.000000,-10524935185.000000,573349157.000000,-9951586028.000000,-9533787521.000000,-9592762191.000000,58974670.000000,-9533787521.000000
12M 2016,37305768834.000000,-3362360452.000000,33943408382.000000,-52971341695.000000,-217812708.000000,-32388265042.000000,,-20365263945.000000,-52971341695.000000,-19027933313.000000,,,,,,,,-19027933313.000000,-402558307.000000,-866309018.000000,463750711.000000,-402558307.000000,-19430491620.000000,,-19430491620.000000,-43683292.000000,-43683292.000000,-43683292.000000,-19474174912.000000,-19430491620.000000,-16233439020.000000,-3197052600.000000,-19430491620.000000,-19474174912.000000,-19464526302.000000,-9648610.000000,-19474174912.000000
12M 2017,62366183599.000000,,62366183599.000000,-74889771806.000000,-398759546.000000,-48596184508.000000,,-25894827752.000000,-74889771806.000000,-12523588207.000000,,,,,,,,-12523588207.000000,-1400584404.000000,-747586044.000000,-652998360.000000,-1400584404.000000,-13924172611.000000,,-13924172611.000000,307041043.000000,,307041043.000000,-13617131568.000000,-13924172612.000000,-15002610534.000000,1078437922.000000,-13924172612.000000,-13617131568.000000,-14776807168.000000,1159675600.000000,-13617131568.000000
12M 2018,26883409966.000000,-998602416.000000,25884807550.000000,-24500458183.000000,-1156078592.000000,-13949848620.000000,,-9394530971.000000,-24500458183.000000,1384349367.000000,,,,,,,,1384349367.000000,-971135928.000000,-969602795.000000,-1533133.000000,-971135928.000000,413213439.000000,,413213439.000000,,,,413213439.000000,413213440.000000,-2172389845.000000,2585603285.000000,413213440.000000,413213440.000000,-2172389845.000000,2585603285.000000,413213440.000000
12M 2019,8151863637.000000,-1580219425.000000,6571644212.000000,-5989548488.000000,-284576200.000000,-2503333342.000000,,-3201638946.000000,-5989548488.000000,582095724.000000,,,,,,,,582095724.000000,-203796591.000000,-203796591.000000,,-203796591.000000,378299133.000000,,378299133.000000,,,,378299133.000000,378299133.000000,372097006.000000,6202127.000000,378299133.000000,378299133.000000,372097006.000000,6202127.000000,378299133.000000
