Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Deposito Pada Lembaga Kliring Dan Penjaminan,Portofolio Efek,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Real Estat,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Nasabah,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Utang Pembelian Aset Tetap,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Ketiga,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,18189818291.000000,,600965142.000000,30006244.000000,1628967500.000000,6147426693.000000,343158864.000000,343158864.000000,343158864.000000,485927979.000000,14470744767.000000,52146689732.000000,94043705212.000000,,,3093615949.000000,6242588809.000000,87880587383.000000,97216792141.000000,191260497353.000000,,,21588106162.000000,7381630146.000000,3344036500.000000,134299115.000000,9000000000.000000,430758159.000000,821788459.000000,,362093783.000000,,,,,113500000.000000,21588106162.000000,,,,,,,21588106162.000000,,140920000000.000000,5355608283.000000,7162855250.000000,,,7162855250.000000,15815996847.000000,417930810.000000,169672391190.000000,191260497352.000000,1184200000.000000
12M 2009,,,23257529303.000000,,643537787.000000,124790176.000000,27237738000.000000,22882387548.000000,875040298.000000,875040298.000000,875040298.000000,214025602.000000,14470744767.000000,47664276025.000000,137370069506.000000,,,3542888004.000000,5433795775.000000,79224214039.000000,88200897818.000000,225570967324.000000,,,47888290749.000000,25913374426.000000,19240263500.000000,134299115.000000,,535202087.000000,1529057849.000000,,536093772.000000,,,,,,47888290749.000000,,,,,,,47888290749.000000,,140920000000.000000,5355608283.000000,13340185710.000000,,,13340185710.000000,18066882581.000000,,177682676574.000000,225570967323.000000,1184200000.000000
12M 2010,,,25522221340.000000,,707554779.000000,62196880.000000,30230016483.000000,28024289479.000000,63161689564.000000,63161689564.000000,63161689564.000000,391346706.000000,13851966738.000000,68167987446.000000,230119269415.000000,,,3476208629.000000,5490146833.000000,96820344052.000000,105786699514.000000,335905968929.000000,,,125122799411.000000,30192348128.000000,27948576100.000000,60651067677.000000,,740356391.000000,4108079019.000000,,1482372096.000000,,,,,,125122799411.000000,,,,,,,125122799411.000000,,140920000000.000000,5355608283.000000,43802763232.000000,,,43802763232.000000,20704798002.000000,,210783169517.000000,335905968928.000000,1184200000.000000
12M 2011,,,23610443895.000000,,745274245.000000,278684722.000000,21060775084.000000,6361951129.000000,1934935931.000000,1934935931.000000,1934935931.000000,20232772124.000000,12485847816.000000,102142370766.000000,188853055712.000000,,,4448802978.000000,4016342895.000000,94801028700.000000,103266174573.000000,292119230285.000000,,,77339847644.000000,21032403969.000000,14924472500.000000,761980713.000000,34950000000.000000,727627800.000000,4043505234.000000,,779117428.000000,,,,,120740000.000000,77339847644.000000,,,,,,,77339847644.000000,,140920000000.000000,5355608283.000000,46508749452.000000,,,46508749452.000000,21995024907.000000,,214779382642.000000,292119230286.000000,1184200000.000000
12M 2012,,,19840471957.000000,15000000000.000000,,6584652797.000000,28439132786.000000,28864698087.000000,1179726396.000000,1179726396.000000,1179726396.000000,20153535862.000000,11999235784.000000,121010629050.000000,253072082719.000000,,58680000000.000000,1013147251.000000,2369714279.000000,5783072802.000000,67845934332.000000,320918017051.000000,,,97351460079.000000,44393277542.000000,20544074500.000000,1809880416.000000,24290000000.000000,1037197087.000000,2923957525.000000,,2341223009.000000,,,,,11850000.000000,97351460079.000000,,,,,,,97351460079.000000,,140920000000.000000,5355608283.000000,53970408121.000000,,,53970408121.000000,23320540569.000000,,223566556973.000000,320918017052.000000,1184200000.000000
12M 2013,,,28439211601.000000,,,32085891203.000000,6963868310.000000,30268923100.000000,3787993936.000000,3787993936.000000,3787993936.000000,24700968238.000000,10863187560.000000,28326516230.000000,165436560178.000000,,175688535465.000000,1265862651.000000,1665210745.000000,4243047924.000000,182862656785.000000,348299216963.000000,,,109971488722.000000,23898243571.000000,15714987500.000000,667210414.000000,24290000000.000000,874757977.000000,3307589544.000000,,3061717906.000000,,3155181810.000000,3155181810.000000,35000000000.000000,1800000.000000,109971488722.000000,8420986981.000000,,5176760253.000000,5176760253.000000,3244226728.000000,8420986981.000000,118392475703.000000,,140920000000.000000,5355608283.000000,59215463728.000000,5050000000.000000,54165463728.000000,59215463728.000000,24415669250.000000,,229906741261.000000,348299216964.000000,1184200000.000000
12M 2014,,,6683275232.000000,,,43237607433.000000,5475194584.000000,20949089904.000000,10421421786.000000,10421421786.000000,10421421786.000000,35749600237.000000,9155023592.000000,45066899875.000000,176738112643.000000,,179493930859.000000,1515943844.000000,1504645658.000000,3773193082.000000,186287713443.000000,363025826086.000000,,,123043381719.000000,23172409262.000000,8451862000.000000,,350990854.000000,50000000000.000000,1350000.000000,3494561804.000000,1051444686.000000,,,,35000000000.000000,1520763113.000000,123043381719.000000,4129228049.000000,,,,4129228049.000000,4129228049.000000,127172609768.000000,,140920000000.000000,5355608283.000000,61333788607.000000,6050000000.000000,55283788607.000000,61333788607.000000,28243819428.000000,,235853216318.000000,363025826086.000000,1184200000.000000
12M 2015,,,4181223478.000000,,,44964904512.000000,2019050259.000000,11960435677.000000,11770547113.000000,11770547113.000000,11770547113.000000,33082755054.000000,11784128668.000000,38977895702.000000,158740940463.000000,,178132515450.000000,1568920594.000000,2439870358.000000,1290609682.000000,183431916084.000000,342172856547.000000,,,111381460204.000000,4859394936.000000,5712949100.000000,,413802248.000000,50000000000.000000,15466700.000000,8491559604.000000,5446089667.000000,,,,35000000000.000000,1442197949.000000,111381460204.000000,4370651514.000000,,,,4370651514.000000,4370651514.000000,115752111718.000000,,140920000000.000000,5355608283.000000,50806737133.000000,6350000000.000000,44456737133.000000,50806737133.000000,29338399415.000000,,226420744831.000000,342172856549.000000,1184200000.000000
12M 2016,,,23617049991.000000,,,26281653027.000000,5312453288.000000,19261888547.000000,5451508272.000000,5451508272.000000,5451508272.000000,29543805488.000000,8421768216.000000,52693534571.000000,170583661400.000000,,178361500166.000000,2047232402.000000,1196438889.000000,1312757682.000000,182917929139.000000,353501590539.000000,,,141764035720.000000,25768668003.000000,3898425200.000000,,332811501.000000,50000000000.000000,10587195842.000000,1189077014.000000,13100662956.000000,,,,34500000000.000000,2387195204.000000,141764035720.000000,4102684700.000000,,,,4102684700.000000,4102684700.000000,145866720420.000000,,140920000000.000000,6145008283.000000,34539263431.000000,6350000000.000000,28189263431.000000,34539263431.000000,26030598405.000000,,207634870119.000000,353501590539.000000,1184200000.000000
12M 2017,,,14263513739.000000,,,37782195578.000000,2008474599.000000,45937367568.000000,2061868452.000000,2061868452.000000,2061868452.000000,30997901016.000000,8421768216.000000,35683115401.000000,177156204569.000000,,178361500166.000000,1291887028.000000,1737911497.000000,1312757682.000000,182704056373.000000,359860260942.000000,,,162561889209.000000,10312396670.000000,35754894800.000000,,332811501.000000,28600000000.000000,22335000.000000,8267290720.000000,43406138652.000000,,,,34500000000.000000,1366021866.000000,162561889209.000000,4539389182.000000,,,,4539389182.000000,4539389182.000000,167101278391.000000,,140920000000.000000,6145008283.000000,19762456263.000000,6350000000.000000,13412456263.000000,19762456263.000000,25931518005.000000,,192758982551.000000,359860260942.000000,1184200000.000000
