Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak,Portofolio Efek,Penerimaan Dari Nasabah,Penerimaan Dari Piutang Reverse Repo,Penerimaan (Pembayaran) Kepada Lembaga Kliring Dan Penjaminan,Penerimaan Utang (Pembayaran Piutang) Nasabah,Penambahan Piutang Perusahaan Efek Lain,Penerimaan Utang Perusahaan Efek Lain,Penerimaan (Pembayaran) Dari Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Investasi Reksadana,Investasi Dalam Portofolio Efek,Penurunan (Penambahan) Aset Lain-Lain,Deposito Pada Lembaga Penyimpanan Dan Penyelesaian,Penyertaan Saham,Penurunan (Penambahan) Deposito Pada Lembaga Kliring Dan Penjaminan,Penurunan (Penambahan) Piutang Lembaga Kliring Dan Penjamin,Penurunan (Penambahan) Rekening Nasabah,Penurunan Efek Dibeli Dengan Janji Dijual Kembali,Penerimaan (Penambahan) Utang Pada Lembaga Kliring,Penerimaan Utang Nasabah,Penerimaan Piutang Perusahaan Efek,Penerimaan Utang Pada Lembaga Kliring,Penambahan Utang Perusahaan Efek,Perolehan Aset Real Estat,Deposito Berjangka,Hasil Penjualan Penyertaan Saham,Rugi Investasi,Pelepasan Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Dari Pihak Yang Berelasi,Pembayaran Utang Bank Jangka Pendek,Setoran Modal Pemegang Saham Minoritas,Penerimaan Utang Bank Jangka Panjang,Penerimaan Utang Dari Pihak Ketiga,Pembayaran Utang Pihak Ketiga,Pembayaran Angsuran Utang Jangka Panjang,Pendapatan Bunga,Biaya Aminstrasi Bank,Pembayaran Bunga Dan Provisi,Pembayaran Dividen Kepada Pemegang Saham Non-Pengendali Pada Entitas Anak,Pembayaran Pinjaman Lainnya,Tambahan Modal Disetor,Perubahan Kepemilikan Saham Non Pengendali,Penjualan Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-3862403265.000000,14650831571.000000,-3344273337.000000,-6482878184.000000,-3410225746.000000,-5870683439.000000,,,,,,,,594825870.000000,-3862403265.000000,-15953204512.000000,-3605601017.000000,,,-4834025001.000000,,-11678661569.000000,-37876985.000000,,,18453424500.000000,8014266076.000000,7328592985.000000,-9103507500.000000,-20603316001.000000,,,113500000.000000,,,,,,,-15953204512.000000,10971770768.000000,,9000000000.000000,300000000.000000,,,,,3209020768.000000,,-1537250000.000000,,,,,,,10971770768.000000,-8843837009.000000,27033655300.000000,18189818291.000000
12M 2009,8850412806.000000,27663878367.000000,,-10065682688.000000,-4466396124.000000,-13270340.000000,-94783932.000000,,,,,,,-4173332477.000000,8850412806.000000,5924573107.000000,-464782440.000000,117000000.000000,,-4564073156.000000,,8374930507.000000,-42572645.000000,,,-25608770500.000000,-16282540861.000000,10080910923.000000,15896227000.000000,18531744279.000000,-113500000.000000,,,,,,,,,5924573107.000000,-9707274902.000000,,-9000000000.000000,1100000.000000,,,,,1020958433.000000,,-1729333335.000000,,,,,,,-9707274902.000000,5067711011.000000,18189818291.000000,23257529302.000000
12M 2010,10241563102.000000,76361072753.000000,-47418878865.000000,-13051235074.000000,-6607867895.000000,-519206724.000000,62593296.000000,,,,,,,1415085611.000000,10241563102.000000,-9062934536.000000,-642968520.000000,445000000.000000,,-14462638429.000000,,-78702749866.000000,,83832000000.000000,-64016993.000000,-2992278483.000000,-5141901930.000000,-4286666618.000000,8708312600.000000,4278973703.000000,-34000000.000000,,,,,,,,,-9062934536.000000,1086063473.000000,,,,,,,,1139589352.000000,,-53525879.000000,,,,,,,1086063473.000000,2264692039.000000,23257529303.000000,25522221342.000000
12M 2011,5955741259.000000,136202556727.000000,-110559205502.000000,-12158574600.000000,-7518869577.000000,-938126439.000000,-216487842.000000,,,,,,,1144448492.000000,5955741259.000000,-19119159515.000000,-742399956.000000,,-42776006902.000000,1200000000.000000,,3679045852.000000,,,-37719466.000000,9169241399.000000,21662338349.000000,10802148969.000000,-13024103600.000000,-9159944160.000000,-12500000.000000,,120740000.000000,,,,,,,-19119159515.000000,11251640813.000000,-19979193885.000000,,,34950000000.000000,,,,1057707404.000000,,-4776872706.000000,,,,,,,11251640813.000000,-1911777443.000000,25522221340.000000,23610443897.000000
12M 2012,13280204059.000000,49986475379.000000,-8910418973.000000,-16968696089.000000,-7279327142.000000,-111341858.000000,-6305968075.000000,858126614.000000,1532500000.000000,-1013481457.000000,-62390000.000000,,,1554725660.000000,13280204059.000000,-3513297994.000000,-600977969.000000,,-26223993098.000000,7973988425.000000,,89017684648.000000,,,,,,,,,,,,-58680000000.000000,-15000000000.000000,,,,,-3513297994.000000,-13536878005.000000,40453010.000000,-10660000000.000000,,,,,,1271169293.000000,,-4188500308.000000,,,,,,,-13536878005.000000,-3769971940.000000,23610443895.000000,19840471955.000000
12M 2013,6771825192.000000,28026667222.000000,-2278718226.000000,-13263321703.000000,-7780093979.000000,-1043604768.000000,6191175084.000000,-21899258985.000000,-567583334.000000,16864177136.000000,-10050000.000000,,,2532436745.000000,6771825192.000000,-30752386113.000000,-419923750.000000,,,,,1540024878.000000,,,,,,,,,,,,-46872487241.000000,15000000000.000000,,,,,-30752386113.000000,32797300225.000000,-4358091714.000000,,,8331942063.000000,35000000000.000000,,,1208790584.000000,,-4874500708.000000,-2510840000.000000,,,,,,32797300225.000000,8816739304.000000,19622472298.000000,28439211602.000000
12M 2014,-17386936034.000000,19942622757.000000,-2024383528.000000,-14729748143.000000,-8625962784.000000,308203437.000000,283479986.000000,8593998888.000000,-16086277778.000000,-5774451774.000000,-624824500.000000,,,1350407405.000000,-17386936034.000000,-2098642458.000000,-471265874.000000,,,,,469854842.000000,,,,,,,,,,,,-2097231426.000000,,,,,,-2098642458.000000,-2270357876.000000,-11326569370.000000,,,17378057937.000000,,,,740957302.000000,,-9062803745.000000,,,,,,,-2270357876.000000,-21755936368.000000,28439211601.000000,6683275233.000000
12M 2015,708107495.000000,22159757869.000000,-2571391917.000000,-13047104034.000000,-8903365496.000000,-371567888.000000,-1727297079.000000,-9324360099.000000,5557805556.000000,717231425.000000,630091200.000000,,,7588307958.000000,708107495.000000,-7178591.000000,-1318830000.000000,,,,,-49764000.000000,,,,,,,,,,,,1361415409.000000,,,,,,-7178591.000000,-5702980658.000000,2677574471.000000,,,,,,,65694719.000000,,-8446249848.000000,,,,,,,-5702980658.000000,-2502051754.000000,6683275232.000000,4181223478.000000
12M 2016,18418236141.000000,54770262221.000000,-3443351200.000000,-29150871228.000000,-10564946508.000000,70101165.000000,2849276839.000000,13607820198.000000,1025555555.000000,-5107926929.000000,-4178835858.000000,,,-1458848114.000000,18418236141.000000,6376090401.000000,-131595000.000000,3396457665.000000,,,,-22148000.000000,,,,,,,,,,,,3133375736.000000,,,,,,6376090401.000000,-5358500030.000000,3530000000.000000,,,,,-500000000.000000,,77388367.000000,,-9154188597.000000,,,789400000.000000,-101099800.000000,,,-5358500030.000000,19435826512.000000,4181223478.000000,23617049990.000000
12M 2017,26706582486.000000,65755823420.000000,,-29512125820.000000,-9302915610.000000,-1786607956.000000,-26953859076.000000,-42131750355.000000,532069445.000000,35160448289.000000,4194104158.000000,,,30751395991.000000,26706582486.000000,-1059835688.000000,-1059835688.000000,,,,,,,,,,,,,,,,,,,,,,,-1059835688.000000,-35000283051.000000,-912435528.000000,-21400000000.000000,,,,,,310591029.000000,,-11739682552.000000,-2259756000.000000,,,,1001000000.000000,,-35000283051.000000,-9353536253.000000,23617049991.000000,14263513738.000000
12M 2018,46648871780.000000,26883409965.000000,,-19092469584.000000,-11939393136.000000,-971135928.000000,37782195579.000000,35624970898.000000,35121125000.000000,-33746420201.000000,,,,-23013410813.000000,46648871780.000000,37249000000.000000,,,,,,,,,,,,,,,,,,,,,,37249000000.000000,,37249000000.000000,-94206393635.000000,,-4881600000.000000,,,,-65500000000.000000,,462792201.000000,,-10266393815.000000,-14021192021.000000,,,,,,-94206393635.000000,-10308521855.000000,14263513739.000000,3954991884.000000
12M 2019,9560596354.000000,12499935130.000000,,-1407785542.000000,-1336239614.000000,-203796591.000000,,,,,,,,8482971.000000,9560596354.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-10813321917.000000,,-7603200000.000000,,,,,,,,-3210121917.000000,,,,,,,-10813321917.000000,-1252725563.000000,3954991884.000000,2702266321.000000
