Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,80110391344.000000,-48691950082.000000,31418441262.000000,-49386233591.000000,,,,,-49386233591.000000,-17967792329.000000,5518360127.000000,,6171059225.000000,-5242678987.000000,,112355615.000000,,4477624274.000000,5518360127.000000,-12449432202.000000,-3265395153.000000,,,,,-3265395153.000000,-15714827355.000000,,,-15714827355.000000,,,-15714827355.000000,-15714827355.000000,,-15714827355.000000,,,,
12M 2009,162658608611.000000,-83616393941.000000,79042214670.000000,-56691937538.000000,,,,,-56691937538.000000,22350277132.000000,-12843670882.000000,,524165513.000000,-13769923660.000000,,,,402087265.000000,-12843670882.000000,9506606250.000000,-7049440086.000000,,,,,-7049440086.000000,2457166164.000000,,,2457166164.000000,,,2457166164.000000,2457166164.000000,,2457166164.000000,,,,
12M 2010,443547589878.000000,-231004501254.000000,212543088624.000000,-75695800554.000000,,,,,-75695800554.000000,136847288070.000000,-33386485817.000000,-2169194809.000000,1943458378.000000,-1427699.000000,-53968900.000000,,,-33105352787.000000,-33386485817.000000,103460802253.000000,-20301181232.000000,,,,,-20301181232.000000,83159621021.000000,-17670392246.000000,,65489228775.000000,,,65489228775.000000,83159621021.000000,-17670392246.000000,65489228775.000000,,,,
12M 2011,457832705353.000000,-221458386498.000000,236374318855.000000,-110506474115.000000,-18488758313.000000,-70287755794.000000,,-21729960008.000000,-110506474115.000000,125867844740.000000,30985793856.000000,25485293585.000000,6514324406.000000,-1013824135.000000,,,,,30985793856.000000,156853638596.000000,-20403602336.000000,,,,,-20403602336.000000,136450036260.000000,,,136450036260.000000,61544529.000000,136511580789.000000,136450036260.000000,135567564440.000000,882471820.000000,136450036260.000000,136511580789.000000,135629108969.000000,882471820.000000,136511580789.000000
12M 2012,622705425776.000000,-279000975740.000000,343704450036.000000,-109963224428.000000,-31174395280.000000,-81195395143.000000,,2406565995.000000,-109963224428.000000,233741225608.000000,14604081474.000000,25708817037.000000,4161632195.000000,-15266367758.000000,,,,,14604081474.000000,248345307082.000000,-27419286056.000000,,,,,-27419286056.000000,220926021026.000000,,,220926021026.000000,53866666.000000,220979887692.000000,220926021026.000000,221122570552.000000,-196549526.000000,220926021026.000000,220979887692.000000,221176437218.000000,-196549526.000000,220979887692.000000
12M 2013,961988029182.000000,-364924107989.000000,597063921193.000000,-528245362319.000000,-103658487289.000000,-205601352756.000000,,-218985522274.000000,-528245362319.000000,68818558874.000000,571311090349.000000,-26277266984.000000,13052970287.000000,-145033298445.000000,,,,729568685491.000000,571311090349.000000,640129649223.000000,-35034035224.000000,,,,,-35034035224.000000,605095613999.000000,,,605095613999.000000,55139451.000000,605150753450.000000,605095613999.000000,630228542505.000000,-25132928506.000000,605095613999.000000,605150753450.000000,630283681956.000000,-25132928506.000000,605150753450.000000
12M 2014,712472394627.000000,-388279606960.000000,324192787667.000000,-143208144611.000000,-91692195744.000000,-195925932697.000000,,144409983830.000000,-143208144611.000000,180984643056.000000,-112477690063.000000,-7729877983.000000,38660885144.000000,-106541110580.000000,,,,-36867586644.000000,-112477690063.000000,68506952993.000000,-27779660286.000000,,,,,-27779660286.000000,40727292707.000000,,,40727292707.000000,61043178.000000,40788335885.000000,40727292707.000000,53270278018.000000,-12542985311.000000,40727292707.000000,40788335885.000000,53331321196.000000,-12542985311.000000,40788335885.000000
12M 2015,559801139534.000000,-329841873198.000000,229959266336.000000,-25412154014.000000,-55712725434.000000,-194828386872.000000,-21546817594.000000,246675775886.000000,-25412154014.000000,204547112322.000000,-142500891498.000000,-10430946824.000000,32632037027.000000,-164701981701.000000,,,,,-142500891498.000000,62046220824.000000,-372555491.000000,,,,,-372555491.000000,61673665333.000000,,,61673665333.000000,5263451087.000000,66937116420.000000,61673665333.000000,49609685323.000000,12063980010.000000,61673665333.000000,66937116420.000000,55050469700.000000,11886646720.000000,66937116420.000000
12M 2016,1206574998918.000000,-466827606461.000000,739747392457.000000,-82751591315.000000,-55064501431.000000,-237962498726.000000,,210275408842.000000,-82751591315.000000,656995801142.000000,-94605218724.000000,21194826009.000000,22417921469.000000,-138217966202.000000,,,,,-94605218724.000000,562390582418.000000,36327633.000000,,,,,36327633.000000,562426910051.000000,,,562426910051.000000,-196348051.000000,562230562000.000000,562426910051.000000,564301599584.000000,-1874689533.000000,562426910051.000000,562230562000.000000,564105251533.000000,-1874689533.000000,562230562000.000000
12M 2017,1623484966262.000000,-661806404261.000000,961678562001.000000,-352965261098.000000,-56168807372.000000,-253312208077.000000,,-43484245649.000000,-352965261098.000000,608713300903.000000,-140402927195.000000,-1025949393.000000,11497390490.000000,-150874368292.000000,,,,,-140402927195.000000,468310373708.000000,248808033.000000,,,,,248808033.000000,468559181741.000000,,,468559181741.000000,-1687807644.000000,466871374097.000000,468559181741.000000,464928275174.000000,3630906567.000000,468559181741.000000,466871374097.000000,463240467530.000000,3630906567.000000,466871374097.000000
12M 2018,1316805554419.000000,-607190219311.000000,709615335108.000000,-168596169948.000000,-47580411977.000000,-275984689934.000000,-33371031454.000000,188339963417.000000,-168596169948.000000,541019165160.000000,-172481454322.000000,-20533893929.000000,12340042786.000000,-164287603179.000000,,,,,-172481454322.000000,368537710838.000000,53605611.000000,,,,,53605611.000000,368591316449.000000,,,368591316449.000000,7472072755.000000,376063389204.000000,368591316449.000000,335872044497.000000,32719271952.000000,368591316449.000000,376063389204.000000,343344117252.000000,32719271952.000000,376063389204.000000
12M 2019,951421027715.000000,-385117919413.000000,566303108302.000000,-329035199989.000000,-30730661900.000000,-227455922810.000000,-19167896599.000000,-51680718680.000000,-329035199989.000000,237267908313.000000,-169160306129.000000,14918186138.000000,15667875033.000000,-199746367300.000000,,,,,-169160306129.000000,68107602184.000000,820475228.000000,,,,,820475228.000000,68928077412.000000,,,68928077412.000000,6466166141.000000,75394243553.000000,68928077412.000000,49505385523.000000,19422691889.000000,68928077412.000000,75394243553.000000,55971551664.000000,19422691889.000000,75394243553.000000
12M 2020,451847226952.000000,-202854983007.000000,248992243945.000000,-490273797524.000000,-21168560011.000000,-166922209368.000000,-12128148623.000000,-290054879522.000000,-490273797524.000000,-241281553579.000000,-312862144275.000000,-4229054490.000000,10127972055.000000,-318761061840.000000,,,,,-312862144275.000000,-554143697854.000000,-2158084775.000000,,,,,-2158084775.000000,-556301782629.000000,,,-556301782629.000000,-91513271.000000,-556393295900.000000,-556301782629.000000,-608784173814.000000,52482391185.000000,-556301782629.000000,-556393295900.000000,-608875687085.000000,52482391185.000000,-556393295900.000000
12M 2021,910709348365.000000,-281857309466.000000,628852038899.000000,-131435166140.000000,-26189190223.000000,-201989536481.000000,-67071625967.000000,163815186531.000000,-131435166140.000000,497416872759.000000,-267042064999.000000,-14714239693.000000,9342542711.000000,-261670368017.000000,,,,,-267042064999.000000,230374807760.000000,-1104456880.000000,-621902527.000000,-482554353.000000,,,-1104456880.000000,229270350880.000000,,,229270350880.000000,6304157270.000000,235574508150.000000,229270350880.000000,261472609470.000000,-32202258590.000000,229270350880.000000,235574508150.000000,267776766740.000000,-32202258590.000000,235574508150.000000
12M 2022,672300266688.000000,-235020213842.000000,437280052846.000000,-240504524753.000000,-28683446815.000000,-169758388132.000000,-12737886474.000000,-29324803332.000000,-240504524753.000000,196775528093.000000,-362620159860.000000,-23372321206.000000,4075465569.000000,-343323304223.000000,,,,,-362620159860.000000,-165844631767.000000,-1238159808.000000,-1029996378.000000,-208163430.000000,,,-1238159808.000000,-167082791575.000000,,,-167082791575.000000,4244088030.000000,-162838703545.000000,-167082791575.000000,-163158846874.000000,-3923944701.000000,-167082791575.000000,-162838703545.000000,-158914758844.000000,-3923944701.000000,-162838703545.000000
12M 2023,1720160600872.000000,-960057301964.000000,760103298908.000000,-310531252879.000000,-50968946313.000000,-204826741077.000000,-38989817046.000000,-15745748443.000000,-310531252879.000000,449572046029.000000,-130673031090.000000,-5126985632.000000,3372917211.000000,-290650637773.000000,,,,161731675104.000000,-130673031090.000000,318899014939.000000,-1069550385.000000,-1167869271.000000,98318886.000000,,,-1069550385.000000,317829464554.000000,,,317829464554.000000,548366293.000000,318377830847.000000,317829464554.000000,332300775467.000000,-14471310913.000000,317829464554.000000,318377830847.000000,332849141760.000000,-14471310913.000000,318377830847.000000
12M 2024,744068396829.000000,-373418319029.000000,370650077800.000000,-346859658704.000000,-72629297058.000000,-216710219182.000000,-13243744235.000000,-44276398229.000000,-346859658704.000000,23790419096.000000,-5567293603.000000,-11751657551.000000,7430212127.000000,-309745767883.000000,,,,308499919704.000000,-5567293603.000000,18223125493.000000,-4292945147.000000,-4589756508.000000,296811361.000000,,,-4292945147.000000,13930180346.000000,,,13930180346.000000,-993754925.000000,12936425421.000000,13930180346.000000,17355009761.000000,-3424829415.000000,13930180346.000000,12936425421.000000,16361254836.000000,-3424829415.000000,12936425421.000000
