Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pengeluaran Kas Untuk Perolehan Tanah, Pembayaran Ke Kontraktor, Pemasok Dan Lain-Lain",Pengeluaran Kas Untuk Karyawan,Penerimaan (Pengeluaran) Kas Untuk Aktivitas Operasional,Beban Usaha Di Luar Gaji Dan Tunjangan Karyawan,Gaji Dan Tunjangan Karyawan,Penerimaan (Pembayaran) Lain-Lain,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Pembayaran Pajak Dan Denda,Penerimaan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Pada Entitas Asosiasi,Penyertaan Pada Entitas Anak,Uang Muka Penyertaan Saham,Penjualan Penyertaan Saham,Investasi Tersedia Untuk Dijual,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penempatan Investasi Jangka Pendek,Pembayaran Untuk Perolehan Tanah Dalam Pengembangan,Pengeluaran Kas Untuk Perolehan Investasi,Perolehan Aset Tetap,Penerimaan Dari Pembayaran Tersedia Untuk Dijual,Penambahan Aset Tidak Berwujud,Pembayaran Untuk Perolehan Kepemilikan Pada Entitas Asosiasi,Penambahan Properti Investasi,Penjualan Properti Investasi,Perolehan Obligasi,Penambahan Investasi Asosiasi,Hasil Penjualan Aset Tetap,Hasil Dari Penjualan Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Proyek,Penerimaan Bunga Investasi,Penerimaan Dari Pencairan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek - Pihak Ketiga,Pembayaran Pinjaman Jangka Pendek - Pihak Ketiga,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Dividen,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang - Pihak Ketiga,Penambahan Modal Disetor,Agio Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Penambahan Utang Bank,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Pelepasan Kepentingan Di Entitas Anak Tanpa Hilangnya Pengendalian Dari Kegiatan Pendanaan,Penempatan Dana Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Lainnya,Pembayaran Pinjaman Lainnya,Penerimaan Dana Non Hmetd,Penerimaan Dana Waran Seri I,Tambahan Modal Disetor,Penerimaan Dari Penerbitan Saham Biasa,Setoran Untuk Pemesanan Saham,Biaya Emisi Saham Put,Penerimaan Dana Put,Penerimaan (Pembayaran) Efek Yang Dijual Dengan Janji Dibeli Kembali,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-190722473319.000000,90934122378.000000,-239606555970.000000,,,-29309812343.000000,-15362963552.000000,7331018466.000000,,,,534396689.000000,-5242678987.000000,-190722473319.000000,95042095899.000000,-75780637603.000000,,,,,,,,,-1228224424.000000,,,,,,,,568225221.000000,,,5636662536.000000,165846070169.000000,95042095899.000000,91367553820.000000,,,,,107867553820.000000,-20000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,3500000000.000000,,,91367553820.000000,-4312823600.000000,13510824464.000000,9198000864.000000
12M 2009,-117011989335.000000,79613156308.000000,-128184393675.000000,,,-36121184002.000000,-20570753536.000000,1496943717.000000,,,,524165513.000000,-13769923660.000000,-117011989335.000000,1994459168.000000,-500000000.000000,,,,,,,,,-1097540832.000000,,,,,,,,,,,,3592000000.000000,1994459168.000000,119623909923.000000,,,,,123123909923.000000,,,,,,,,,,,,,,,,,,,,,,,,,-3500000000.000000,,,119623909923.000000,4606379756.000000,9198000864.000000,13804380620.000000
12M 2010,-145915771431.000000,541629603485.000000,-545468354429.000000,,,-34646219750.000000,-27190673112.000000,8523955791.000000,,,-55382083552.000000,2874017548.000000,-36256017412.000000,-145915771431.000000,-1569422455156.000000,-1567521740316.000000,,,,,,-100000000.000000,,,-1800714840.000000,,,,,,,,,,,,,-1569422455156.000000,1895302224073.000000,,,,,93915720073.000000,,,,,,,,1802038351500.000000,,,,,,,-651847500.000000,,,,,,,,,,,,,1895302224073.000000,179963997486.000000,11015301399.000000,190979298885.000000
12M 2011,-452925899173.000000,380435082964.000000,-634582252625.000000,,,-44549189247.000000,-34723602625.000000,-4009627661.000000,,,-63293360125.000000,6514324406.000000,-58717274260.000000,-452925899173.000000,-17148036454.000000,,-2000000000.000000,,,,,,,,-25125347533.000000,,,,,,,,,9977311079.000000,,,,-17148036454.000000,367914509168.000000,,,,,75844750230.000000,-28046720072.000000,,,,,,,285400000000.000000,48518000000.000000,,,,,,-13801520990.000000,,,,,,,,,,,,,367914509168.000000,-102159426459.000000,190979298885.000000,88819872426.000000
12M 2012,437469854535.000000,705152951436.000000,-190401280883.000000,-40008012300.000000,58204803535.000000,,,,,,-26452521742.000000,4161632195.000000,-73187717706.000000,437469854535.000000,-715521520929.000000,-200000000000.000000,,-202500000000.000000,,,-223492215728.000000,,,,-89529305201.000000,,,,,,,,,,,,,-715521520929.000000,266142346161.000000,38383262180.000000,-40082186949.000000,,,306316887683.000000,-38475616753.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,266142346161.000000,-11909320233.000000,88819872426.000000,76910552193.000000
12M 2013,19713146811.000000,1486497583620.000000,-694367790054.000000,-76469544417.000000,-478392488754.000000,,,,,,-32838873430.000000,13052970287.000000,-197768710441.000000,19713146811.000000,-555697450665.000000,,,,,,-268955087174.000000,,,,-282043455957.000000,,-4698907534.000000,,,,,,,,,,,-555697450665.000000,952487028868.000000,362253155808.000000,-358200956041.000000,,,970158374048.000000,-21723544947.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,952487028868.000000,416502725014.000000,76910552193.000000,493413277207.000000
12M 2014,38327257924.000000,979007376109.000000,-593307695759.000000,-104916928415.000000,-70714964833.000000,,,,,,-66128671912.000000,79544384792.000000,-185156242058.000000,38327257924.000000,-78385240873.000000,,,,,,,-1000000000.000000,,,-82407500015.000000,,,,,,,,,5022259142.000000,,,,-78385240873.000000,-157387825509.000000,60000000000.000000,-54866444407.000000,,,156654246931.000000,-318231842233.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-943785800.000000,-157387825509.000000,-197445808458.000000,493413277207.000000,295967468749.000000
12M 2015,-114457885392.000000,541736488503.000000,-597275809211.000000,-77992852227.000000,284568414137.000000,,,,-85999226820.000000,-2902731585.000000,,9118187505.000000,-185710355694.000000,-114457885392.000000,-40657928594.000000,,,,,,,,,,-40657928594.000000,,,,,,,,,,,,,-40657928594.000000,479844525008.000000,245077915120.000000,-57887111980.000000,49700000000.000000,-32388823487.000000,191400000000.000000,-150542890057.000000,,,,,,,,,,,,,,,,,,,235476787500.000000,,,,,,,-991352088.000000,479844525008.000000,324728711022.000000,243426003899.000000,568154714921.000000
12M 2016,-460393885536.000000,790482376564.000000,-738382820704.000000,-97896529786.000000,-190145667449.000000,,,,,-35443214460.000000,,22417921469.000000,-211425951170.000000,-460393885536.000000,25865903713.000000,,,,,,,,,,-5454427077.000000,,,-1190519034.000000,,,,,,32510849824.000000,,,,25865903713.000000,173146032115.000000,322081550000.000000,-9547252239.000000,,,,,,,,,,,,,,,184126112246.000000,-371783847292.000000,49000000000.000000,,,,,,,,,,,,,-730530600.000000,173146032115.000000,-261381949708.000000,568154714921.000000,306772765213.000000
12M 2017,-451061312047.000000,1361840251306.000000,-1235799011983.000000,-90229308317.000000,-251498829068.000000,,,,,-11166936768.000000,,11497390490.000000,-235704867707.000000,-451061312047.000000,-110374640551.000000,,,,,,,,,,-10573415689.000000,98775138.000000,,-99900000000.000000,,,,,,,,,,-110374640551.000000,842486619259.000000,278642776147.000000,,,,,,,,,,,,,,,,1017459626879.000000,-746990435349.000000,,,,,,,293781492582.000000,,,,,,,-406841000.000000,842486619259.000000,281050666661.000000,306610256213.000000,587660922874.000000
