Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Bank Jangka Pendek,Pihak Ketiga,Utang Sewa Pembiayaan,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Ketiga,Utang Murabahah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pihak Ketiga,Utang Sewa Pembiayaan,Utang Murabahah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Usaha,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,9198000864.000000,59664915666.000000,59664915666.000000,,59664915666.000000,,21499677261.000000,11086016585.000000,10413660676.000000,21499677261.000000,1099772210786.000000,,7154051477.000000,1197288856054.000000,,611977633323.000000,24090222105.000000,,,,,39982521242.000000,4255112233.000000,,,,665588642262.000000,1345894131165.000000,,2543182987219.000000,,,246876412391.000000,91069934703.000000,,,,91069934703.000000,,103402462732.000000,103402462732.000000,,,,,6902563273.000000,19804360608.000000,26706923881.000000,11563383787.000000,14133707288.000000,,14133707288.000000,,,,,,,,,246876412391.000000,97468045883.000000,,,,,,,,,,,,,97468045883.000000,97468045883.000000,344344458274.000000,,1930500000000.000000,396038298690.000000,396038298690.000000,396038298690.000000,-129194169540.000000,,,-129194169540.000000,,1494399795.000000,2198838528945.000000,2543182987219.000000,9509500000.000000
12M 2009,,,13804380620.000000,142710367969.000000,142710367969.000000,,142710367969.000000,,15849171439.000000,5259086387.000000,10590085052.000000,15849171439.000000,1151547735803.000000,,2500089840.000000,1326411745671.000000,,733072961051.000000,24078712325.000000,,,,,34110054088.000000,4000010357.000000,,,948678301.000000,661399620340.000000,1457610036462.000000,,2784021782133.000000,,,322368571673.000000,195000000000.000000,,,,195000000000.000000,,54374988014.000000,54374988014.000000,,,,,39589327634.000000,22252411745.000000,61841739379.000000,3294262922.000000,7857581358.000000,,7857581358.000000,,,,,,,,,322368571673.000000,177788591697.000000,,,,,,,,,,,,,177788591697.000000,177788591697.000000,500157163370.000000,,1981250859800.000000,426488814745.000000,426488814745.000000,426488814745.000000,-126737003376.000000,,,-126737003376.000000,1367547799.000000,1494399795.000000,2283864618763.000000,2784021782133.000000,10017008598.000000
12M 2010,,,190979298885.000000,133112179412.000000,109186679412.000000,23925500000.000000,133112179412.000000,,37799535860.000000,29002693799.000000,8796842061.000000,37799535860.000000,1222818540940.000000,,7662485107.000000,1592372040204.000000,,768297343776.000000,1558217452148.000000,,,,,28622195245.000000,4186806482.000000,,,758942641.000000,861860373237.000000,3221943113529.000000,,4814315153733.000000,,,475952546862.000000,,288915720072.000000,,,288915720072.000000,,54044401310.000000,54044401310.000000,,,,,41435523650.000000,26337234879.000000,67772758529.000000,4271642310.000000,60948024641.000000,,60948024641.000000,,,,,,,,,475952546862.000000,214201366850.000000,,,,,,,,,,,,,214201366850.000000,214201366850.000000,690153913712.000000,,3833840501000.000000,375937525045.000000,375937525045.000000,375937525045.000000,-71060576870.000000,,,-71060576870.000000,17332391544.000000,-31888600698.000000,4124161240021.000000,4814315153733.000000,28542905010.000000
12M 2011,,,88819872426.000000,278111594382.000000,139751424382.000000,138360170000.000000,278111594382.000000,,31947606351.000000,30466178810.000000,1481427541.000000,31947606351.000000,1124722148990.000000,,6285693088.000000,1529886915237.000000,,1111919184726.000000,1559624033408.000000,,,,,45363159972.000000,4680967976.000000,,,758942641.000000,1038149712912.000000,3760496001635.000000,,5290382916872.000000,,,440493294555.000000,,336713750229.000000,,,336713750229.000000,,56419670026.000000,56419670026.000000,,,,,5010732124.000000,3616601643.000000,8627333767.000000,3933965237.000000,34798575296.000000,,34798575296.000000,,,,,,,,,440493294555.000000,255353386863.000000,,,,,,,,,,,,,255353386863.000000,255353386863.000000,695846681418.000000,,4119240501000.000000,424455525045.000000,424455525045.000000,424455525045.000000,64506987570.000000,,,64506987570.000000,18214863364.000000,-31881641525.000000,4594536235454.000000,5290382916872.000000,31396905010.000000
12M 2012,,,76910552193.000000,464953520210.000000,305736348817.000000,159217171393.000000,464953520210.000000,955793214.000000,,,,,1253660438610.000000,,287019047420.000000,2083499351647.000000,,891982050450.000000,1787840808416.000000,,,,,126264749747.000000,4822821356.000000,916551197.000000,,,1258904972558.000000,4070731953724.000000,,6154231305371.000000,,,654273848640.000000,,321203314703.000000,,,321203314703.000000,,70061983857.000000,70061983857.000000,12908994440.000000,,59426244904.000000,,,,,10763803709.000000,,41795876608.000000,41795876608.000000,,33668449603.000000,,,,,33668449603.000000,104445180816.000000,654273848640.000000,683549510334.000000,,247984332084.000000,,,,247984332084.000000,,,,,,,435565178250.000000,683549510334.000000,1337823358974.000000,,4119240501000.000000,424348442472.000000,424348442472.000000,424348442472.000000,285629558122.000000,1000000000.000000,284629558122.000000,285629558122.000000,19017219662.000000,-31827774859.000000,4816407946397.000000,6154231305371.000000,31396905010.000000
12M 2013,,,493413277207.000000,623999969945.000000,437814309945.000000,186185660000.000000,623999969945.000000,45172997380.000000,,,,,5069546965817.000000,,430470989289.000000,6662604199638.000000,,1029078000456.000000,36579084343.000000,,,,,1305492641650.000000,10579456414.000000,5460018538.000000,,,1615919960659.000000,4003109162060.000000,,10665713361698.000000,,,1457383800772.000000,,325255514470.000000,,,325255514470.000000,,280973292579.000000,280973292579.000000,145355160468.000000,,75864189695.000000,,,,,83204306676.000000,,70652134679.000000,70652134679.000000,,277000080138.000000,1368623000.000000,,,,278368703138.000000,197710499067.000000,1457383800772.000000,2328486735736.000000,,1288819367170.000000,,2646470488.000000,,1291465837658.000000,,,,,,37889198930.000000,999131699148.000000,2328486735736.000000,3785870536508.000000,,4119240501000.000000,424348442472.000000,424348442472.000000,424348442472.000000,915857853289.000000,2600000000.000000,913257853289.000000,915857853289.000000,1452114078481.000000,-31718050052.000000,6879842825190.000000,10665713361698.000000,31396905010.000000
12M 2014,,,295967468749.000000,586613945326.000000,435489145326.000000,151124800000.000000,586613945326.000000,47977936196.000000,,,,,5378816734406.000000,,669062872455.000000,6978438957132.000000,,1094902040760.000000,25387960072.000000,,,,,138002270710.000000,10932603281.000000,,,,1548401430295.000000,2817626305118.000000,,9796065262250.000000,,,2326646387344.000000,,301051177719.000000,,,301051177719.000000,,224640932614.000000,224640932614.000000,17716095368.000000,,421012964300.000000,,,,,10217733592.000000,,40057924758.000000,40057924758.000000,,233360544788.000000,2576574688.000000,410520000000.000000,20358982211.000000,64325906463.000000,731142008150.000000,580807550843.000000,2326646387344.000000,1258591288679.000000,,419350756587.000000,,,,419350756587.000000,,,,,,37889198930.000000,801351333162.000000,1258591288679.000000,3585237676023.000000,,4119240501000.000000,424348442472.000000,424348442472.000000,424348442472.000000,961278905054.000000,4700000000.000000,956578905054.000000,961278905054.000000,721137425233.000000,-15177687532.000000,6210827586227.000000,9796065262250.000000,31396905010.000000
12M 2015,,,568154714921.000000,551551248278.000000,400426448278.000000,151124800000.000000,551551248278.000000,58595484420.000000,,,,,2091135695239.000000,,921977100282.000000,4191414243140.000000,,5675327916663.000000,88493057184.000000,,,,,190289722263.000000,12326414861.000000,2013805258.000000,360435607047.000000,,625596043177.000000,6954482566453.000000,,11145896809593.000000,,,3227924826605.000000,,327294031585.000000,,,327294031585.000000,,212959117741.000000,212959117741.000000,20505826106.000000,,881193713358.000000,,,,,53056644593.000000,,49779284836.000000,49779284836.000000,,243513363615.000000,730530600.000000,451147500000.000000,,987744814171.000000,1683136208386.000000,,3227924826605.000000,1368252636975.000000,,399006402296.000000,,854692000.000000,,399861094296.000000,,,,,,,968391542679.000000,1368252636975.000000,4596177463580.000000,,4276225026000.000000,502840704972.000000,502840704972.000000,502840704972.000000,1040811831651.000000,5700000000.000000,1035111831651.000000,1040811831651.000000,735349715510.000000,-5507932120.000000,6549719346013.000000,11145896809593.000000,34536595510.000000
12M 2016,,,306772765213.000000,953215524447.000000,802090724447.000000,151124800000.000000,953215524447.000000,47260487766.000000,,,,,2195886134796.000000,,515905233276.000000,4019040145498.000000,,5723655512282.000000,63101108121.000000,,,,,181830997189.000000,13272993949.000000,2012750633.000000,675171811886.000000,,681420991453.000000,7340466165513.000000,,11359506311011.000000,,,2848671180828.000000,,382806488086.000000,,,382806488086.000000,,169723271400.000000,169723271400.000000,26848638462.000000,,678716847166.000000,,,,,88155008223.000000,100908546701.000000,,100908546701.000000,,114191416345.000000,854692000.000000,309428000000.000000,,977038272445.000000,1401512380790.000000,,2848671180828.000000,1350586222063.000000,,412567744986.000000,,,,412567744986.000000,,,,,,,938018477077.000000,1350586222063.000000,4199257402891.000000,,4276225026000.000000,502840704972.000000,502840704972.000000,502840704972.000000,1565649560655.000000,6700000000.000000,1558949560655.000000,1565649560655.000000,780711029886.000000,34822586607.000000,7160248908120.000000,11359506311011.000000,34536595510.000000
12M 2017,,,587660922874.000000,1238609484399.000000,1087484684399.000000,151124800000.000000,1238609484399.000000,32057602358.000000,,,,,2137378069321.000000,,601170309067.000000,4596876388019.000000,,8320784791698.000000,161975158728.000000,,,,,213102483130.000000,14109839054.000000,2012750633.000000,1193207001820.000000,,474972707751.000000,10380164732814.000000,,14977041120833.000000,,,2954287128281.000000,,47424894537.000000,,,47424894537.000000,,406105937397.000000,406105937397.000000,24271360915.000000,,854365051848.000000,,,,,154133098642.000000,,151539091992.000000,151539091992.000000,,42013333334.000000,447851000.000000,309818400000.000000,,964168108616.000000,1316447692950.000000,,2954287128281.000000,2080199360438.000000,,1090596613076.000000,,,,1090596613076.000000,,,,,,,989602747362.000000,2080199360438.000000,5034486488719.000000,,6348430906600.000000,741595258757.000000,741595258757.000000,741595258757.000000,2028890028185.000000,7700000000.000000,2021190028185.000000,2028890028185.000000,789237636453.000000,34400802119.000000,9942554632114.000000,14977041120833.000000,55258552816.000000
