Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Beban Eksplorasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9591981138000.000000,-6940796904000.000000,2651184234000.000000,-937888223000.000000,-650963574000.000000,-150775271000.000000,-136149378000.000000,-937888223000.000000,1713296011000.000000,202457027000.000000,29931362000.000000,178548866000.000000,-217635384000.000000,-50346415000.000000,261958598000.000000,202457027000.000000,1915753038000.000000,-546711187000.000000,1369041851000.000000,-902686000.000000,1368139165000.000000,,,1368139165000.000000,1369041851000.000000,-902686000.000000,1368139165000.000000,,,,
12M 2009,8711370255000.000000,-7513371858000.000000,1197998397000.000000,-610477292000.000000,-468182753000.000000,-77877295000.000000,-64417244000.000000,-610477292000.000000,587521105000.000000,196496637000.000000,-1771248000.000000,151196066000.000000,-287086019000.000000,-47049683000.000000,381207521000.000000,196496637000.000000,784017742000.000000,-188786842000.000000,595230900000.000000,9076188000.000000,604307088000.000000,,,604307088000.000000,595230900000.000000,9076188000.000000,604307088000.000000,,,,
12M 2010,8744300219000.000000,-5807220162000.000000,2937080057000.000000,-990544014000.000000,-756993203000.000000,-104269787000.000000,-129281024000.000000,-990544014000.000000,1946536043000.000000,326087641000.000000,-1756758000.000000,58315889000.000000,-122740175000.000000,-12651557000.000000,404920242000.000000,326087641000.000000,2272623684000.000000,-597699273000.000000,1674924411000.000000,8475581000.000000,1683399992000.000000,,,1683399992000.000000,1674924411000.000000,8475581000.000000,1683399992000.000000,,,,
12M 2011,10346433404000.000000,-7318735238000.000000,3027698166000.000000,-1014819741000.000000,-783757736000.000000,-133786186000.000000,-97275819000.000000,-1014819741000.000000,2012878425000.000000,555902960000.000000,-26152056000.000000,74152626000.000000,-64560639000.000000,-22723138000.000000,595186167000.000000,555902960000.000000,2568781385000.000000,-640889387000.000000,1927891998000.000000,,1927891998000.000000,-3152584000.000000,1924739414000.000000,1927891998000.000000,1927889549000.000000,2449000.000000,1927891998000.000000,1924739414000.000000,1924736965000.000000,2449000.000000,1924739414000.000000
12M 2012,10449885512000.000000,-8427157554000.000000,2022727958000.000000,-1126863902000.000000,-857209800000.000000,-179218327000.000000,-90435775000.000000,-1126863902000.000000,895864056000.000000,2999631005000.000000,115099172000.000000,166069157000.000000,176306896000.000000,-234500820000.000000,2776656600000.000000,2999631005000.000000,3895495061000.000000,-902379330000.000000,2993115731000.000000,,2993115731000.000000,-4091142000.000000,2989024589000.000000,2993115731000.000000,2993114982000.000000,749000.000000,2993115731000.000000,2989024589000.000000,2989023840000.000000,749000.000000,2989024589000.000000
12M 2013,11298321506000.000000,-9682520825000.000000,1615800681000.000000,-1194768989000.000000,-953439884000.000000,-160967042000.000000,-80362063000.000000,-1194768989000.000000,421031692000.000000,-553962092000.000000,-181009979000.000000,85316381000.000000,,-60660045000.000000,-397608449000.000000,-553962092000.000000,-132930400000.000000,542877769000.000000,409947369000.000000,,409947369000.000000,191354000.000000,410138723000.000000,409947369000.000000,409944115000.000000,3254000.000000,409947369000.000000,410138723000.000000,410135469000.000000,3254000.000000,410138723000.000000
12M 2014,9420630933000.000000,-8644136017000.000000,776494916000.000000,-955899898000.000000,-809171729000.000000,-146728169000.000000,,-955899898000.000000,-179404982000.000000,-653729835000.000000,-370552808000.000000,68664556000.000000,,-126552132000.000000,-225289451000.000000,-653729835000.000000,-833134817000.000000,57848528000.000000,-775286289000.000000,,-775286289000.000000,107245000.000000,-775179044000.000000,-775286289000.000000,-775286833000.000000,544000.000000,-775286289000.000000,-775179044000.000000,-775179588000.000000,544000.000000,-775179044000.000000
12M 2015,10531504802000.000000,-10336364157000.000000,195140645000.000000,-896579167000.000000,-776280373000.000000,-120298794000.000000,,-896579167000.000000,-701438522000.000000,-967335402000.000000,-496574736000.000000,73214891000.000000,,-246021355000.000000,-297954202000.000000,-967335402000.000000,-1668773924000.000000,227921028000.000000,-1440852896000.000000,,-1440852896000.000000,2353408947000.000000,912556051000.000000,-1440852896000.000000,-1440851795000.000000,-1101000.000000,-1440852896000.000000,912556051000.000000,912557152000.000000,-1101000.000000,912556051000.000000
12M 2016,9106260754000.000000,-8254466187000.000000,851794567000.000000,-843638508000.000000,-707278248000.000000,-136360260000.000000,,-843638508000.000000,8156059000.000000,229135536000.000000,-281813472000.000000,343190135000.000000,,-319273938000.000000,487032811000.000000,229135536000.000000,237291595000.000000,-172485407000.000000,64806188000.000000,,64806188000.000000,27270423000.000000,92076611000.000000,64806188000.000000,64810325000.000000,-4137000.000000,64806188000.000000,92076611000.000000,92080748000.000000,-4137000.000000,92076611000.000000
12M 2017,12653619205000.000000,-11009726759000.000000,1643892446000.000000,-1043286128000.000000,-794369050000.000000,-248917078000.000000,,-1043286128000.000000,600606318000.000000,-146209794000.000000,-488268854000.000000,259842315000.000000,,-607685684000.000000,689902429000.000000,-146209794000.000000,454396524000.000000,-317893255000.000000,136503269000.000000,,136503269000.000000,-54895325000.000000,81607944000.000000,136503269000.000000,136506782000.000000,-3513000.000000,136503269000.000000,81607944000.000000,81611457000.000000,-3513000.000000,81607944000.000000
