Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga Dan Syariah, Provisi Dan Komisi",Pembayaran Bunga,"Penerimaan Provisi, Komisi & Administrasi",Pembayaran Beban Karyawan,Pembayaran Beban Umum Dan Administrasi,Penerimaan Dari Pendapatan Operasional Lainnya,Penerimaan Kredit Yang Dihapusbukukan,Pembelian Kredit Yang Diberikan,Penjualan Kredit Yang Diberikan,Pembayaran Pajak Penghasilan,Pembayaran Beban Lainnya,Penerimaan Non Operasional,Penurunan (Kenaikan) Dalam Aset Operasi:,Surat Berharga,Efek - Efek Yang Dibeli Dengan Janji Dijual Kembali Dan Penempatan Pada Bank Indonesia,Wesel Ekspor Dan Tagihan Lainnya,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit Yang Diberikan Dan Pembiayaan Syariah,Tagihan Akseptasi Dan Derivatif,Tagihan Akseptasi,Tagihan Derivatif,Total Tagihan Akseptasi Dan Derivatif,Aset Lain-Lain,Total Penurunan (Kenaikan) Dalam Aset Operasi:,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Simpanan:,Giro,Tabungan,Deposito Berjangka,Total Simpanan:,Simpanan Dari Bank Lain,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Surat Berharga Yang Diterbitkan,Liabilitas Akseptasi Dan Derivatif,Liabilitas Akseptasi,Liabilitas Derivatif,Total Liabilitas Akseptasi Dan Derivatif,Liabilitas Lain-Lain,Utang Pajak,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Kas,Penjualan (Pembelian) Surat Berharga Yang Dimiliki Hingga Jatuh Tempo - Neto,Perolehan Aset Tetap,Penerimaan Pelepasan Entitas Asosiasi,Penambahan Aset Tidak Berwujud,Penambahan Penyertaan Saham,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan (Pelunasan) Dari Pinjaman Yang Diterima,Hasil Penerbitan Efek Utang,Pelunasan Pinjaman Yang Diterima Efek Utang,Penambahan Modal Entitas Anak Dari Kepentingan Non Pengendali,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Pelunasan Efek Utang Yang Diterbitkan,Setoran Modal,Pembayaran Obligasi Subordinasi,Setoran Modal Entitas Anak,Setoran Modal Dari Penerbitan Saham Ipo,Hasil Pelunasan Efek Utang,Penerimaan Obligasi Subordinasi,Pembayaran Biaya Emisi Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2009,3602895000000.000000,3950241000000.000000,-1831070000000.000000,,-627674000000.000000,-355987000000.000000,298101000000.000000,,,499704000000.000000,,-96156000000.000000,,,262321000000.000000,,,,-3723650000000.000000,,,,,-50355000000.000000,-3511684000000.000000,,341449000000.000000,,867082000000.000000,663252000000.000000,3841528000000.000000,5371862000000.000000,813000000.000000,,,,,,,,-51546000000.000000,-67902000000.000000,-317256000000.000000,,5277420000000.000000,,3602895000000.000000,-101752000000.000000,4182000000.000000,,-106207000000.000000,,,-128000000.000000,401000000.000000,-101752000000.000000,-65012000000.000000,,,750000000000.000000,-24785000000.000000,,-370486000000.000000,,,271053000000.000000,,,,-687000000000.000000,,-3794000000.000000,-65012000000.000000,3436131000000.000000,8195553000000.000000,,11631684000000.000000
12M 2010,5391250000000.000000,4990539000000.000000,-2216660000000.000000,,-701962000000.000000,-555564000000.000000,277711000000.000000,,-385290000000.000000,,,-9853000000.000000,,,535302000000.000000,-1322876000000.000000,,,-3818779000000.000000,,-14556000000.000000,,-14556000000.000000,-137537000000.000000,-4758446000000.000000,,23489000000.000000,,-661960000000.000000,1074142000000.000000,7822370000000.000000,8234552000000.000000,1030595000000.000000,,,,,14556000000.000000,,14556000000.000000,-201395000000.000000,-5526000000.000000,-345496000000.000000,,8750775000000.000000,,5391250000000.000000,-88275000000.000000,5004000000.000000,,-92004000000.000000,,,-1275000000.000000,,-88275000000.000000,969087000000.000000,,,,1484000000.000000,,-472738000000.000000,,,5900000000.000000,,5000000000.000000,1429441000000.000000,,,,969087000000.000000,6272062000000.000000,11631684000000.000000,,17903746000000.000000
12M 2011,-3775305000000.000000,5950370000000.000000,-2890892000000.000000,,-749554000000.000000,-705567000000.000000,240169000000.000000,,,,,-527338000000.000000,,,,-6071817000000.000000,,-2648103000000.000000,-5094982000000.000000,,-64159000000.000000,,-64159000000.000000,-312089000000.000000,-14191150000000.000000,,264812000000.000000,,3557914000000.000000,1394065000000.000000,2137334000000.000000,7089313000000.000000,1945042000000.000000,,,,,64159000000.000000,,64159000000.000000,59600000000.000000,-2217000000.000000,-322052000000.000000,,9098657000000.000000,,-3775305000000.000000,-3785586000000.000000,5862000000.000000,-3700955000000.000000,-90493000000.000000,,,,,-3785586000000.000000,589770000000.000000,,,2000000000000.000000,161413000000.000000,,-578643000000.000000,,,,,7000000000.000000,,-1000000000000.000000,,,589770000000.000000,-6971121000000.000000,17903746000000.000000,,10932625000000.000000
12M 2012,4283654000000.000000,6585099000000.000000,-3138213000000.000000,,-946378000000.000000,-917760000000.000000,331062000000.000000,,,,,-299571000000.000000,,,-522283000000.000000,-4172567000000.000000,-32483000000.000000,2160045000000.000000,-9636855000000.000000,,-146260000000.000000,,-146260000000.000000,-723798000000.000000,-13074201000000.000000,,810908000000.000000,,3660588000000.000000,2779505000000.000000,5124770000000.000000,11564863000000.000000,1480958000000.000000,,1922795000000.000000,,,146258000000.000000,,146258000000.000000,79965000000.000000,61001000000.000000,-323132000000.000000,,15743616000000.000000,,4283654000000.000000,-61441000000.000000,5686000000.000000,177082000000.000000,-248845000000.000000,,,3230000000.000000,1406000000.000000,-61441000000.000000,-864401000000.000000,,57161000000.000000,,,18625000000.000000,-590187000000.000000,,-350000000000.000000,,,,,,,,-864401000000.000000,3357812000000.000000,10932625000000.000000,-4693000000.000000,14285744000000.000000
12M 2013,2222768000000.000000,8150042000000.000000,-3353821000000.000000,,-1204931000000.000000,-1256991000000.000000,458310000000.000000,,,,,-257366000000.000000,,,-176670000000.000000,11567260000000.000000,22679000000.000000,461964000000.000000,-10789251000000.000000,,191740000000.000000,,191740000000.000000,-456327000000.000000,821395000000.000000,,184404000000.000000,,1906616000000.000000,3160294000000.000000,-5678228000000.000000,-611318000000.000000,-1265684000000.000000,,1055277000000.000000,,,-191738000000.000000,,-191738000000.000000,26418000000.000000,36307000000.000000,-367536000000.000000,,-1133870000000.000000,,2222768000000.000000,-6110772000000.000000,6117000000.000000,-6065951000000.000000,-52991000000.000000,,,,2053000000.000000,-6110772000000.000000,-570168000000.000000,,93177000000.000000,,,500000000.000000,-663845000000.000000,,,,,,,,,,-570168000000.000000,-4458172000000.000000,14285744000000.000000,2175000000.000000,9829747000000.000000
12M 2014,1176551000000.000000,8732718000000.000000,-4332101000000.000000,,-1345722000000.000000,-1222446000000.000000,435520000000.000000,132418000000.000000,,,,-310055000000.000000,,,-14202000000.000000,-568461000000.000000,25166000000.000000,26094000000.000000,-5171974000000.000000,,14800000000.000000,,14800000000.000000,-6348000000.000000,-5694925000000.000000,,-133157000000.000000,,5162483000000.000000,793028000000.000000,1788919000000.000000,7744430000000.000000,-1590268000000.000000,,-915157000000.000000,,,-14800000000.000000,,-14800000000.000000,9213000000.000000,-8877000000.000000,-310240000000.000000,,4781144000000.000000,,1176551000000.000000,3135298000000.000000,7928000000.000000,3205583000000.000000,-78288000000.000000,,,,75000000.000000,3135298000000.000000,-1301127000000.000000,,132153000000.000000,,,,-757280000000.000000,,,,,,,-676000000000.000000,,,-1301127000000.000000,3010722000000.000000,9829747000000.000000,-1704000000.000000,12838765000000.000000
12M 2015,5579200000000.000000,9868784000000.000000,-5071733000000.000000,,-1724415000000.000000,-1310530000000.000000,481921000000.000000,83868000000.000000,,,,-437706000000.000000,,,-373843000000.000000,-740300000000.000000,18549000000.000000,-48472000000.000000,-6999520000000.000000,,,,,170565000000.000000,-7973021000000.000000,,432573000000.000000,,-2820594000000.000000,2003669000000.000000,10681524000000.000000,9864599000000.000000,164592000000.000000,,1593538000000.000000,,,,,,-36743000000.000000,-96439000000.000000,-260088000000.000000,,11662032000000.000000,,5579200000000.000000,-5338762000000.000000,9934000000.000000,-5294641000000.000000,-54055000000.000000,,,,,-5338762000000.000000,-716126000000.000000,,-21873000000.000000,,,,-694253000000.000000,,,,,,,,,,-716126000000.000000,-475688000000.000000,12838765000000.000000,-7475000000.000000,12355602000000.000000
12M 2016,5105778000000.000000,10604132000000.000000,-4593616000000.000000,,-2159419000000.000000,-1713992000000.000000,568970000000.000000,190326000000.000000,,,,-418063000000.000000,,,-89978000000.000000,1308760000000.000000,-9532000000.000000,-40730000000.000000,-9243452000000.000000,,,,,-34815000000.000000,-8109747000000.000000,,-870505000000.000000,,-1320611000000.000000,2762136000000.000000,9436078000000.000000,10877603000000.000000,2206419000000.000000,,-985868000000.000000,,,,,,24455000000.000000,4704000000.000000,-457286000000.000000,-62335000000.000000,10737187000000.000000,,5105778000000.000000,3653802000000.000000,10812000000.000000,3766242000000.000000,-123252000000.000000,,,,,3653802000000.000000,-422808000000.000000,,-188562000000.000000,588000000000.000000,,,-822246000000.000000,,,,,,,,,,-422808000000.000000,8336772000000.000000,12355602000000.000000,501000000.000000,20692875000000.000000
12M 2017,682196000000.000000,11478290000000.000000,-5169512000000.000000,,-2229453000000.000000,-1964849000000.000000,585891000000.000000,289415000000.000000,,,,-468655000000.000000,,,124034000000.000000,-325150000000.000000,-41220000000.000000,13239000000.000000,-8189417000000.000000,,,,,-174376000000.000000,-8592890000000.000000,,550947000000.000000,,2552106000000.000000,849651000000.000000,5315015000000.000000,8716772000000.000000,-158944000000.000000,,-1900011000000.000000,,,,,,-67310000000.000000,-53526000000.000000,-324283000000.000000,-9686000000.000000,6753959000000.000000,,682196000000.000000,1232273000000.000000,11514000000.000000,1358619000000.000000,-142125000000.000000,,,,4265000000.000000,1232273000000.000000,4068669000000.000000,,2431639000000.000000,2500000000000.000000,,,-862970000000.000000,,,,,,,,,,4068669000000.000000,5983138000000.000000,20692875000000.000000,-1638000000.000000,26674375000000.000000
12M 2018,-6070263000000.000000,11968505000000.000000,-5431103000000.000000,,-2212439000000.000000,-2694271000000.000000,742386000000.000000,258650000000.000000,,,,-514369000000.000000,,,-1016111000000.000000,-2490651000000.000000,-715252000000.000000,75963000000.000000,-4390857000000.000000,,-34970000000.000000,-75000000.000000,-35045000000.000000,116637000000.000000,-8455316000000.000000,,-436776000000.000000,,-1660978000000.000000,2782318000000.000000,-1318704000000.000000,-197364000000.000000,-1809792000000.000000,,3082266000000.000000,,,34970000000.000000,-88000000.000000,34882000000.000000,-57214000000.000000,20079000000.000000,-368387000000.000000,,267694000000.000000,,-6070263000000.000000,-220340000000.000000,10564000000.000000,,-220779000000.000000,,,-10140000000.000000,15000000.000000,-220340000000.000000,2861735000000.000000,,4031040000000.000000,-564472000000.000000,,,-875575000000.000000,,,270742000000.000000,,,,,,,2861735000000.000000,-3428868000000.000000,26662429000000.000000,15676000000.000000,23249237000000.000000
