Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diterima,Utang Pajak,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Obligasi Subordinasi,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,1386775000000.000000,1347701000000.000000,6734048000000.000000,,,,6734048000000.000000,,2702000000.000000,18505242000000.000000,,18507944000000.000000,527855000000.000000,,527855000000.000000,,,60990000000.000000,3845016000000.000000,32410329000000.000000,,,662211000000.000000,23137950000000.000000,2006664000000.000000,21131286000000.000000,23137950000000.000000,2254082000000.000000,,,2254082000000.000000,,,1744253000000.000000,11101000000.000000,,,11101000000.000000,51704000000.000000,,775454000000.000000,,520214000000.000000,520214000000.000000,520214000000.000000,,161817000000.000000,29318786000000.000000,,1583896000000.000000,228258000000.000000,228258000000.000000,228258000000.000000,1279389000000.000000,570283000000.000000,709106000000.000000,1279389000000.000000,,,,3091543000000.000000,32410329000000.000000,6335584186.000000
12M 2010,,1374719000000.000000,2719321000000.000000,12546470000000.000000,,,,12546470000000.000000,,512000000.000000,21491279000000.000000,,21491791000000.000000,549014000000.000000,,549014000000.000000,,,48216000000.000000,4716169000000.000000,43445700000000.000000,,,685700000000.000000,31019700000000.000000,2459938000000.000000,28559762000000.000000,31019700000000.000000,2965649000000.000000,,,2965649000000.000000,,14556000000.000000,1745936000000.000000,12585000000.000000,,,12585000000.000000,32870000000.000000,,613726000000.000000,,1150507000000.000000,1150507000000.000000,1150507000000.000000,,208424000000.000000,38449653000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,1743497000000.000000,806651000000.000000,936846000000.000000,1743497000000.000000,,5054000000.000000,,4996047000000.000000,43445700000000.000000,9696291166.000000
12M 2011,,1725621000000.000000,3673929000000.000000,,832000000000.000000,6948905000000.000000,-1650000000.000000,7779255000000.000000,,475431000000.000000,26523035000000.000000,-507899000000.000000,26490567000000.000000,559884000000.000000,,559884000000.000000,,,37174000000.000000,14182230000000.000000,54448660000000.000000,,,950513000000.000000,37008488000000.000000,14621043000000.000000,22387445000000.000000,37008488000000.000000,5114443000000.000000,3666104000000.000000,1448339000000.000000,5114443000000.000000,,78715000000.000000,2742993000000.000000,173998000000.000000,173998000000.000000,,173998000000.000000,54679000000.000000,,717897000000.000000,,1971605000000.000000,1971605000000.000000,1971605000000.000000,,248229000000.000000,49061560000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,2127146000000.000000,1164886000000.000000,962260000000.000000,2127146000000.000000,,12458000000.000000,,5387100000000.000000,54448660000000.000000,9696291166.000000
12M 2012,,1795074000000.000000,4666015000000.000000,,,8013850000000.000000,-2111000000.000000,8011739000000.000000,,195770000000.000000,35178620000000.000000,-605667000000.000000,34768723000000.000000,734873000000.000000,,734873000000.000000,,,3635000000.000000,20860819000000.000000,70840878000000.000000,,,1761134000000.000000,47632863000000.000000,3193494000000.000000,44439369000000.000000,47632863000000.000000,6392634000000.000000,184358000000.000000,6208276000000.000000,6392634000000.000000,,224975000000.000000,2395091000000.000000,231160000000.000000,,231160000000.000000,231160000000.000000,45556000000.000000,32650000000.000000,700401000000.000000,,3067424000000.000000,3067424000000.000000,3067424000000.000000,,2348150000000.000000,64832038000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,2727657000000.000000,1520190000000.000000,1207467000000.000000,2727657000000.000000,,33687000000.000000,,6008840000000.000000,70840878000000.000000,9696291166.000000
12M 2013,,2595260000000.000000,4454108000000.000000,,,2629337000000.000000,-352000000.000000,2628985000000.000000,,929529000000.000000,44379051000000.000000,-1019520000000.000000,44289060000000.000000,699069000000.000000,,699069000000.000000,,,5819000000.000000,16285932000000.000000,70958233000000.000000,,,1945539000000.000000,46874161000000.000000,11769248000000.000000,35104913000000.000000,46874161000000.000000,4946725000000.000000,144875000000.000000,4801850000000.000000,4946725000000.000000,90000000.000000,33235000000.000000,2396611000000.000000,324337000000.000000,,324337000000.000000,324337000000.000000,101676000000.000000,23971000000.000000,799593000000.000000,,3343143000000.000000,3343143000000.000000,3343143000000.000000,,3450887000000.000000,64239968000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,3436725000000.000000,2041782000000.000000,1394943000000.000000,3436725000000.000000,,34044000000.000000,,6718265000000.000000,70958233000000.000000,9696291166.000000
12M 2014,,2767678000000.000000,5177942000000.000000,,,4764263000000.000000,-3154000000.000000,4761109000000.000000,,873083000000.000000,48743915000000.000000,-1588837000000.000000,48028161000000.000000,1044844000000.000000,,1044844000000.000000,,,6959000000.000000,14049844000000.000000,75836537000000.000000,,,1812382000000.000000,53118800000000.000000,16845043000000.000000,36273757000000.000000,53118800000000.000000,3308630000000.000000,136608000000.000000,3172022000000.000000,3308630000000.000000,,18435000000.000000,1721901000000.000000,456490000000.000000,,456490000000.000000,456490000000.000000,105751000000.000000,20373000000.000000,766221000000.000000,,4868205000000.000000,4868205000000.000000,4868205000000.000000,,2555742000000.000000,68752930000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,3795540000000.000000,2661163000000.000000,1134377000000.000000,3795540000000.000000,,40571000000.000000,,7083607000000.000000,75836537000000.000000,9696291166.000000
12M 2015,,2402588000000.000000,6076789000000.000000,,,3742987000000.000000,-3859000000.000000,3739128000000.000000,,970851000000.000000,54590545000000.000000,-1193224000000.000000,54368172000000.000000,,1023314000000.000000,1023314000000.000000,,,28967000000.000000,21058472000000.000000,88697430000000.000000,,,2244955000000.000000,62903150000000.000000,15872570000000.000000,47030580000000.000000,62903150000000.000000,3515666000000.000000,189840000000.000000,3325826000000.000000,3515666000000.000000,,20634000000.000000,1722884000000.000000,434617000000.000000,,434617000000.000000,434617000000.000000,129533000000.000000,,660998000000.000000,,4871741000000.000000,4871741000000.000000,4871741000000.000000,,4436034000000.000000,80940212000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,4601329000000.000000,3070463000000.000000,1530866000000.000000,4601329000000.000000,,44338000000.000000,-135945000000.000000,7757218000000.000000,88697430000000.000000,9696291166.000000
12M 2016,,2215341000000.000000,5516363000000.000000,,,12786575000000.000000,-9059000000.000000,12777516000000.000000,,1172890000000.000000,62246295000000.000000,-664585000000.000000,62754600000000.000000,,2740397000000.000000,2740397000000.000000,,,137253000000.000000,16176987000000.000000,102318457000000.000000,,,1374450000000.000000,73029838000000.000000,11976181000000.000000,61053657000000.000000,73029838000000.000000,5628485000000.000000,307880000000.000000,5320605000000.000000,5628485000000.000000,227000000.000000,54301000000.000000,2311606000000.000000,246055000000.000000,,246055000000.000000,246055000000.000000,26695000000.000000,72560000000.000000,768005000000.000000,,5624403000000.000000,5624403000000.000000,5624403000000.000000,,3507604000000.000000,92644229000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,4933645000000.000000,3620012000000.000000,1313633000000.000000,4933645000000.000000,,42401000000.000000,1450686000000.000000,9674228000000.000000,102318457000000.000000,9696291166.000000
12M 2017,,2513053000000.000000,5846111000000.000000,,,17698804000000.000000,-9642000000.000000,17689162000000.000000,,1328636000000.000000,69706532000000.000000,-580794000000.000000,70454374000000.000000,,2925337000000.000000,2925337000000.000000,,,177446000000.000000,15374685000000.000000,114980168000000.000000,,,1925397000000.000000,81222167000000.000000,12042645000000.000000,69179522000000.000000,81222167000000.000000,5670067000000.000000,349461000000.000000,5320606000000.000000,5670067000000.000000,88000000.000000,47409000000.000000,3804479000000.000000,2677694000000.000000,,2677694000000.000000,2677694000000.000000,63431000000.000000,110356000000.000000,735962000000.000000,994986000000.000000,6054667000000.000000,6054667000000.000000,6054667000000.000000,,1568490000000.000000,104875193000000.000000,,2424073000000.000000,823423000000.000000,823423000000.000000,823423000000.000000,5282711000000.000000,4326234000000.000000,956477000000.000000,5282711000000.000000,,40540000000.000000,1534228000000.000000,10104975000000.000000,114980168000000.000000,9696291166.000000
12M 2018,,2929207000000.000000,9981495000000.000000,,,9731163000000.000000,-4351000000.000000,9726812000000.000000,,821825000000.000000,74528024000000.000000,-646522000000.000000,74703327000000.000000,,3271751000000.000000,3271751000000.000000,,,155680000000.000000,19423115000000.000000,120191387000000.000000,,,1488621000000.000000,81820984000000.000000,13230691000000.000000,68590293000000.000000,81820984000000.000000,4260720000000.000000,166117000000.000000,4094603000000.000000,4260720000000.000000,,82379000000.000000,3240513000000.000000,6708734000000.000000,,6708734000000.000000,6708734000000.000000,79258000000.000000,110522000000.000000,648703000000.000000,996468000000.000000,4870152000000.000000,4870152000000.000000,4870152000000.000000,,4599018000000.000000,108906072000000.000000,,2459697000000.000000,1058541000000.000000,1058541000000.000000,1058541000000.000000,5955385000000.000000,5043407000000.000000,911978000000.000000,5955385000000.000000,,48740000000.000000,1762952000000.000000,11285315000000.000000,120191387000000.000000,9838787161.000000
