Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,134518467847.000000,-96089849216.000000,38428618631.000000,-13936481788.000000,-13936481788.000000,-13936481788.000000,24492136843.000000,-13061694777.000000,2180863.000000,-696540.000000,-13217714884.000000,,154535784.000000,-13061694777.000000,11430442066.000000,-3181466936.000000,8248975130.000000,181256813189.000000,,181256813189.000000,189505788319.000000,8248975130.000000,8248975130.000000,,8248975130.000000,189505788319.000000,189505788319.000000,,189505788319.000000
12M 2019,166565482035.000000,-122574195311.000000,43991286724.000000,-15972760026.000000,-15972760026.000000,-15972760026.000000,28018526698.000000,-31324082574.000000,20581619.000000,-9265408.000000,-19698973258.000000,-27689074.000000,-11608736453.000000,-31324082574.000000,-3305555876.000000,-3694589944.000000,-7000145820.000000,15523934838.000000,,15523934838.000000,8523789018.000000,-7000145820.000000,-7000145820.000000,,-7000145820.000000,8523789018.000000,8523789018.000000,,8523789018.000000
12M 2020,224296360636.000000,-163800835819.000000,60495524817.000000,-23034629087.000000,-23034629087.000000,-23034629087.000000,37460895730.000000,-23575548066.000000,3338928.000000,-83672.000000,-18578597327.000000,18483750.000000,-5018689745.000000,-23575548066.000000,13885347664.000000,-7765307452.000000,6120040212.000000,7555899217.000000,7555899217.000000,7555899217.000000,13675939429.000000,6120040212.000000,6120040212.000000,,6120040212.000000,13675939429.000000,13675939429.000000,,13675939429.000000
12M 2021,238398863725.000000,-174603088666.000000,63795775059.000000,-21680848802.000000,-21680848802.000000,-21680848802.000000,42114926257.000000,-17185979803.000000,1257026.000000,-4327544.000000,-18360033727.000000,100909092.000000,1076215350.000000,-17185979803.000000,24928946454.000000,-6560329812.000000,18368616642.000000,26484635536.000000,26484635536.000000,26484635536.000000,44853252178.000000,18368616642.000000,18368616642.000000,,18368616642.000000,44853252178.000000,44853252178.000000,,44853252178.000000
12M 2022,279179553590.000000,-207393339745.000000,71786213845.000000,-25158037183.000000,-25158037183.000000,-25158037183.000000,46628176662.000000,-14348345964.000000,1305932.000000,36904617.000000,-15311265240.000000,70061732.000000,854646995.000000,-14348345964.000000,32279830698.000000,-8327507522.000000,23952323176.000000,15689370955.000000,15689370955.000000,15689370955.000000,39641694131.000000,23952323176.000000,23952323176.000000,,23952323176.000000,39641694131.000000,39641694131.000000,,39641694131.000000
12M 2023,303928233031.000000,-228510495577.000000,75417737454.000000,-26771534963.000000,-26771534963.000000,-26771534963.000000,48646202491.000000,-12428113094.000000,2472064.000000,1258794.000000,-12657427659.000000,,225583707.000000,-12428113094.000000,36218089397.000000,-9254462122.000000,26963627275.000000,11349980355.000000,11349980355.000000,11349980355.000000,38313607630.000000,26963627275.000000,26963627275.000000,,26963627275.000000,38313607630.000000,38313607630.000000,,38313607630.000000
12M 2024,324484368661.000000,-255174509844.000000,69309858817.000000,-27710179599.000000,-27710179599.000000,-27710179599.000000,41599679218.000000,-12214867060.000000,2942778.000000,6005036.000000,-12987769610.000000,52969989.000000,710984747.000000,-12214867060.000000,29384812158.000000,-8143567946.000000,21241244212.000000,18827310859.000000,18827310859.000000,18827310859.000000,40068555071.000000,21241244212.000000,21241244212.000000,,21241244212.000000,40068555071.000000,40068555071.000000,,40068555071.000000
