Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Lain-Lain,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Bunga Pembiayaan Konsumen,Pembayaran Bunga Dan Provisi Pinjaman Bank,Pembayaran Liabilitas Sewa,Pembayaran Beban Bunga - Liabilitas Sewa,Pembayaran Dividen,Penerimaan Modal Disetor,Penerimaan Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,8024924010.000000,140018785235.000000,-115354704934.000000,-15885082876.000000,2180863.000000,-756254278.000000,8024924010.000000,-4060443700.000000,,-4060443700.000000,,,-4060443700.000000,-1590545922.000000,14960000000.000000,-2418619413.000000,-914211625.000000,-124915475.000000,-13092799409.000000,,,,,,-1590545922.000000,2373934388.000000,1417241820.000000,3791176208.000000
12M 2019,-35696062615.000000,164546427638.000000,-174315332505.000000,-18214120885.000000,20581619.000000,-7733618482.000000,-35696062615.000000,-33890768086.000000,,-1979268086.000000,213500000.000000,-32125000000.000000,-33890768086.000000,66918331454.000000,140000000000.000000,-112268586180.000000,-658004550.000000,-148464194.000000,-20025753622.000000,,,,13703000000.000000,46316140000.000000,66918331454.000000,-2668499247.000000,3791176208.000000,1122676961.000000
12M 2020,-23530287434.000000,219013184314.000000,-211045953968.000000,-25522409114.000000,3338928.000000,-5978447594.000000,-23530287434.000000,-4538162608.000000,,-4662202608.000000,124040000.000000,,-4538162608.000000,30157454458.000000,77392458737.000000,-28107524766.000000,-875999866.000000,-148148734.000000,-18103330913.000000,,,,,,30157454458.000000,2089004416.000000,1122676961.000000,3211681377.000000
12M 2021,45584772931.000000,229163030383.000000,-149976554287.000000,-26715262220.000000,1257026.000000,-6887697971.000000,45584772931.000000,-4540731312.000000,,-4476378207.000000,191818183.000000,-256171288.000000,-4540731312.000000,-41708414774.000000,15471629603.000000,-35547055208.000000,-1170690241.000000,-135674859.000000,-17926624069.000000,-2187878139.000000,-212121861.000000,,,,-41708414774.000000,-664373155.000000,3211681377.000000,2547308222.000000
12M 2022,31371142434.000000,287084471840.000000,-217113012050.000000,-30771239751.000000,1305932.000000,-7830383537.000000,31371142434.000000,-438930030.000000,,-963975095.000000,545045065.000000,-20000000.000000,-438930030.000000,-31896839674.000000,15275445947.000000,-28897510077.000000,-807508209.000000,-47467590.000000,-15019799745.000000,-2340490812.000000,-59509188.000000,,,,-31896839674.000000,-964627270.000000,2547308222.000000,1582680952.000000
12M 2023,67991529561.000000,302616822256.000000,-191729776750.000000,-32975703327.000000,2472064.000000,-9922284682.000000,67991529561.000000,-15094516969.000000,,-14984876719.000000,,-109640250.000000,-15094516969.000000,-52200917432.000000,,-31701802928.000000,-894228725.000000,-183085025.000000,-12318200754.000000,-2136187523.000000,-263812477.000000,-4703600000.000000,,,-52200917432.000000,696095160.000000,1582680952.000000,2278776112.000000
12M 2024,-14178310022.000000,319431269661.000000,-290425616706.000000,-34462866462.000000,2942778.000000,-8724039293.000000,-14178310022.000000,-1800643575.000000,,-1579697630.000000,1054054055.000000,-1275000000.000000,-1800643575.000000,17123579098.000000,65000000000.000000,-26744515906.000000,-1289691522.000000,-154624778.000000,-12583988696.000000,-2325454385.000000,-74545615.000000,-4703600000.000000,,,17123579098.000000,1144625501.000000,2278776112.000000,3423401613.000000
