Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,84564524969.000000,,144729881493.000000,,,144729881493.000000,125965936430.000000,,,125965936430.000000,9655728450.000000,39024418494.000000,403940489836.000000,,1493556305.000000,69063969761.000000,104300992.000000,16773657709.000000,590156223.000000,36976526404.000000,125002167394.000000,528942657230.000000,,,183337312222.000000,38231083796.000000,,,38231083796.000000,47086974896.000000,,,47086974896.000000,40654236307.000000,11072810162.000000,,46292207061.000000,46292207061.000000,183337312222.000000,27380232704.000000,,16139505126.000000,16139505126.000000,6303323578.000000,4937404000.000000,27380232704.000000,210717544926.000000,,2500000000.000000,265283741012.000000,48166028298.000000,2557405379.000000,-282062385.000000,318225112304.000000,528942657230.000000,250000000.000000
12M 2018,,,709615309603.000000,,92330587190.000000,,,92330587190.000000,75064994378.000000,,,75064994378.000000,10959670535.000000,34059066228.000000,922029627934.000000,,,59769966322.000000,145610266.000000,14133760550.000000,2146178039.000000,49452975994.000000,125648491171.000000,1047678119105.000000,,,274178694479.000000,50263424434.000000,,,50263424434.000000,89285379352.000000,,,89285379352.000000,79519947352.000000,16349631752.000000,,38760311589.000000,38760311589.000000,274178694479.000000,25063546856.000000,,13862636620.000000,13862636620.000000,6093546236.000000,5107364000.000000,25063546856.000000,299242241335.000000,,128333000000.000000,451576546486.000000,163855840015.000000,4657820205.000000,12671064.000000,748435877770.000000,1047678119105.000000,1283330000.000000
12M 2019,,,722287079821.000000,220000000000.000000,181027163725.000000,,,181027163725.000000,103489966435.000000,,,103489966435.000000,12513361132.000000,8606207888.000000,1247923779001.000000,,,141889175969.000000,1441136215.000000,14133760550.000000,435935471.000000,50191523287.000000,208091531492.000000,1456015310493.000000,,,524423357981.000000,145997979721.000000,,,145997979721.000000,175172054902.000000,,,175172054902.000000,140421125516.000000,27167665554.000000,,35664532288.000000,35664532288.000000,524423357981.000000,29248556979.000000,,11879697091.000000,11879697091.000000,4709677888.000000,12659182000.000000,29248556979.000000,553671914960.000000,,128333000000.000000,457300627073.000000,303719954607.000000,13900860033.000000,-911046180.000000,902343395533.000000,1456015310493.000000,1283330000.000000
