Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,538254996942.000000,-147795154961.000000,390459841981.000000,-271771821072.000000,,,-271771821072.000000,118688020909.000000,-18547802204.000000,-18547802204.000000,-18547802204.000000,100140218705.000000,-28369079197.000000,71771139508.000000,71771139508.000000,-711676500.000000,71059463008.000000,71771139508.000000,72235052277.000000,-463912769.000000,71771139508.000000,71059463008.000000,71530747879.000000,-471284871.000000,71059463008.000000
12M 2018,617769716781.000000,-163756314566.000000,454013402215.000000,-313383351894.000000,,,-313383351894.000000,140630050321.000000,23589148889.000000,23589148889.000000,23589148889.000000,164219199210.000000,-47133050575.000000,117086148635.000000,117086148635.000000,297988500.000000,117384137135.000000,117086148635.000000,115601488860.000000,1484659775.000000,117086148635.000000,117384137135.000000,115896222309.000000,1487914826.000000,117384137135.000000
12M 2019,736796880212.000000,-167840502252.000000,568956377960.000000,-384395965251.000000,,,-384395965251.000000,184560412709.000000,35769699283.000000,35769699283.000000,35769699283.000000,220330111992.000000,-69991410729.000000,150338701263.000000,150338701263.000000,-931183500.000000,149407517763.000000,150338701263.000000,145588195179.000000,4750506084.000000,150338701263.000000,149407517763.000000,144664477935.000000,4743039828.000000,149407517763.000000
