Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga Deposito,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Beban Bunga,Pembayaran Untuk Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Dari Pelepasan Investasi Entitas Anak,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Investasi Penyertaan Saham Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Modal Saham,Pembayaran Dividen,Penerimaan Dana Dari Utang Bank,Penerimaan Dari Kepentingan Nonpengendali Yang Berasal Dari Pembentukan Entitas Anak Baru Melalui Perjanjian Kerja Sama,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Cerukan,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,61124613980.000000,487377088136.000000,,-401153226148.000000,,,-401153226148.000000,-7718123057.000000,-17381124951.000000,61124613980.000000,-42446501107.000000,-8828816142.000000,622482735.000000,1326000000.000000,,,-35566167700.000000,-42446501107.000000,3704001176.000000,,-775219332.000000,62453645141.000000,,-57974424633.000000,3704001176.000000,22382114049.000000,62182410920.000000,,62182410920.000000,84564524969.000000
12M 2018,1120427198829.000000,1359793648818.000000,1984570390.000000,-215147004714.000000,,,-215147004714.000000,-6888441523.000000,-19315574142.000000,1120427198829.000000,-703568998000.000000,-13068998000.000000,,,-690500000000.000000,,,-703568998000.000000,221173102940.000000,243962386061.000000,,27576440754.000000,,-50365723875.000000,221173102940.000000,638031303769.000000,71584005834.000000,,71584005834.000000,709615309603.000000
12M 2019,282782117810.000000,648100303677.000000,32811380408.000000,-362655413574.000000,,,-362655413574.000000,-7690781435.000000,-27783371266.000000,282782117810.000000,-267187661314.000000,-47187661314.000000,,,-220000000000.000000,,,-267187661314.000000,-2922686278.000000,,,34653092099.000000,4500000000.000000,-42075778377.000000,-2922686278.000000,12671770218.000000,709615309603.000000,,709615309603.000000,722287079821.000000
