Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan Dari Penghasilan Keuangan,Pembayaran Untuk :,Beban Keuangan,Pajak Final,Pajak Penghasilan,Total Pembayaran Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Pembayaran Uang Muka Tanah,Pembayaran Uang Muka Kontraktor,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Properti Investasi,Pembayaran Aset Pengembangan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Lainnya,Pembayaran Pembiayaan Konsumen,Pembayaran Utang Bank Dan Lembaga Pembiayaan Dan Utang Sewa Pembiayaan,Penerimaan Dari Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Utang Pihak Ketiga,Pembayaran Dividen,Penerimaan Neto Dari Penawaran Umum Saham Perdana,Penerimaan Sehubungan Dengan Konversi Waran,Penerimaan (Pembayaran) Surat Utang Jangka Menengah,Penerimaan (Pembayaran) Utang Non-Usaha Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,13319746968.000000,285110410497.000000,,-166073210255.000000,-45603227020.000000,-211676437275.000000,147803486.000000,,-45097240773.000000,,-15164788967.000000,-60262029740.000000,13319746968.000000,-9465505010.000000,-7411481120.000000,100000000.000000,,,,-1366555096.000000,-787468794.000000,-9465505010.000000,3638766083.000000,,-12834596128.000000,-10824586589.000000,8616241165.000000,,,,,,8641000001.000000,10040707634.000000,3638766083.000000,7493008041.000000,15564758292.000000,23057766333.000000
12M 2020,-79341355009.000000,148347107363.000000,,-100455412332.000000,-34662765290.000000,-135118177622.000000,-34662765290.000000,,-33919333234.000000,,-23988186226.000000,-57907519460.000000,-79341355009.000000,-9201234906.000000,-1542680353.000000,,,,,-6579399282.000000,-1079155271.000000,-9201234906.000000,47295199239.000000,43653810069.000000,-246716810.000000,-16987357125.000000,16134285957.000000,-76516736.000000,,,,,13299100000.000000,-8481406116.000000,47295199239.000000,-41247390676.000000,23057766333.000000,-18189624343.000000
12M 2021,-13321179531.000000,179078364951.000000,,-117944126821.000000,-36251859115.000000,-154195985936.000000,94621686.000000,,-17800907451.000000,,-20497272781.000000,-38298180232.000000,-13321179531.000000,-18888638707.000000,-1550469393.000000,,,,,-16534803684.000000,-803365630.000000,-18888638707.000000,29224785016.000000,186157803909.000000,-61674005.000000,-22271327705.000000,,-514094750.000000,,,,,-121007100001.000000,-13078822432.000000,29224785016.000000,-2985033222.000000,16634762999.000000,13649729777.000000
12M 2022,47649919682.000000,270899927745.000000,,-134768722592.000000,-42451713737.000000,-177220436329.000000,68265873.000000,,-25641097410.000000,-20177877796.000000,-278862401.000000,-46097837607.000000,47649919682.000000,-286658698742.000000,-22561377728.000000,,-99977050000.000000,-148903033375.000000,,-14177296089.000000,-1039941550.000000,-286658698742.000000,240022500850.000000,4359725830.000000,-18763311340.000000,-14189906661.000000,,-611912244.000000,,,267369630167.000000,,,1858275098.000000,240022500850.000000,1013721790.000000,13649729777.000000,14663451567.000000
12M 2023,69026560047.000000,330329988100.000000,,-153604566135.000000,-42782098666.000000,-196386664801.000000,83312926.000000,,-40217488920.000000,-24503391461.000000,-279195797.000000,-65000076178.000000,69026560047.000000,-16365377692.000000,-10329319553.000000,,,,173187971.000000,-5089050521.000000,-1120195589.000000,-16365377692.000000,-48353209430.000000,,-16478371670.000000,-19674243322.000000,,-690697201.000000,,,,21122250.000000,,-11531019487.000000,-48353209430.000000,4307972925.000000,14663451367.000000,18971424292.000000
12M 2024,105258300209.000000,363605538539.000000,,-147244273327.000000,-42433571619.000000,-189677844946.000000,151528858.000000,,-41482879358.000000,-26937233750.000000,-400809134.000000,-68820922242.000000,105258300209.000000,-41397721392.000000,-45767943154.000000,,,,4370221762.000000,,,-41397721392.000000,-64128018243.000000,,-4312188231.000000,-30484075488.000000,,-574720382.000000,-1000000000.000000,-25085778020.000000,,,,-2671256122.000000,-64128018243.000000,-267439426.000000,18971425292.000000,18703985866.000000
