Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,242068961619.000000,-134592995005.000000,107475966614.000000,-99593531429.000000,-12109289885.000000,-85008520113.000000,-2475721431.000000,-99593531429.000000,7882435185.000000,-69582378226.000000,-69730181712.000000,147803486.000000,-69582378226.000000,-61699943041.000000,-15485082073.000000,-15250387525.000000,-234694548.000000,-15485082073.000000,-77185025114.000000,-35316574.000000,-35316574.000000,-35316574.000000,-77220341688.000000,-77185025114.000000,-77185025114.000000,,-77185025114.000000,-77220341688.000000,-77220341688.000000,,-77220341688.000000
12M 2020,150500079952.000000,-110096468000.000000,40403611952.000000,-85131196876.000000,-7899073442.000000,-69948696618.000000,-7283426816.000000,-85131196876.000000,-44727584924.000000,-56496045271.000000,-56681911473.000000,185866202.000000,-56496045271.000000,-101223630195.000000,-8192463060.000000,-8041980816.000000,-150482244.000000,-8192463060.000000,-109416093255.000000,-38657560.000000,-38657560.000000,-38657560.000000,-109454750815.000000,-109416093255.000000,-109416093255.000000,,-109416093255.000000,-109454750815.000000,-109454750815.000000,,-109454750815.000000
12M 2021,238092211211.000000,-163579836043.000000,74512375168.000000,853701336905.000000,-4952839494.000000,-70906599521.000000,929560775920.000000,853701336905.000000,928213712073.000000,-53120232211.000000,-53219175616.000000,98943405.000000,-53120232211.000000,875093479862.000000,-11909051412.000000,-11734865754.000000,-174185658.000000,-11909051412.000000,863184428450.000000,389435477884.000000,389435477884.000000,389435477884.000000,1252619906334.000000,863184428450.000000,863184428450.000000,,863184428450.000000,1252619906334.000000,1252619906334.000000,,1252619906334.000000
12M 2022,264970806841.000000,-100728208084.000000,164242598757.000000,-84693413583.000000,-6192498552.000000,-74829731777.000000,-3671183254.000000,-84693413583.000000,79549185174.000000,-56117452381.000000,-56185718254.000000,68265873.000000,-56117452381.000000,23431732793.000000,-19455234186.000000,-19207551781.000000,-247682405.000000,-19455234186.000000,3976498607.000000,-14257928.000000,-14257928.000000,-14257928.000000,3962240679.000000,3976498607.000000,3976498607.000000,,3976498607.000000,3962240679.000000,3962240679.000000,,3962240679.000000
12M 2023,347099264125.000000,-134147237072.000000,212952027053.000000,-102610532525.000000,-9514718503.000000,-90194461027.000000,-2901352995.000000,-102610532525.000000,110341494528.000000,-45945178507.000000,-46176478658.000000,231300151.000000,-45945178507.000000,64396316021.000000,-24797764261.000000,-24503391461.000000,-294372800.000000,-24797764261.000000,39598551760.000000,-15946727.000000,-15946727.000000,-15946727.000000,39582605033.000000,39598551760.000000,39598551760.000000,,39598551760.000000,39582605033.000000,39582605033.000000,,39582605033.000000
12M 2024,361493173122.000000,-104406311777.000000,257086861345.000000,-109173806154.000000,-10545168869.000000,-102168928768.000000,3540291483.000000,-109173806154.000000,147913055191.000000,229063897784.000000,-41673010492.000000,270736908276.000000,229063897784.000000,376976952975.000000,-27392376790.000000,-26937233750.000000,-455143040.000000,-27392376790.000000,349584576185.000000,80603014991.000000,80603014991.000000,80603014991.000000,430187591176.000000,349584576185.000000,349584576185.000000,,349584576185.000000,430187591176.000000,430187591176.000000,,430187591176.000000
