Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Beban Operasi,Pembayaran Aktivitas Operasi Lainnya,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka,Perolehan Aset Tak Berwujud,Perolehan Aset Hak-Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank,Penerimaan,Pembayaran,Total Utang Bank,Penambahan Modal Disetor,Pembayaran Biaya Emisi Efek,Pembayaran Utang Pembiayaan Konsumen,Penerimaan,Pembayaran,Total Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabiltas Sewa,Penerimaan,Pembayaran,Total Pembayaran Liabiltas Sewa,Penerimanaan (Pembayaran) Liabilitas Sewa,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,2541091865.000000,57947292369.000000,-54328703553.000000,-699763916.000000,-357514783.000000,12000000.000000,-32218252.000000,,2541091865.000000,-2381431727.000000,-1411431727.000000,,-970000000.000000,,-2381431727.000000,1398666665.000000,,1490708333.000000,-92041668.000000,1398666665.000000,,,,,,,,,,,,,1398666665.000000,1558326803.000000,558824320.000000,2117151123.000000
12M 2021,1304197999.000000,167906218719.000000,-165019656590.000000,-743245139.000000,-479739514.000000,39871978.000000,-116343088.000000,-282908367.000000,1304197999.000000,-1830910100.000000,-545910100.000000,,-1285000000.000000,,-1830910100.000000,-371781354.000000,,,-351375005.000000,-351375005.000000,,,-20406349.000000,,,-20406349.000000,,,,,,,-371781354.000000,-898493455.000000,2117151123.000000,1218657668.000000
12M 2022,-423418255.000000,604284949672.000000,-599475868641.000000,-2559819383.000000,-2302175251.000000,9092287.000000,-109986883.000000,-269610056.000000,-423418255.000000,-33915574.000000,-33915574.000000,,,,-33915574.000000,289045509.000000,,774999892.000000,-405456930.000000,369542962.000000,,,-40795219.000000,,,-40795219.000000,,,,,-39702234.000000,,289045509.000000,-168288320.000000,1218657668.000000,1050369348.000000
12M 2023,284558769.000000,825977885079.000000,-815200136193.000000,-2408218217.000000,-4021213364.000000,-74005703.000000,-181489560.000000,-3808263273.000000,284558769.000000,-5349164196.000000,-1493769955.000000,,-3900000000.000000,44605759.000000,-5349164196.000000,10318092618.000000,,733162286.000000,-385000000.000000,348162286.000000,9900000000.000000,,,155440000.000000,-44509668.000000,110930332.000000,,,,,-41000000.000000,,10318092618.000000,5253487191.000000,1050369348.000000,6303856539.000000
12M 2024,-68236116599.000000,1492898755852.000000,-1534424169575.000000,-5318078023.000000,-13096053292.000000,-287116443.000000,-105262387.000000,-7904192731.000000,-68236116599.000000,-9021249822.000000,-2120760333.000000,-3232000000.000000,-1714000000.000000,-1954489489.000000,-9021249822.000000,77591803246.000000,,700000000.000000,-305000000.000000,395000000.000000,83750000000.000000,-6190437333.000000,,,-275604638.000000,-275604638.000000,,,,,-87154783.000000,,77591803246.000000,334436825.000000,6303856539.000000,6638293364.000000
