Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,57087836583.000000,-55019904081.000000,2067932502.000000,-1468627190.000000,599305312.000000,-20218252.000000,-20218252.000000,-20218252.000000,579087060.000000,3358626.000000,,3358626.000000,3358626.000000,582445686.000000,582445686.000000,,,,582445686.000000,582445686.000000,582445686.000000,,582445686.000000,582445686.000000,582445686.000000,,582445686.000000
12M 2021,168882736728.000000,-162408700009.000000,6474036719.000000,-1888040339.000000,4585996380.000000,-78211735.000000,-78211735.000000,-78211735.000000,4507784645.000000,-980796929.000000,-988480460.000000,7683531.000000,-980796929.000000,3526987716.000000,3526987716.000000,-441581.000000,-441581.000000,-441581.000000,3526546135.000000,3526987716.000000,3526987716.000000,,3526987716.000000,3526546135.000000,3526546135.000000,,3526546135.000000
12M 2022,603669485754.000000,-579519504498.000000,24149981256.000000,-5664693951.000000,18485287305.000000,-100894596.000000,-100894596.000000,-100894596.000000,18384392709.000000,-4044043680.000000,-4056981060.000000,12937380.000000,-4044043680.000000,14340349029.000000,14340349029.000000,-6721010.000000,-6721010.000000,-6721010.000000,14333628019.000000,14340349029.000000,14340349029.000000,,14340349029.000000,14333628019.000000,14333628019.000000,,14333628019.000000
12M 2023,819947029143.000000,-788491765156.000000,31455263987.000000,-7272764445.000000,24182499542.000000,-255495263.000000,,-255495263.000000,23927004279.000000,-5324605341.000000,-5345054220.000000,20448879.000000,-5324605341.000000,18602398938.000000,18602398938.000000,-4977144.000000,-4977144.000000,-4977144.000000,18597421794.000000,18602398938.000000,18602398938.000000,,18602398938.000000,18597421794.000000,18597421794.000000,,18597421794.000000
12M 2024,1494736188279.000000,-1449660484541.000000,45075703738.000000,-20387486768.000000,24688216970.000000,-392378830.000000,,-392378830.000000,24295838140.000000,-4212576024.000000,-4223657680.000000,11081656.000000,-4212576024.000000,20083262116.000000,20083262116.000000,-9807655.000000,-9807655.000000,-9807655.000000,20073454461.000000,20083262116.000000,20083262116.000000,,20083262116.000000,20073454461.000000,20073454461.000000,,20073454461.000000
