Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Transaksi Pembiayaan,Pembiayaan Konsumen,Sewa Pembiayaan,Total Penerimaan Dari Transaksi Pembiayaan,Pembiayaan Bersama,Piutang Opsi Saham Karyawan,Penerimaan Dari Pendapatan Keuangan,Penerimaan Bersih Dari Aktivitas Operasi Lainnya,Administrasi,Asuransi,Denda,Lain-Lain,Total Penerimaan Bersih Dari Aktivitas Operasi Lainnya,Pembayaran Pembiayaan Bersama,Pembayaran Atas Beban Keuangan Dan Beban Administrasi Bank,Beban Bunga,Pinjaman – Rupiah,Obligasi,Pinjaman - Swap,Pinjaman – Usd,Medium Term Note,Pinjaman – Jpy,Total Beban Bunga,Biaya Administrasi Bank,Total Pembayaran Atas Beban Keuangan Dan Beban Administrasi Bank,Pembayaran Beban Umum Dan Administrasi,Pembayaran Untuk Transaksi Pembiayaan Baru,Pembiayaan Konsumen,Sewa Pembiayaan,Total Pembayaran Untuk Transaksi Pembiayaan Baru,Pembayaran Lain-Lain,Adjustment,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Penempatan Pada Deposito Berjangka,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Tak Berwujud,Penambahan Aset Hak Guna,Uang Muka Pembelian Aset Tetap,Perolehan Aset Ijarah Muntahiyah Bittamlik,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Pinjaman Yang Diterima,Standard Chartered Bank,Pt Bank Pan Indonesia Tbk,Pt Bank Hana,Pt Bank Dki,Pt Bank Pembangunan Daerah Kalimantan Selatan,Pt Bank Permata Tbk,Pt Bank Commonwealth,Pt Bpd Jawa Barat & Banten Tbk,Pt Bank Negara Indonesia (Persero) Tbk,Pt Bank Danamon Indonesia Tbk,Pt Bank Victoria International Tbk,Pt Bank Internasional Indonesia Tbk,Lim Asia Special Situations Master Fund Limited,Pt Ifs Capital Indonesia,Pt Bca Finance,Pt Bank Sinarmas Tbk,Pt Anz Panin Bank,Pt Bank Central Asia Tbk,Pt Bank Cimb Niaga Tbk,Pt Bank Maybank Indocorp,Total Pinjaman Yang Diterima,Pembiayaan Bersama,Pt Bank Tabungan Pensiunan Nasional Tbk,Pt Bank Mandiri (Persero) Tbk,Pt Bank Dki,Pt Bank Cimb Niaga Tbk,Total Pembiayaan Bersama,Penerusan Pinjaman (Channelling) Dan Jual Beli Piutang,Pt Bank Rakyat Indonesia (Persero) Tbk,Pt Bank Mutiara Tbk,Pt Bank Mandiri Syariah,Pt Bank Mandiri (Persero) Tbk,Pt Bank Tabungan Pensiunan Nasional Tbk,Pt Bank Dki,Pt Bank Cimb Niaga Tbk,Pt Bank Icb Bumiputera Tbk,Pt Bank Permata Tbk,Pt Bank Hana,Pt Bank Ina Perdana,Total Penerusan Pinjaman (Channelling) Dan Jual Beli Piutang,Efek Utang Yang Diterbitkan - Bersih,Pt Bank Icb Bumiputera Tbk,Total Efek Utang Yang Diterbitkan - Bersih,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Utang Obligasi - Bersih,Medium Term Notes - Bersih,Surat Berharga Yang Diterbitkan,Opsi Saham Yang Dieksekusi,Piutang Opsi Saham Karyawan,Total Penerimaan Dari:,Pembayaran Atas:,Pinjaman Yang Diterima,Pt Bank Pan Indonesia Tbk,Pt Bank Hana,Standard Chartered Bank,Pt Bank Permata Tbk,Pt Bank Internasional Indonesia Tbk,Pt Bank Danamon Indonesia Tbk,Pt Anz Panin Bank,Pt Bank Maybank Indocorp,Pt Bank Victoria International Tbk,Pt Bank Bpd Jawa Barat & Banten Tbk,Pt Bank Sinarmas Tbk,Pt Ifs Capital Indonesia,Pt Bank Negara Indonesia (Persero) Tbk,Lim Asia Special Situations Master Fund Limited,Pt Bank Cimb Niaga Tbk,Pt Bank Central Asia Tbk,Pt Bank Dki,Pt Bca Finance,Pt Bank Commonwealth,The Royal Bank Of Scotland Plc,Merril Lynch Credit Product Llc,Total Pinjaman Yang Diterima,Pembiayaan Bersama,Pt Bank Mandiri (Persero) Tbk,Pt Bank Tabungan Pensiunan Nasional Tbk,Pt Bank Dki,Pt Bank Cimb Niaga Tbk,Pt Bank Internasional Indonesia Tbk,Total Pembiayaan Bersama,Penerusan Pinjaman (Channelling) Dan Jual Beli Piutang,Pt Bank Rakyat Indonesia (Persero) Tbk,Pt Bank Mutiara Tbk,Pt Bank Mandiri Syariah,Total Penerusan Pinjaman (Channelling) Dan Jual Beli Piutang,Pengalihan Piutang,Pt Bank Icb Bumiputera Tbk,Pt Bank Ina Perdana,Total Pengalihan Piutang,Total Pembayaran Atas:,"Angsuran Atas Penjualan, Pengalihan Piutang Dan Pembiayaan Bersama",Bunga,Pelunasan Pokok Obligasi,Pembelian Kembali Obligasi,Hasil Pelaksanaan Opsi Saham Karyawan,Program Kepemilikan Saham Manajemen Dan Karyawan,Dividen Kas,Pembelian Kembali Saham,Biaya Emisi Obligasi,Deposito Dan Kas Yang Dibatasi Penggunaannya Untuk Pembayaran Kembali Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-50728000000.000000,,3209581000000.000000,,3209581000000.000000,,,14751000000.000000,165995000000.000000,,,,,165995000000.000000,,,,,,,,,,,,,-211525000000.000000,-3119763000000.000000,,,-3119763000000.000000,,,-109767000000.000000,-50728000000.000000,-26028000000.000000,,,1165000000.000000,,,,,-27193000000.000000,-26028000000.000000,270953000000.000000,,1389571000000.000000,,,,,,,,,,,,,,,,,,,,,1389571000000.000000,,,,,,,414517000000.000000,,,,,,,,,,,,414517000000.000000,,,,,,,,,,1804088000000.000000,,-802237000000.000000,,,,,,,,,,,,,,,,,,,,,,-802237000000.000000,,,,,,,,,,,,,,,,,-802237000000.000000,-411933000000.000000,-181704000000.000000,,,,,-77533000000.000000,,-22000000.000000,-59706000000.000000,270953000000.000000,194197000000.000000,108687000000.000000,12199000000.000000,315083000000.000000
12M 2009,1347523000000.000000,,3405888000000.000000,,3405888000000.000000,,,29465000000.000000,212806000000.000000,,,,,212806000000.000000,,,,,,,,,,,,,-227011000000.000000,-1972058000000.000000,,,-1972058000000.000000,,,-101567000000.000000,1347523000000.000000,-11501000000.000000,,,1276000000.000000,,,,,-12777000000.000000,-11501000000.000000,-1479024000000.000000,,80000000000.000000,,,,,,,,,,,,,,,,,,,,,80000000000.000000,,,,,,,163568000000.000000,,,,,,,,,,,,163568000000.000000,,,,,,,,,,243568000000.000000,,-1068706000000.000000,,,,,,,,,,,,,,,,,,,,,,-1068706000000.000000,,,,,,,,,,,,,,,,,-1068706000000.000000,-359059000000.000000,-128359000000.000000,-105500000000.000000,-94500000000.000000,,,-81331000000.000000,,,114863000000.000000,-1479024000000.000000,-143002000000.000000,315083000000.000000,-6322000000.000000,165759000000.000000
12M 2010,-601650000000.000000,,3712134000000.000000,,3712134000000.000000,,,12584000000.000000,249223000000.000000,,,,,249223000000.000000,,,,,,,,,,,,,-318878000000.000000,-4154659000000.000000,,,-4154659000000.000000,,,-102054000000.000000,-601650000000.000000,-103507000000.000000,,,1519000000.000000,,,,,-105026000000.000000,-103507000000.000000,873877000000.000000,,1610112000000.000000,,,,,,,,,,,,,,,,,,,,,1610112000000.000000,,,,,,,246756000000.000000,,,,,,,,,,,,246756000000.000000,,,,,160000000000.000000,,,,,2016868000000.000000,,-734041000000.000000,,,,,,,,,,,,,,,,,,,,,,-734041000000.000000,,,,,,,,,,,,,,,,,-734041000000.000000,-161700000000.000000,-144215000000.000000,,,,,-102388000000.000000,,-1593000000.000000,946000000.000000,873877000000.000000,168720000000.000000,165759000000.000000,,334479000000.000000
12M 2011,-1424647000000.000000,,4158534000000.000000,651615000000.000000,4810149000000.000000,,,1025000000.000000,,113036000000.000000,77364000000.000000,69826000000.000000,19320000000.000000,279546000000.000000,,,,-180929000000.000000,-24543000000.000000,,-69680000000.000000,,-241000000.000000,-275393000000.000000,-1511000000.000000,-276904000000.000000,-405010000000.000000,,-4654691000000.000000,-1087067000000.000000,-5741758000000.000000,,9225000000.000000,-100920000000.000000,-1424647000000.000000,-140753000000.000000,,-64000000000.000000,5935000000.000000,,,,,-82688000000.000000,-140753000000.000000,1397617000000.000000,,,513000000000.000000,250000000000.000000,50000000000.000000,,,264005000000.000000,,100000000000.000000,22700000000.000000,143239000000.000000,150000000000.000000,230673000000.000000,50000000000.000000,43497000000.000000,5097000000.000000,,,,,,1822211000000.000000,,,,,,,,105581000000.000000,73768000000.000000,432000000.000000,223449000000.000000,146652000000.000000,99999000000.000000,52858000000.000000,52992000000.000000,,,,755731000000.000000,,,,,415804000000.000000,,,,,2993746000000.000000,,,-18056000000.000000,-33220000000.000000,-362406000000.000000,-207660000000.000000,-124189000000.000000,-116099000000.000000,-50000000000.000000,-38099000000.000000,-36111000000.000000,-6429000000.000000,-32637000000.000000,-28974000000.000000,,-9091000000.000000,-28333000000.000000,-16667000000.000000,,-2376000000.000000,,-16667000000.000000,,-1127014000000.000000,,,,,,,,,,,,,,,,,-1127014000000.000000,-374115000000.000000,,-95000000000.000000,,,,,,,,1397617000000.000000,-167783000000.000000,334479000000.000000,,166696000000.000000
12M 2012,-1204854000000.000000,,6332715000000.000000,,6332715000000.000000,,,5763000000.000000,368565000000.000000,,,,,368565000000.000000,,-348002000000.000000,,,,,,,,,,-348002000000.000000,-454480000000.000000,-6992682000000.000000,,,-6992682000000.000000,,,-116733000000.000000,-1204854000000.000000,-62493000000.000000,64000000000.000000,,5161000000.000000,,,,,-131654000000.000000,-62493000000.000000,1269548000000.000000,,1591789000000.000000,,,,,,,,,,,,,,,,,,,,,1591789000000.000000,1265932000000.000000,,,,,1265932000000.000000,55321000000.000000,,,,,,,,,,,,55321000000.000000,794643000000.000000,,794643000000.000000,,,,,,,3707685000000.000000,,-1539994000000.000000,,,,,,,,,,,,,,,,,,,,,,-1539994000000.000000,-545992000000.000000,,,,,,-545992000000.000000,-197151000000.000000,,,,-197151000000.000000,,,,,-2283137000000.000000,,,-155000000000.000000,,,,,,,,1269548000000.000000,2201000000.000000,166696000000.000000,,168897000000.000000
12M 2013,-1323548000000.000000,,8143990000000.000000,,8143990000000.000000,,,8072000000.000000,379120000000.000000,,,,,379120000000.000000,,-414180000000.000000,,,,,,,,,,-414180000000.000000,-651824000000.000000,-8652383000000.000000,,,-8652383000000.000000,,,-136343000000.000000,-1323548000000.000000,-149433000000.000000,,,3157000000.000000,,,,,-152590000000.000000,-149433000000.000000,1528846000000.000000,,3077374000000.000000,,,,,,,,,,,,,,,,,,,,,3077374000000.000000,1651981000000.000000,,,,,1651981000000.000000,599330000000.000000,,,,,,,,,,,,599330000000.000000,621311000000.000000,,621311000000.000000,,,,,12465000000.000000,,5962461000000.000000,,-2521692000000.000000,,,,,,,,,,,,,,,,,,,,,,-2521692000000.000000,-1349969000000.000000,,,,,,-1349969000000.000000,-264954000000.000000,,,,-264954000000.000000,,,,,-4136615000000.000000,,,-297000000000.000000,,,,,,,,1528846000000.000000,55865000000.000000,168897000000.000000,,224762000000.000000
12M 2014,-657449000000.000000,,9610426000000.000000,,9610426000000.000000,,,10316000000.000000,453720000000.000000,,,,,453720000000.000000,,-505328000000.000000,,,,,,,,,,-505328000000.000000,-753268000000.000000,-9295421000000.000000,,,-9295421000000.000000,,,-177894000000.000000,-657449000000.000000,-87549000000.000000,,,23764000000.000000,,,,,-111313000000.000000,-87549000000.000000,809916000000.000000,,3150236000000.000000,,,,,,,,,,,,,,,,,,,,,3150236000000.000000,1547117000000.000000,,,,,1547117000000.000000,550984000000.000000,,,,,,,,,,,,550984000000.000000,630000000000.000000,,630000000000.000000,,,,,48972000000.000000,,5927309000000.000000,,-2319709000000.000000,,,,,,,,,,,,,,,,,,,,,,-2319709000000.000000,-1418832000000.000000,,,,,,-1418832000000.000000,-722577000000.000000,,,,-722577000000.000000,,,,,-4461118000000.000000,,,-463000000000.000000,,,,-193275000000.000000,,,,809916000000.000000,64918000000.000000,224762000000.000000,,289680000000.000000
12M 2015,148341000000.000000,,11520772000000.000000,,11520772000000.000000,,,30591000000.000000,611223000000.000000,,,,,611223000000.000000,,-718526000000.000000,,,,,,,,,,-718526000000.000000,-1082388000000.000000,-10057695000000.000000,,,-10057695000000.000000,,,-155636000000.000000,148341000000.000000,-75869000000.000000,,,11048000000.000000,,,,,-86917000000.000000,-75869000000.000000,415081000000.000000,,4423251000000.000000,,,,,,,,,,,,,,,,,,,,,4423251000000.000000,1830553000000.000000,,,,,1830553000000.000000,9867000000.000000,,,,,,,,,,,,9867000000.000000,1255000000000.000000,,1255000000000.000000,,,,,35335000000.000000,,7554006000000.000000,,-2886898000000.000000,,,,,,,,,,,,,,,,,,,,,,-2886898000000.000000,-1960608000000.000000,,,,,,-1960608000000.000000,-578854000000.000000,,,,-578854000000.000000,,,,,-5426360000000.000000,,,-1195000000000.000000,,,,-513521000000.000000,-4044000000.000000,,,415081000000.000000,487553000000.000000,289680000000.000000,,777233000000.000000
12M 2016,231682000000.000000,,12304611000000.000000,,12304611000000.000000,,,26899000000.000000,801404000000.000000,,,,,801404000000.000000,,-971494000000.000000,,,,,,,,,,-971494000000.000000,-997747000000.000000,-10742821000000.000000,,,-10742821000000.000000,,,-189170000000.000000,231682000000.000000,-50438000000.000000,,,11823000000.000000,-5636000000.000000,,,,-56625000000.000000,-50438000000.000000,-793089000000.000000,,4614300000000.000000,,,,,,,,,,,,,,,,,,,,,4614300000000.000000,757731000000.000000,,,,,757731000000.000000,,,,,,,,,,,,,,2000000000000.000000,,2000000000000.000000,,,,,67808000000.000000,,7439839000000.000000,,-5252307000000.000000,,,,,,,,,,,,,,,,,,,,,,-5252307000000.000000,-1463067000000.000000,,,,,,-1463067000000.000000,-178051000000.000000,,,,-178051000000.000000,,,,,-6893425000000.000000,,,-710000000000.000000,,-50329000000.000000,,-331058000000.000000,-248116000000.000000,,,-793089000000.000000,-611845000000.000000,777233000000.000000,,165388000000.000000
12M 2017,-2335063000000.000000,,15051927000000.000000,,15051927000000.000000,279062000000.000000,28153000000.000000,7107000000.000000,108764000000.000000,,,,,108764000000.000000,-991151000000.000000,-980143000000.000000,,,,,,,,,,-980143000000.000000,-1208183000000.000000,-14340836000000.000000,,,-14340836000000.000000,,,-289763000000.000000,-2335063000000.000000,-183381000000.000000,,,28431000000.000000,-7425000000.000000,,-81055000000.000000,,-123332000000.000000,-183381000000.000000,2578259000000.000000,,8036520000000.000000,,,,,,,,,,,,,,,,,,,,,8036520000000.000000,,,,,,,,,,,,,,,,,,,,1835000000000.000000,,1835000000000.000000,1000000.000000,,,,,,9871521000000.000000,,-5866460000000.000000,,,,,,,,,,,,,,,,,,,,,,-5866460000000.000000,,,,,,,,-26013000000.000000,,,,-26013000000.000000,,,,,-5892473000000.000000,,,-892000000000.000000,,,,-508789000000.000000,,,,2578259000000.000000,59815000000.000000,165388000000.000000,,225203000000.000000
