Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,13.71,,0.21,,,0.0
12M 2009,,,,,,,,,13.07,13.52,0.24,0.29,,,0.0
12M 2010,,,,,,,,,7.31,5.37,0.23,0.2,,,0.0
12M 2011,,,,,,,,,5.72,5.14,0.22,0.19,,,0.0
12M 2012,,,,,,,,,4.98,4.35,0.21,0.19,,,0.0
12M 2013,,,,,,,,,4.22,3.72,0.2,0.18,,,0.0
12M 2014,,,,,,,,,4.15,4.03,0.2,0.19,,,0.0
12M 2015,,,,,,,,,4.74,4.72,0.2,0.18,,,0.0
12M 2016,,,,,,,,,5.56,5.63,0.2,0.2,,,0.0
12M 2017,,,,,,,,,9.03,8.69,0.27,0.25,,,0.0
12M 2018,,,,,,,,,9.91,9.73,0.27,0.25,,,0.0
12M 2019,,,,,,,,,9.33,9.26,0.26,0.26,,,0.0
12M 2020,,,,,,,,,7.48,7.65,0.25,0.27,,,0.0
12M 2021,,,,,,,,,6.26,6.28,0.25,0.25,,,0.0
12M 2022,,,,,,,,,7.98,7.87,0.27,0.24,,,0.0
12M 2023,,,,,,,,,8.6,8.25,0.26,0.25,,,0.0
12M 2024,,,,,,,,,8.44,8.66,0.24,0.24,,,0.0
