Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Pembiayaan,Pendapatan Syariah,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Pemasaran,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Bunga,Laba (Rugi) Selisih Kurs,Kerugian Penurunan Nilai Atas Aset Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,740554000000.000000,620102000000.000000,73509000000.000000,,46943000000.000000,740554000000.000000,-341202000000.000000,,-239514000000.000000,-15688000000.000000,,,,-86000000000.000000,-341202000000.000000,399352000000.000000,-69112000000.000000,15621000000.000000,-221675000000.000000,3177000000.000000,,133765000000.000000,-69112000000.000000,330240000000.000000,-98479000000.000000,-112893000000.000000,14414000000.000000,,-98479000000.000000,231761000000.000000,,,,,231761000000.000000,231761000000.000000,,231761000000.000000,,,,
12M 2009,718145000000.000000,618865000000.000000,49079000000.000000,,50201000000.000000,718145000000.000000,-337611000000.000000,,-249626000000.000000,-12985000000.000000,,,,-75000000000.000000,-337611000000.000000,380534000000.000000,11532000000.000000,28828000000.000000,-180132000000.000000,219000000.000000,,162617000000.000000,11532000000.000000,392066000000.000000,-90698000000.000000,-77260000000.000000,-13438000000.000000,,-90698000000.000000,301368000000.000000,,,,,301368000000.000000,301368000000.000000,,301368000000.000000,,,,
12M 2010,730362000000.000000,660782000000.000000,69580000000.000000,,,730362000000.000000,-314256000000.000000,,-296452000000.000000,-17646000000.000000,,-158000000.000000,-158000000.000000,,-314256000000.000000,416106000000.000000,46803000000.000000,13200000000.000000,-144730000000.000000,4000000.000000,-40000000.000000,178369000000.000000,46803000000.000000,462909000000.000000,-100832000000.000000,-97238000000.000000,-3594000000.000000,,-100832000000.000000,362077000000.000000,,,,,362077000000.000000,362077000000.000000,,362077000000.000000,,,,
12M 2011,999250000000.000000,849514000000.000000,149736000000.000000,,,999250000000.000000,-436335000000.000000,,-382942000000.000000,-24382000000.000000,,-29011000000.000000,-29011000000.000000,,-436335000000.000000,562915000000.000000,-33440000000.000000,10465000000.000000,-282661000000.000000,-1000000.000000,126000000.000000,238631000000.000000,-33440000000.000000,529475000000.000000,-104093000000.000000,-102159000000.000000,-1934000000.000000,,-104093000000.000000,425382000000.000000,,,,425382000000.000000,425382000000.000000,425382000000.000000,,425382000000.000000,425382000000.000000,425382000000.000000,,425382000000.000000
12M 2012,1266853000000.000000,961068000000.000000,305785000000.000000,,,1266853000000.000000,-576842000000.000000,,-481720000000.000000,-19066000000.000000,,-76056000000.000000,-76056000000.000000,,-576842000000.000000,690011000000.000000,-76136000000.000000,4782000000.000000,-360186000000.000000,-5000000.000000,90000000.000000,279183000000.000000,-76136000000.000000,613875000000.000000,-123603000000.000000,-124689000000.000000,1086000000.000000,,-123603000000.000000,490272000000.000000,,,,490272000000.000000,490272000000.000000,490272000000.000000,,490272000000.000000,490272000000.000000,490272000000.000000,,490272000000.000000
12M 2013,1517183000000.000000,1135818000000.000000,381365000000.000000,,,1517183000000.000000,-769454000000.000000,,-639990000000.000000,-22013000000.000000,,-107451000000.000000,-107451000000.000000,,-769454000000.000000,747729000000.000000,-80503000000.000000,8080000000.000000,-423182000000.000000,,,334599000000.000000,-80503000000.000000,667226000000.000000,-158607000000.000000,-165136000000.000000,6529000000.000000,,-158607000000.000000,508619000000.000000,,,,508619000000.000000,508619000000.000000,508619000000.000000,,508619000000.000000,508619000000.000000,508619000000.000000,,508619000000.000000
12M 2014,1784292000000.000000,1353561000000.000000,430731000000.000000,,,1784292000000.000000,-1000403000000.000000,-508906000000.000000,-279794000000.000000,-14130000000.000000,,-197573000000.000000,-197573000000.000000,,-1000403000000.000000,783889000000.000000,-36009000000.000000,10812000000.000000,-503413000000.000000,,,456592000000.000000,-36009000000.000000,747880000000.000000,-150789000000.000000,-150845000000.000000,56000000.000000,,-150789000000.000000,597091000000.000000,-32409000000.000000,-32409000000.000000,-32409000000.000000,564682000000.000000,597091000000.000000,597091000000.000000,,597091000000.000000,564682000000.000000,564682000000.000000,,564682000000.000000
12M 2015,2124466000000.000000,1239489000000.000000,884977000000.000000,,,2124466000000.000000,-1197745000000.000000,-626324000000.000000,-341267000000.000000,,,-230154000000.000000,-230154000000.000000,,-1197745000000.000000,926721000000.000000,-91227000000.000000,35527000000.000000,-712123000000.000000,,,585369000000.000000,-91227000000.000000,835494000000.000000,-185206000000.000000,-160481000000.000000,-2464000000.000000,-22261000000.000000,-185206000000.000000,650288000000.000000,62631000000.000000,62631000000.000000,62631000000.000000,712919000000.000000,650288000000.000000,650288000000.000000,,650288000000.000000,712919000000.000000,712919000000.000000,,712919000000.000000
12M 2016,2400784000000.000000,1068610000000.000000,1332174000000.000000,,,2400784000000.000000,-1381405000000.000000,-715765000000.000000,-392315000000.000000,,,-273325000000.000000,-273325000000.000000,,-1381405000000.000000,1019379000000.000000,5584000000.000000,21242000000.000000,-792281000000.000000,,,776623000000.000000,5584000000.000000,1024963000000.000000,-226598000000.000000,-226598000000.000000,,,-226598000000.000000,798365000000.000000,-63044000000.000000,-63044000000.000000,-63044000000.000000,735321000000.000000,798365000000.000000,798365000000.000000,,798365000000.000000,735321000000.000000,735321000000.000000,,735321000000.000000
12M 2017,3936001000000.000000,1654331000000.000000,2281670000000.000000,,,3936001000000.000000,-1653184000000.000000,-868834000000.000000,-481594000000.000000,,,-302756000000.000000,-302756000000.000000,,-1653184000000.000000,2282817000000.000000,-795031000000.000000,7166000000.000000,-897324000000.000000,,,95127000000.000000,-795031000000.000000,1487786000000.000000,-300276000000.000000,-300276000000.000000,,,-300276000000.000000,1187510000000.000000,-29140000000.000000,-29140000000.000000,-29140000000.000000,1158370000000.000000,1187510000000.000000,1187510000000.000000,,1187510000000.000000,1158370000000.000000,1158370000000.000000,,1158370000000.000000
