Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Tanaman Perkebunan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Derivatif,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Pendek,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Pinjaman Jangka Panjang Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,337623000000.000000,176023000000.000000,161172000000.000000,14851000000.000000,176023000000.000000,62562000000.000000,39530000000.000000,23032000000.000000,62562000000.000000,622262000000.000000,321180000000.000000,1519650000000.000000,,72494000000.000000,1417775000000.000000,1641300000000.000000,155689000000.000000,334095000000.000000,3621353000000.000000,5141003000000.000000,,,1724960000000.000000,713228000000.000000,,344917000000.000000,,344917000000.000000,,32363000000.000000,,12448000000.000000,277921000000.000000,,290369000000.000000,18269000000.000000,66062000000.000000,259752000000.000000,1724960000000.000000,2010073000000.000000,29769000000.000000,,24198000000.000000,1704713000000.000000,1728911000000.000000,,375000000.000000,251018000000.000000,2010073000000.000000,3735033000000.000000,,184470000000.000000,234525000000.000000,736849000000.000000,3500000000.000000,733349000000.000000,736849000000.000000,26524000000.000000,223602000000.000000,1405970000000.000000,5141003000000.000000,184470000.000000
12M 2013,,,287087000000.000000,208275000000.000000,195282000000.000000,12993000000.000000,208275000000.000000,125284000000.000000,94788000000.000000,30496000000.000000,125284000000.000000,676706000000.000000,373469000000.000000,1670821000000.000000,,100323000000.000000,1690884000000.000000,1775937000000.000000,155689000000.000000,527401000000.000000,4250234000000.000000,5921055000000.000000,,,2011462000000.000000,770926000000.000000,,493899000000.000000,,493899000000.000000,,43093000000.000000,,18844000000.000000,315103000000.000000,,333947000000.000000,17670000000.000000,65782000000.000000,286145000000.000000,2011462000000.000000,2231048000000.000000,23261000000.000000,,7714000000.000000,1848153000000.000000,1855867000000.000000,,36467000000.000000,315453000000.000000,2231048000000.000000,4242510000000.000000,,211970000000.000000,675392000000.000000,857008000000.000000,8500000000.000000,848508000000.000000,857008000000.000000,40808000000.000000,-106633000000.000000,1678545000000.000000,5921055000000.000000,2119700000.000000
12M 2014,,,1070461000000.000000,226457000000.000000,214164000000.000000,12293000000.000000,226457000000.000000,101366000000.000000,67717000000.000000,33649000000.000000,101366000000.000000,712761000000.000000,291796000000.000000,2402841000000.000000,,100621000000.000000,2001075000000.000000,1962477000000.000000,155689000000.000000,551785000000.000000,4771647000000.000000,7174488000000.000000,,,2113192000000.000000,656955000000.000000,,421416000000.000000,,421416000000.000000,,156679000000.000000,,8234000000.000000,488165000000.000000,,496399000000.000000,15411000000.000000,74402000000.000000,291930000000.000000,2113192000000.000000,2767965000000.000000,17462000000.000000,,1469000000.000000,2376879000000.000000,2378348000000.000000,,,372155000000.000000,2767965000000.000000,4881157000000.000000,,211970000000.000000,675392000000.000000,1464309000000.000000,18500000000.000000,1445809000000.000000,1464309000000.000000,41146000000.000000,-99486000000.000000,2293331000000.000000,7174488000000.000000,2119700000.000000
12M 2015,,,798488000000.000000,230740000000.000000,220147000000.000000,10593000000.000000,230740000000.000000,118617000000.000000,81696000000.000000,36921000000.000000,118617000000.000000,717875000000.000000,449556000000.000000,2315276000000.000000,,86759000000.000000,2484416000000.000000,1948490000000.000000,187537000000.000000,830797000000.000000,5537999000000.000000,7853275000000.000000,,,2098774000000.000000,936635000000.000000,,343824000000.000000,,343824000000.000000,,44385000000.000000,,3542000000.000000,436354000000.000000,,439896000000.000000,707000000.000000,96197000000.000000,237130000000.000000,2098774000000.000000,3247480000000.000000,18033000000.000000,,1657000000.000000,2942685000000.000000,2944342000000.000000,,36467000000.000000,248638000000.000000,3247480000000.000000,5346254000000.000000,,211970000000.000000,675392000000.000000,1707875000000.000000,38500000000.000000,1669375000000.000000,1707875000000.000000,75481000000.000000,-163697000000.000000,2507021000000.000000,7853275000000.000000,10598500000.000000
12M 2016,,,251218000000.000000,275273000000.000000,264080000000.000000,11193000000.000000,275273000000.000000,51893000000.000000,51893000000.000000,,51893000000.000000,675393000000.000000,499271000000.000000,1753048000000.000000,,97180000000.000000,2688246000000.000000,2084892000000.000000,187537000000.000000,1372415000000.000000,6430270000000.000000,8183318000000.000000,,,1961618000000.000000,757698000000.000000,,418728000000.000000,,418728000000.000000,20360000000.000000,40726000000.000000,,3211000000.000000,465395000000.000000,,468606000000.000000,707000000.000000,82421000000.000000,172372000000.000000,1961618000000.000000,3517359000000.000000,19797000000.000000,,1878000000.000000,3168202000000.000000,3170080000000.000000,,36467000000.000000,291015000000.000000,3517359000000.000000,5478977000000.000000,,211997000000.000000,676932000000.000000,1906367000000.000000,58500000000.000000,1847867000000.000000,1906367000000.000000,76127000000.000000,-167082000000.000000,2704341000000.000000,8183318000000.000000,10599842400.000000
12M 2017,,,381055000000.000000,325340000000.000000,314467000000.000000,10873000000.000000,325340000000.000000,29217000000.000000,29217000000.000000,,29217000000.000000,588340000000.000000,415885000000.000000,1739837000000.000000,,69586000000.000000,2767860000000.000000,2050834000000.000000,181832000000.000000,1526116000000.000000,6596228000000.000000,8336065000000.000000,,,1724895000000.000000,505166000000.000000,,411069000000.000000,1320000000.000000,412389000000.000000,,151807000000.000000,,7688000000.000000,447520000000.000000,,455208000000.000000,,84325000000.000000,116000000000.000000,1724895000000.000000,3361431000000.000000,20707000000.000000,,13403000000.000000,3087001000000.000000,3100404000000.000000,,36467000000.000000,203853000000.000000,3361431000000.000000,5086326000000.000000,,211997000000.000000,677102000000.000000,2447956000000.000000,58500000000.000000,2389456000000.000000,2447956000000.000000,79902000000.000000,-167218000000.000000,3249739000000.000000,8336065000000.000000,10599842400.000000
12M 2018,,,523895000000.000000,399128000000.000000,388635000000.000000,10493000000.000000,399128000000.000000,28659000000.000000,28659000000.000000,,28659000000.000000,870563000000.000000,575675000000.000000,2397920000000.000000,,85380000000.000000,4273691000000.000000,2998657000000.000000,242877000000.000000,1740367000000.000000,9340972000000.000000,11738892000000.000000,,,2321028000000.000000,612102000000.000000,,567125000000.000000,3234000000.000000,570359000000.000000,,85389000000.000000,,14001000000.000000,676426000000.000000,,690427000000.000000,,97981000000.000000,264770000000.000000,2321028000000.000000,5758902000000.000000,293812000000.000000,,13586000000.000000,5197683000000.000000,5211269000000.000000,,36467000000.000000,217354000000.000000,5758902000000.000000,8079930000000.000000,,211997000000.000000,677092000000.000000,2849290000000.000000,58500000000.000000,2790790000000.000000,2849290000000.000000,87773000000.000000,-167190000000.000000,3658962000000.000000,11738892000000.000000,10599842400.000000
12M 2019,,,270331000000.000000,355062000000.000000,349569000000.000000,5493000000.000000,355062000000.000000,27610000000.000000,27610000000.000000,,27610000000.000000,710537000000.000000,568991000000.000000,1932531000000.000000,,126412000000.000000,4088227000000.000000,3151121000000.000000,236987000000.000000,2085543000000.000000,9688290000000.000000,11620821000000.000000,,,2361728000000.000000,709785000000.000000,,529351000000.000000,561000000.000000,529912000000.000000,,28715000000.000000,,12507000000.000000,676510000000.000000,,689017000000.000000,,136437000000.000000,267862000000.000000,2361728000000.000000,5527501000000.000000,245238000000.000000,,1121000000.000000,5014716000000.000000,5015837000000.000000,,,266426000000.000000,5527501000000.000000,7889229000000.000000,,211997000000.000000,677092000000.000000,2913493000000.000000,58500000000.000000,2854993000000.000000,2913493000000.000000,85348000000.000000,-156338000000.000000,3731592000000.000000,11620821000000.000000,10599842400.000000
12M 2020,,,647709000000.000000,381764000000.000000,381764000000.000000,,381764000000.000000,16137000000.000000,16137000000.000000,,16137000000.000000,670395000000.000000,897104000000.000000,2613109000000.000000,,119267000000.000000,3805064000000.000000,5452520000000.000000,225879000000.000000,1935544000000.000000,11538274000000.000000,14151383000000.000000,,,2293012000000.000000,566510000000.000000,,411566000000.000000,4527000000.000000,416093000000.000000,,157750000000.000000,,23975000000.000000,622580000000.000000,,646555000000.000000,,146862000000.000000,359242000000.000000,2293012000000.000000,5627622000000.000000,194235000000.000000,,5484000000.000000,4293979000000.000000,4299463000000.000000,455263000000.000000,,678661000000.000000,5627622000000.000000,7920634000000.000000,,211997000000.000000,677092000000.000000,3382377000000.000000,58500000000.000000,3323877000000.000000,3382377000000.000000,109008000000.000000,1850275000000.000000,6230749000000.000000,14151383000000.000000,10599842400.000000
12M 2021,,,422378000000.000000,249662000000.000000,249662000000.000000,,249662000000.000000,19685000000.000000,19685000000.000000,,19685000000.000000,773069000000.000000,856841000000.000000,2321635000000.000000,,200356000000.000000,3659319000000.000000,5921799000000.000000,225879000000.000000,1383172000000.000000,11390525000000.000000,13712160000000.000000,,,1856163000000.000000,305127000000.000000,,356188000000.000000,4984000000.000000,361172000000.000000,,229537000000.000000,,20187000000.000000,586273000000.000000,,606460000000.000000,,141402000000.000000,212465000000.000000,1856163000000.000000,4830534000000.000000,182755000000.000000,,9102000000.000000,3503259000000.000000,3512361000000.000000,456928000000.000000,36467000000.000000,642023000000.000000,4830534000000.000000,6686697000000.000000,,211997000000.000000,679260000000.000000,3974755000000.000000,58500000000.000000,3916255000000.000000,3974755000000.000000,125126000000.000000,2034325000000.000000,7025463000000.000000,13712160000000.000000,10599842400.000000
