Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,3410767000000.000000,-2449553000000.000000,961214000000.000000,-466944000000.000000,-201071000000.000000,-254244000000.000000,1905000000.000000,-10579000000.000000,-2955000000.000000,-466944000000.000000,494270000000.000000,-149279000000.000000,-157097000000.000000,7818000000.000000,,,-149279000000.000000,344991000000.000000,-92533000000.000000,252458000000.000000,,252458000000.000000,,,,252458000000.000000,252458000000.000000,214176000000.000000,38282000000.000000,252458000000.000000,252458000000.000000,214176000000.000000,38282000000.000000,252458000000.000000
12M 2013,3842182000000.000000,-2651763000000.000000,1190419000000.000000,-533490000000.000000,-222130000000.000000,-273142000000.000000,2086000000.000000,-53659000000.000000,13355000000.000000,-533490000000.000000,656929000000.000000,-350500000000.000000,-362729000000.000000,12229000000.000000,,,-350500000000.000000,306429000000.000000,-90733000000.000000,215696000000.000000,,215696000000.000000,,,,215696000000.000000,215696000000.000000,203171000000.000000,12525000000.000000,215696000000.000000,215696000000.000000,203171000000.000000,12525000000.000000,215696000000.000000
12M 2014,4898479000000.000000,-3189046000000.000000,1709433000000.000000,-633986000000.000000,-263664000000.000000,-310649000000.000000,954000000.000000,-4548000000.000000,-56079000000.000000,-633986000000.000000,1075447000000.000000,-202910000000.000000,-234125000000.000000,31215000000.000000,,,-202910000000.000000,872537000000.000000,-222743000000.000000,649794000000.000000,,649794000000.000000,,,,649794000000.000000,649794000000.000000,649695000000.000000,99000000.000000,649794000000.000000,649794000000.000000,649695000000.000000,99000000.000000,649794000000.000000
12M 2015,4425060000000.000000,-3250076000000.000000,1174984000000.000000,-444658000000.000000,-262944000000.000000,-352361000000.000000,1143000000.000000,-6304000000.000000,175808000000.000000,-444658000000.000000,730326000000.000000,-303639000000.000000,-325337000000.000000,21698000000.000000,,,-303639000000.000000,426687000000.000000,-124168000000.000000,302519000000.000000,,302519000000.000000,11628000000.000000,11628000000.000000,11628000000.000000,314147000000.000000,302519000000.000000,269661000000.000000,32858000000.000000,302519000000.000000,314147000000.000000,280450000000.000000,33697000000.000000,314147000000.000000
12M 2016,3942024000000.000000,-2993149000000.000000,948875000000.000000,-331996000000.000000,-194773000000.000000,-347818000000.000000,201226000000.000000,-5790000000.000000,15159000000.000000,-331996000000.000000,616879000000.000000,-279429000000.000000,-293771000000.000000,14342000000.000000,,,-279429000000.000000,337450000000.000000,-85410000000.000000,252040000000.000000,,252040000000.000000,-610000000.000000,-610000000.000000,-610000000.000000,251430000000.000000,252040000000.000000,250707000000.000000,1333000000.000000,252040000000.000000,251430000000.000000,250784000000.000000,646000000.000000,251430000000.000000
12M 2017,5159911000000.000000,-3436965000000.000000,1722946000000.000000,-532909000000.000000,-239419000000.000000,-328477000000.000000,1749000000.000000,17719000000.000000,15519000000.000000,-532909000000.000000,1190037000000.000000,-243280000000.000000,-271890000000.000000,28610000000.000000,,,-243280000000.000000,946757000000.000000,-275711000000.000000,671046000000.000000,-83058000000.000000,587988000000.000000,9532000000.000000,9532000000.000000,9532000000.000000,597520000000.000000,587988000000.000000,585153000000.000000,2835000000.000000,587988000000.000000,597520000000.000000,593881000000.000000,3639000000.000000,597520000000.000000
12M 2018,4761805000000.000000,-3218587000000.000000,1543218000000.000000,-611355000000.000000,-272857000000.000000,-346843000000.000000,-339000000.000000,27747000000.000000,-19063000000.000000,-611355000000.000000,931863000000.000000,-320599000000.000000,-359218000000.000000,38619000000.000000,,,-320599000000.000000,611264000000.000000,-178847000000.000000,432417000000.000000,-5172000000.000000,427245000000.000000,22244000000.000000,22244000000.000000,22244000000.000000,449489000000.000000,427245000000.000000,420502000000.000000,6743000000.000000,427245000000.000000,449489000000.000000,441615000000.000000,7874000000.000000,449489000000.000000
12M 2019,5736684000000.000000,-4275989000000.000000,1460695000000.000000,-704141000000.000000,-396571000000.000000,-356277000000.000000,8081000000.000000,-24263000000.000000,64889000000.000000,-704141000000.000000,756554000000.000000,-476470000000.000000,-504644000000.000000,28174000000.000000,,,-476470000000.000000,280084000000.000000,-101920000000.000000,178164000000.000000,,178164000000.000000,-11803000000.000000,-11803000000.000000,-11803000000.000000,166361000000.000000,178164000000.000000,179940000000.000000,-1776000000.000000,178164000000.000000,166361000000.000000,168786000000.000000,-2425000000.000000,166361000000.000000
12M 2020,6698918000000.000000,-4947242000000.000000,1751676000000.000000,-756620000000.000000,-334670000000.000000,-384193000000.000000,928000000.000000,,-38685000000.000000,-756620000000.000000,995056000000.000000,-299760000000.000000,-319116000000.000000,19356000000.000000,,,-299760000000.000000,695296000000.000000,-217125000000.000000,478171000000.000000,,478171000000.000000,1977174000000.000000,,1977174000000.000000,2455345000000.000000,478171000000.000000,476637000000.000000,1534000000.000000,478171000000.000000,2455345000000.000000,2431709000000.000000,23636000000.000000,2455345000000.000000
12M 2021,7124495000000.000000,-5099969000000.000000,2024526000000.000000,-631910000000.000000,-356979000000.000000,-285425000000.000000,238000000.000000,,10256000000.000000,-631910000000.000000,1392616000000.000000,-426732000000.000000,-441659000000.000000,14927000000.000000,,,-426732000000.000000,965884000000.000000,-226235000000.000000,739649000000.000000,,739649000000.000000,98662000000.000000,,98662000000.000000,838311000000.000000,739649000000.000000,727153000000.000000,12496000000.000000,739649000000.000000,838311000000.000000,822193000000.000000,16118000000.000000,838311000000.000000
