Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran (Penerimaan) Kas Untuk Aktivitas Operasi Lain-Lain,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Pertambahan Nilai,Pembayaran Pajak Penghasilan,Penerimaan Klaim Asuransi,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Kas Dari Penjualan Aset Tidak Lancar Tersedia Untuk Dijual,Penambahan Kapitalisasi Biaya Perkebunan,Penerimaan Kas Dari Penjualan Aset Tetap,Penerimaan Kas Dari Penjualan Tanaman,Investasi Pada Aset Keuangan Tersedia Untuk Dijual,Penerimaan Kas Dari Uang Muka Atas Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Pembayaran Kontrak Swap Dan Opsi Komoditas,Uang Muka Koperasi,Penerimaan Kas Dari Kontrak Swap Dan Opsi Komoditas,Pembayaran Bunga Pinjaman Yang Dikapitalisasi Di Aset Tetap Dan Tanaman Perkebunan,Pinjaman Ke Pihak Ketiga,Pinjaman Kepada Pihak Berelasi,Pembayaran Dari Pinjaman Kepada Pihak Ketiga,Penambahan Uang Muka Koperasi/Perkebunan Plasma,Investasi Pada Entitas Asosiasi,Pengembalian Uang Muka Koperasi/Perkebunan Plasma,Penambahan Tanaman Perkebunan,Penambahan Hutan Tanaman Industri Dalam Pengembangan,Pembelian Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penerimaan Dividen Dari Aktivitas Investasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Kenaikan) / Penurunan Rekening Bank Yang Dibatasi Penggunaannya,Penerimaan Dari (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Total Penerimaan Dari (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Dari Utang Bank Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Utang Sewa Pembiayaan Jangka Panjang,Penerimaan Utang Sewa Pembiayaan Jangka Panjang,Pembayaran Pinjaman Pihak Ketiga,Pinjaman Ke Pihak Ketiga,Eksekusi Opsi Saham Karyawan,Pembayaran Dividen Kepemegang Saham,Pembayaran Atas Pembelian Saham Treasury,Pembayaran Modal Saham Diperoleh Kembali,Penerimaan Dari Pinjaman Obligasi,Penerimaan Setoran Modal,Utang Obligasi,Akuisisi Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,149285000000.000000,3446223000000.000000,-2071718000000.000000,-284640000000.000000,-557673000000.000000,7818000000.000000,-193658000000.000000,,-205377000000.000000,,8310000000.000000,149285000000.000000,-825859000000.000000,-565016000000.000000,,,,7367000000.000000,8646000000.000000,,36466000000.000000,,-76490000000.000000,,,,,,,,,-235711000000.000000,-1729000000.000000,608000000.000000,,,-825859000000.000000,487708000000.000000,-200000000000.000000,196827000000.000000,,,196827000000.000000,729776000000.000000,-163882000000.000000,-23389000000.000000,,-6710000000.000000,,,-45252000000.000000,,,,117705000000.000000,,-117367000000.000000,487708000000.000000,-188866000000.000000,380134000000.000000,191268000000.000000
12M 2013,594795000000.000000,3877154000000.000000,-1823033000000.000000,-447175000000.000000,-677203000000.000000,12229000000.000000,-202280000000.000000,,-144897000000.000000,,,594795000000.000000,-745194000000.000000,-331178000000.000000,,,,17052000000.000000,8795000000.000000,,,,-131044000000.000000,,,,,,,,,-306475000000.000000,-2344000000.000000,,,,-745194000000.000000,96237000000.000000,,54073000000.000000,,,54073000000.000000,422482000000.000000,-426081000000.000000,-10516000000.000000,,-599000000.000000,,,-83012000000.000000,,,,468367000000.000000,,-328477000000.000000,96237000000.000000,-54162000000.000000,191268000000.000000,137106000000.000000
12M 2014,997429000000.000000,4839701000000.000000,-2327231000000.000000,-296459000000.000000,-817408000000.000000,31215000000.000000,-297239000000.000000,,-135150000000.000000,,,997429000000.000000,-884757000000.000000,-394659000000.000000,-8796000000.000000,,,14669000000.000000,,,,,-141894000000.000000,,,,,,,,,-348769000000.000000,-5308000000.000000,,,,-884757000000.000000,592892000000.000000,146700000000.000000,-191781000000.000000,,,-191781000000.000000,1022812000000.000000,-321025000000.000000,-19161000000.000000,,-2259000000.000000,,,-42394000000.000000,,,,,,,592892000000.000000,705564000000.000000,137106000000.000000,842670000000.000000
12M 2015,239172000000.000000,4400113000000.000000,-2223627000000.000000,-338416000000.000000,-1029689000000.000000,21698000000.000000,-367464000000.000000,,-282367000000.000000,58924000000.000000,,239172000000.000000,-676553000000.000000,-174478000000.000000,,,,2294000000.000000,,,,,,,,,,,-236187000000.000000,,111922000000.000000,-328453000000.000000,-4696000000.000000,-46955000000.000000,,,-676553000000.000000,193275000000.000000,-169700000000.000000,128613000000.000000,,,128613000000.000000,909247000000.000000,-465978000000.000000,-10240000000.000000,,-14704000000.000000,,,-105985000000.000000,,-77978000000.000000,,,,,193275000000.000000,-266056000000.000000,842670000000.000000,576614000000.000000
12M 2016,399235000000.000000,3887466000000.000000,-2021322000000.000000,-305710000000.000000,-786624000000.000000,14342000000.000000,-278687000000.000000,,-166382000000.000000,17048000000.000000,39104000000.000000,399235000000.000000,-1042196000000.000000,-383676000000.000000,,,,207493000000.000000,,-199274000000.000000,,-3785000000.000000,,,-137932000000.000000,-197697000000.000000,,,-229831000000.000000,,106536000000.000000,-198180000000.000000,-5850000000.000000,,,,-1042196000000.000000,223001000000.000000,73000000000.000000,-51627000000.000000,,,-51627000000.000000,699920000000.000000,-436301000000.000000,-3477000000.000000,,,,765000000.000000,-52292000000.000000,,-6987000000.000000,,,,,223001000000.000000,-419960000000.000000,576614000000.000000,156654000000.000000
12M 2017,1094970000000.000000,5132303000000.000000,-2374657000000.000000,-408635000000.000000,-1024605000000.000000,28670000000.000000,-293516000000.000000,,-139854000000.000000,26667000000.000000,148597000000.000000,1094970000000.000000,-708776000000.000000,-203223000000.000000,,,,17508000000.000000,,-41131000000.000000,1818000000.000000,-4355000000.000000,,3466000000.000000,-96987000000.000000,-205342000000.000000,,,-256268000000.000000,,185236000000.000000,-105810000000.000000,-3688000000.000000,,,,-708776000000.000000,-261036000000.000000,127000000000.000000,-257211000000.000000,,,-257211000000.000000,691326000000.000000,-785861000000.000000,-7225000000.000000,23227000000.000000,,,,-52292000000.000000,,,,,,,-261036000000.000000,125158000000.000000,156654000000.000000,281812000000.000000
12M 2018,298337000000.000000,4796686000000.000000,-2412249000000.000000,-658884000000.000000,-1043741000000.000000,38659000000.000000,-312467000000.000000,,-303778000000.000000,,194111000000.000000,298337000000.000000,-1384603000000.000000,-487410000000.000000,,,,25964000000.000000,,,2159000000.000000,,,,-71750000000.000000,59332000000.000000,,,-358658000000.000000,,245708000000.000000,-93117000000.000000,-3125000000.000000,-703706000000.000000,,,-1384603000000.000000,1260576000000.000000,-47000000000.000000,106936000000.000000,,,106936000000.000000,2301772000000.000000,-1001479000000.000000,-9568000000.000000,14499000000.000000,,,,-104584000000.000000,,,,,,,1260576000000.000000,174310000000.000000,281812000000.000000,456122000000.000000
12M 2019,587071000000.000000,5783001000000.000000,-2751918000000.000000,-553531000000.000000,-1143947000000.000000,28174000000.000000,-537577000000.000000,,-309941000000.000000,,72810000000.000000,587071000000.000000,-739822000000.000000,-403928000000.000000,,,,27539000000.000000,,-20630000000.000000,7622000000.000000,,,,-58794000000.000000,-12285000000.000000,,,-389694000000.000000,,259857000000.000000,-148867000000.000000,-642000000.000000,,,,-739822000000.000000,-200902000000.000000,70000000000.000000,-47478000000.000000,,,-47478000000.000000,532331000000.000000,-637213000000.000000,-13959000000.000000,,,,,-104583000000.000000,,,,,,,-200902000000.000000,-353653000000.000000,456122000000.000000,102469000000.000000
12M 2020,1094406000000.000000,6731114000000.000000,-3510914000000.000000,-397422000000.000000,-1171330000000.000000,19356000000.000000,-499709000000.000000,,-107373000000.000000,,30684000000.000000,1094406000000.000000,-642491000000.000000,-642112000000.000000,,,,15950000000.000000,,-155911000000.000000,,,,,-25873000000.000000,114573000000.000000,,,-400741000000.000000,,573599000000.000000,-107987000000.000000,-1202000000.000000,-12787000000.000000,,,-642491000000.000000,50148000000.000000,-111084000000.000000,-18589000000.000000,,,-18589000000.000000,508815000000.000000,-1102889000000.000000,-52226000000.000000,,,423150000000.000000,,-52292000000.000000,,,,,455263000000.000000,,50148000000.000000,502063000000.000000,102469000000.000000,604532000000.000000
12M 2021,1055505000000.000000,7088528000000.000000,-3837961000000.000000,-351470000000.000000,-1172889000000.000000,14927000000.000000,-413234000000.000000,,-299414000000.000000,,27018000000.000000,1055505000000.000000,-177017000000.000000,-738291000000.000000,,,,14849000000.000000,,,,,,,-57983000000.000000,-11621000000.000000,,10035000000.000000,-483525000000.000000,,1156083000000.000000,-65575000000.000000,-989000000.000000,,,,-177017000000.000000,-1063143000000.000000,85903000000.000000,-220704000000.000000,,,-220704000000.000000,279532000000.000000,-1134984000000.000000,-130730000000.000000,,,,,-29293000000.000000,87133000000.000000,,,,,,-1063143000000.000000,-184655000000.000000,604532000000.000000,419877000000.000000
