Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Pelanggan Yang Berelasi,Pembayaran Kepada:,Pemasok,Pemasok Yang Berelasi,Pegawai Dan Operasional Lainnya,Total Pembayaran Kepada:,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Klaim Asuransi,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari Hasil Restitusi Pajak,Penerimaan Dari Pengembalian Lebih Bayar Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Perusahaan Asosiasi,Pengembalian Uang Muka Investasi Pada Perusahaan Asosiasi,Pinjaman Entitas Asosiasi,Uang Muka Investasi Pada Perusahaan Asosiasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Investasi Obligasi,Hasil Penjualan Penerbitan Saham Baru,Penambahan Aset Dalam Penyelesaian,Penerimaan Bunga,Penerimaan Deviden Dari Investasi,Penerimaan Atas Pengembalian Pinjaman Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Pembayaran Liabilitas Sewa Aset Hak Guna,Penerimaan Dari Penerbitan Saham,Penarikan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen,Pembayaran Pinjaman Ke Pihak Berelasi,Pembayaran Hutang Lain-Lain Jangka Pendek,Penerimaan Hutang Lain-Lain Jangka Panjang,Penerimaan Pinjaman Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,184899784317.000000,1100138180310.000000,,,-648624201788.000000,,-209821560855.000000,-858445762643.000000,1741023437.000000,-18539133145.000000,,-40527241967.000000,,532718325.000000,184899784317.000000,-27492070494.000000,,,,,1243695000.000000,-28735765494.000000,,,,,,,,-27492070494.000000,-84772652675.000000,,,,,,-54829195650.000000,-12624537978.000000,-17318919047.000000,,,,,-84772652675.000000,,72635061148.000000,58555480723.000000,,,131190541871.000000
12M 2009,227527798490.000000,967814131462.000000,,,-516370998118.000000,,-197063951353.000000,-713434949471.000000,3448410668.000000,-9919791009.000000,,-29235139426.000000,,8855136266.000000,227527798490.000000,-20663415849.000000,,,,,3179540634.000000,-23842956483.000000,,,,,,,,-20663415849.000000,-148028183565.000000,40000000000.000000,-73727960000.000000,,,15058500000.000000,-98982599100.000000,-13071859882.000000,-17304264583.000000,,,,,-148028183565.000000,,58836199076.000000,131190541871.000000,,,190026740947.000000
12M 2010,156057916260.000000,1098573422967.000000,,,-599604523566.000000,,-222728837253.000000,-822333360819.000000,3159518830.000000,-8203865155.000000,,-117039957728.000000,,1902158165.000000,156057916260.000000,-19611527321.000000,,,,,1072068180.000000,-20683595501.000000,,,,,,,,-19611527321.000000,-122960368892.000000,95000000000.000000,,,,,-150021234000.000000,-8554990537.000000,-59384144355.000000,,,,,-122960368892.000000,,13486020047.000000,190026740947.000000,,,203512760994.000000
12M 2011,233247021169.000000,1345778936459.000000,,,-766659585921.000000,,-258848451450.000000,-1025508037371.000000,6155922734.000000,-12610711146.000000,3713464455.000000,-84282553962.000000,,,233247021169.000000,-165987564417.000000,,,,,590964257.000000,-166578528674.000000,,,,,,,,-165987564417.000000,-56792731001.000000,27204000000.000000,-5926000000.000000,,,,,-4296660857.000000,-73774070144.000000,,,,,-56792731001.000000,,10466725751.000000,203512760994.000000,,,213979486745.000000
12M 2012,188137480794.000000,1539247230845.000000,,,-950745447128.000000,,-311018212106.000000,-1261763659234.000000,4960406436.000000,-11653025613.000000,701636123.000000,-83355107763.000000,,,188137480794.000000,-92690029182.000000,-24500000000.000000,,,-19839375000.000000,517818179.000000,-48868472361.000000,,,,,,,,-92690029182.000000,-109276400531.000000,,-9670000000.000000,,,,,-530327558.000000,-99076072973.000000,,,,,-109276400531.000000,,-13828948919.000000,213979486745.000000,,,200150537826.000000
12M 2013,320627072830.000000,1722775011284.000000,,,-942996928263.000000,,-363629092221.000000,-1306626020484.000000,5391349244.000000,-12275067085.000000,,-91875964872.000000,,3237764743.000000,320627072830.000000,-156296552762.000000,,19839375000.000000,,-16532600000.000000,3819510252.000000,-163422838014.000000,,,,,,,,-156296552762.000000,-111990048057.000000,,-12189000000.000000,,,,,-2185739697.000000,-97615308360.000000,,,,,-111990048057.000000,,52340472011.000000,200150537826.000000,-3301835326.000000,3301835326.000000,252491009837.000000
12M 2014,307708638190.000000,2045298620753.000000,,,-1199465025839.000000,,-429572357710.000000,-1629037383549.000000,6383860365.000000,-15708921888.000000,,-99227537491.000000,,,307708638190.000000,-320001829320.000000,,,,-147000000.000000,650090909.000000,-320504920229.000000,,,,,,,,-320001829320.000000,-156154760513.000000,,-6220012440.000000,,,,,-1715412375.000000,-148219335698.000000,,,,,-156154760513.000000,,-168447951643.000000,252491009837.000000,,,84043058194.000000
12M 2015,240629138479.000000,2336612381558.000000,,,-1381446849835.000000,,-591808099864.000000,-1973254949699.000000,5072406149.000000,-17683633426.000000,,-117555370638.000000,7438304535.000000,,240629138479.000000,-226164865831.000000,,,,-68738150000.000000,2593491522.000000,-160020207353.000000,,,,,,,,-226164865831.000000,68500696168.000000,40000000000.000000,,,148608000000.000000,,,-4878673444.000000,-115228630388.000000,,,,,68500696168.000000,,82964968816.000000,84043058194.000000,,,167008027010.000000
12M 2016,305802664813.000000,2195649059028.000000,,,-1253764400107.000000,,-525048228486.000000,-1778812628593.000000,1772802434.000000,-18090664270.000000,,-94715903786.000000,,,305802664813.000000,-265464608333.000000,,,-115354110827.000000,-60398229916.000000,734963639.000000,-90447231229.000000,,,,,,,,-265464608333.000000,-58748527890.000000,65308000000.000000,,,,,,-6445117463.000000,-117611410427.000000,,,,,-58748527890.000000,,-18410471410.000000,167008027010.000000,,,148597555600.000000
12M 2017,421340061708.000000,2125277999730.000000,,,-1066729741649.000000,,-547197884877.000000,-1613927626526.000000,2251746281.000000,-16056554908.000000,,-76205502869.000000,,,421340061708.000000,-286726075772.000000,,,-204103589173.000000,-66900000000.000000,1885898707.000000,-17608385306.000000,,,,,,,,-286726075772.000000,-138074843997.000000,91624000000.000000,-144353000000.000000,,,,,-6854388396.000000,-78491455601.000000,,,,,-138074843997.000000,,-3460858061.000000,148597555600.000000,,,145136697539.000000
12M 2018,356708792806.000000,2319273468161.000000,,,-1230183098060.000000,,-642089916508.000000,-1872273014568.000000,16440909349.000000,-11040819770.000000,,-98653823687.000000,,2962073321.000000,356708792806.000000,-90030571916.000000,,,-138010000000.000000,,67022558444.000000,-19043130360.000000,,,,,,,,-90030571916.000000,-251357165434.000000,,-70462750000.000000,,,,,-4432544858.000000,-176461870576.000000,,,,,-251357165434.000000,,15321055456.000000,145136697539.000000,,,160457752995.000000
12M 2019,277886404272.000000,1982069623013.000000,,,-999100277964.000000,,-641396540125.000000,-1640496818089.000000,24109304598.000000,-9698447101.000000,,-80111168888.000000,,2013910739.000000,277886404272.000000,-69556671364.000000,,,-41500000000.000000,,2756336654.000000,-37813008018.000000,,,,,,,7000000000.000000,-69556671364.000000,-138825628217.000000,,-28962000000.000000,,,,,-1908045255.000000,-107955582962.000000,,,,,-138825628217.000000,,69504104691.000000,160457752995.000000,,,229961857686.000000
12M 2020,309307597763.000000,1722598389111.000000,,,-711126402745.000000,,-676194923923.000000,-1387321326668.000000,14205929864.000000,-23071682417.000000,,-17103712127.000000,,,309307597763.000000,-9210557423.000000,-10132300000.000000,,-7000000000.000000,,19619092.000000,-8597876515.000000,,,,,,,16500000000.000000,-9210557423.000000,-55701087143.000000,,,,,,,-26208706037.000000,-29492381106.000000,,,,,-55701087143.000000,,244395953197.000000,229961857686.000000,,,474357810883.000000
12M 2021,113880999531.000000,1772610784714.000000,,,-970871553834.000000,,-648932446508.000000,-1619804000342.000000,5322281774.000000,-23813838159.000000,,-20434228456.000000,,,113880999531.000000,-35251922186.000000,,,,,1456839522.000000,-56711261708.000000,,,,,,20002500000.000000,,-35251922186.000000,-182077911696.000000,,-60000000000.000000,,,,,-23644355771.000000,-98433555925.000000,,,,,-182077911696.000000,,-103448834351.000000,474357810883.000000,,,370908976532.000000
12M 2022,326550904577.000000,2078855968227.000000,,,-1038534437958.000000,,-605881577966.000000,-1644416015924.000000,4580953498.000000,-19470874122.000000,,-96059374995.000000,,3060247893.000000,326550904577.000000,-78115766394.000000,,,,,1670270272.000000,-109006749645.000000,-5779287021.000000,,,,,35000000000.000000,,-78115766394.000000,-213774231713.000000,,-20000000000.000000,,,,,-26386192798.000000,-167388038915.000000,,,,,-213774231713.000000,,34660906470.000000,370908976532.000000,,,405569883002.000000
12M 2023,301068008538.000000,2105385921817.000000,,,-1119285497482.000000,,-614260827613.000000,-1733546325095.000000,11069655800.000000,-19765758834.000000,,-66726636067.000000,,4651150917.000000,301068008538.000000,-166031700701.000000,,,,,1231121231.000000,-35625705142.000000,-462116790.000000,-148675000000.000000,,,,17500000000.000000,,-166031700701.000000,-215279452722.000000,,,,,,,-27606457917.000000,-187672994805.000000,,,,,-215279452722.000000,,-80243144885.000000,405569883002.000000,,,325326738117.000000
12M 2024,295238839571.000000,2469188015199.000000,,,-1421132469375.000000,,-678779539258.000000,-2099912008633.000000,17127615437.000000,-19235539479.000000,,-76717685953.000000,,4788443000.000000,295238839571.000000,-40655152915.000000,,,,,142077430.000000,-58505263825.000000,-3291966520.000000,,,,,21000000000.000000,,-40655152915.000000,-244161151984.000000,,,,,,,-32333495579.000000,-206827656405.000000,,-5000000000.000000,,,-244161151984.000000,,10422534672.000000,325326738117.000000,,,335749272789.000000
