Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,131190541871.000000,210564005996.000000,194292164707.000000,16271841289.000000,210564005996.000000,8457923152.000000,,,8457923152.000000,238879097409.000000,28292420790.000000,617383989218.000000,,409195460036.000000,,409195460036.000000,,975228844.000000,3576043200.000000,413746732080.000000,1031130721298.000000,,,441307612093.000000,82704895000.000000,,5760582109.000000,169976291817.000000,175736873926.000000,,,,,4283319055.000000,28155418905.000000,,137729057700.000000,9728206467.000000,147457264167.000000,2969841040.000000,441307612093.000000,226633112912.000000,,10376419960.000000,135834286500.000000,146210706460.000000,,5804975452.000000,74617431000.000000,226633112912.000000,667940725005.000000,,49536000000.000000,426000000.000000,303320796293.000000,9907200000.000000,363189996293.000000,1031130721298.000000,49536000.000000
12M 2009,,,190026740947.000000,213345531116.000000,202942760471.000000,10402770645.000000,213345531116.000000,14649667979.000000,,,14649667979.000000,183919787504.000000,9546264862.000000,611487992408.000000,,393618618260.000000,,393618618260.000000,,4640326313.000000,1145472040.000000,399404416613.000000,1010892409021.000000,,,296388256618.000000,40000000000.000000,,5241375804.000000,90051895608.000000,95293271412.000000,,,,,49050662516.000000,29564335760.000000,,71434734000.000000,8309748328.000000,79744482328.000000,2735504602.000000,296388256618.000000,185830860884.000000,,9699093040.000000,84600000000.000000,94299093040.000000,,5264671844.000000,86267096000.000000,185830860884.000000,482219117502.000000,,49536000000.000000,426000000.000000,468804091519.000000,9907200000.000000,528673291519.000000,1010892409021.000000,49536000.000000
12M 2010,,,203512760994.000000,267220734240.000000,256621934735.000000,10598799505.000000,267220734240.000000,13492469632.000000,9434377454.000000,4058092178.000000,13492469632.000000,224574601020.000000,7690688855.000000,716491254741.000000,,362067034211.000000,,362067034211.000000,,8389219106.000000,4635607040.000000,375091860357.000000,1091583115098.000000,,,341607956902.000000,135000000000.000000,,9746385558.000000,116978333369.000000,126724718927.000000,,,,,3313056474.000000,29926399061.000000,,,5348138412.000000,5348138412.000000,41295644028.000000,341607956902.000000,118993117324.000000,,11715896342.000000,,11715896342.000000,,2123367982.000000,105153853000.000000,118993117324.000000,460601074226.000000,,49536000000.000000,426000000.000000,568483340872.000000,12536700000.000000,630982040872.000000,1091583115098.000000,49536000.000000
12M 2011,,,213979486745.000000,313230790804.000000,299785424137.000000,13445366667.000000,313230790804.000000,13760392109.000000,8253770265.000000,5506621844.000000,13760392109.000000,280976518210.000000,15166860344.000000,837114048212.000000,,476327212917.000000,,476327212917.000000,,15289811651.000000,10838957040.000000,502455981608.000000,1339570029820.000000,,,444637071374.000000,157670000000.000000,,8219922910.000000,147128658581.000000,155348581491.000000,,11974113980.000000,,11974113980.000000,8534208744.000000,44962444862.000000,,,2014121130.000000,2014121130.000000,64133601167.000000,444637071374.000000,134391701290.000000,,,,,,1201617290.000000,133190084000.000000,134391701290.000000,579028772664.000000,,49536000000.000000,426000000.000000,697442557156.000000,13136700000.000000,760541257156.000000,1339570029820.000000,49536000.000000
12M 2012,,,200150537826.000000,404437223378.000000,384803085953.000000,19634137425.000000,404437223378.000000,14143883396.000000,8021037411.000000,6122845985.000000,14143883396.000000,331838555943.000000,16235911834.000000,966806112377.000000,,461181775000.000000,,461181775000.000000,,23488784657.000000,71187242354.000000,555857802011.000000,1522663914388.000000,,,448767622942.000000,149505000000.000000,,9963222952.000000,138980517620.000000,148943740572.000000,,11761674722.000000,,11761674722.000000,26853884773.000000,4476369722.000000,,,1515415156.000000,1515415156.000000,105711537997.000000,448767622942.000000,175731390933.000000,,,,,,1229724406.000000,174501666527.000000,175731390933.000000,624499013875.000000,,49536000000.000000,426000000.000000,834316200513.000000,13886700000.000000,898164900513.000000,1522663914388.000000,495360000.000000
12M 2013,,,252491009837.000000,450022386525.000000,427451771875.000000,22570614650.000000,450022386525.000000,12083193110.000000,6905932417.000000,5177260693.000000,12083193110.000000,359986764460.000000,15215160625.000000,1089798514557.000000,,558782969187.000000,,558782969187.000000,,31755948106.000000,65840250718.000000,656379168011.000000,1746177682568.000000,,,496494829421.000000,141094512189.000000,,14794365846.000000,193564391602.000000,208358757448.000000,,12850710576.000000,,12850710576.000000,11898394917.000000,3331329193.000000,,,1800392643.000000,1800392643.000000,117160732455.000000,496494829421.000000,214032439472.000000,,,,,,2154413791.000000,211878025681.000000,214032439472.000000,710527268893.000000,,49536000000.000000,426000000.000000,971801713675.000000,13886700000.000000,1035650413675.000000,1746177682568.000000,495360000.000000
12M 2014,,,84043058194.000000,519532129126.000000,495068186820.000000,24463942306.000000,519532129126.000000,26978857373.000000,10804655214.000000,16174202159.000000,26978857373.000000,452112191566.000000,32338071780.000000,1115004308039.000000,,807117366092.000000,,807117366092.000000,,42015465907.000000,63151553640.000000,912284385639.000000,2027288693678.000000,,,528814814904.000000,135000000000.000000,,15724152180.000000,230266785684.000000,245990937864.000000,,14080978729.000000,,14080978729.000000,26246504723.000000,23969768164.000000,,,2915404418.000000,2915404418.000000,80611221006.000000,528814814904.000000,267281556150.000000,,,,,,3730342011.000000,263551214139.000000,267281556150.000000,796096371054.000000,,49536000000.000000,426000000.000000,1166533622624.000000,14696700000.000000,1231192322624.000000,2027288693678.000000,990720000.000000
12M 2015,,,167008027010.000000,523028546173.000000,511614066146.000000,11414480027.000000,523028546173.000000,22561535279.000000,13968215906.000000,8593319373.000000,22561535279.000000,603335063226.000000,32129433676.000000,1348062605364.000000,,875127024145.000000,,875127024145.000000,,73286778494.000000,143064451202.000000,1091478253841.000000,2439540859205.000000,,,560119357447.000000,175000000000.000000,,18498968435.000000,200490533316.000000,218989501751.000000,,14629874976.000000,,14629874976.000000,19459237197.000000,17013504231.000000,,,4912970382.000000,4912970382.000000,110114268910.000000,560119357447.000000,387878582652.000000,,,,,,5179332472.000000,382699250180.000000,387878582652.000000,947997940099.000000,,51600000000.000000,146970000000.000000,1334410283331.000000,-41437364225.000000,1491542919106.000000,2439540859205.000000,1032000000.000000
12M 2016,,,148597555600.000000,465995963799.000000,447844755705.000000,18151208094.000000,465995963799.000000,15007252701.000000,10690868872.000000,4316383829.000000,15007252701.000000,646863967025.000000,13743694261.000000,1290208433386.000000,,881751585677.000000,,881751585677.000000,138765979916.000000,96736195708.000000,173978743575.000000,1291232504876.000000,2581440938262.000000,,,589149809544.000000,240308000000.000000,,22195228375.000000,174826727891.000000,197021956266.000000,,13500560427.000000,,13500560427.000000,4307955578.000000,13673187739.000000,,,6222693326.000000,6222693326.000000,114115456208.000000,589149809544.000000,468416609176.000000,,,,,,4868178930.000000,463548430246.000000,468416609176.000000,1057566418720.000000,,51600000000.000000,146970000000.000000,1378722067049.000000,-53417547507.000000,1523874519542.000000,2581440938262.000000,10320000000.000000
12M 2017,,,145136697539.000000,521288372560.000000,479171394626.000000,42116977934.000000,521288372560.000000,6286102706.000000,3812382583.000000,2473720123.000000,6286102706.000000,622391583244.000000,21528877959.000000,1316631634008.000000,,806391112949.000000,,806391112949.000000,481724736306.000000,117919059190.000000,103824273048.000000,1509859181493.000000,2826490815501.000000,,,573582902438.000000,187579000000.000000,,10963694121.000000,151987486623.000000,162951180744.000000,,15037106417.000000,,15037106417.000000,48171742754.000000,16678850853.000000,,,4326457081.000000,4326457081.000000,138838564589.000000,573582902438.000000,559116316516.000000,,,,,,1821425642.000000,557294890874.000000,559116316516.000000,1132699218954.000000,,51600000000.000000,146970000000.000000,1575097871593.000000,-79876275046.000000,1693791596547.000000,2826490815501.000000,10320000000.000000
12M 2018,,,160457752995.000000,430275284283.000000,413522553967.000000,16752730316.000000,430275284283.000000,7092500327.000000,4399983043.000000,2692517284.000000,7092500327.000000,704846384434.000000,36376115088.000000,1339048037127.000000,,732411678729.000000,,732411678729.000000,479675598244.000000,103222951250.000000,242761524694.000000,1558071752917.000000,2897119790044.000000,,,453374610070.000000,118962000000.000000,,11832936307.000000,135252470977.000000,147085407284.000000,,13880297641.000000,,13880297641.000000,20693193981.000000,17733489937.000000,,,1654448382.000000,1654448382.000000,133365772845.000000,453374610070.000000,514268027237.000000,,,,,,1101808278.000000,513166218959.000000,514268027237.000000,967642637307.000000,,51600000000.000000,146970000000.000000,1736030667695.000000,-5123514958.000000,1929477152737.000000,2897119790044.000000,10320000000.000000
12M 2019,,,229961857686.000000,504302322590.000000,487794921776.000000,16507400814.000000,504302322590.000000,10049295587.000000,7502383213.000000,2546912374.000000,10049295587.000000,582002107619.000000,13456678562.000000,1339772262044.000000,,684884793275.000000,,684884793275.000000,491611149332.000000,131451804177.000000,270747243311.000000,1578694990095.000000,2918467252139.000000,,,366190601907.000000,90000000000.000000,,9922765102.000000,95970069731.000000,105892834833.000000,,13973247909.000000,,13973247909.000000,14392821874.000000,16422579576.000000,,,1129824345.000000,1129824345.000000,124379293370.000000,366190601907.000000,628014086531.000000,,,,,,628787060.000000,627385299471.000000,628014086531.000000,994204688438.000000,,51600000000.000000,146970000000.000000,1763108168610.000000,-37415604909.000000,1924262563701.000000,2918467252139.000000,10320000000.000000
12M 2020,,,474357810883.000000,399072969772.000000,392006740973.000000,7066228799.000000,399072969772.000000,6151396041.000000,4193385955.000000,1958010086.000000,6151396041.000000,448138928884.000000,18856816862.000000,1346577922442.000000,,614256277883.000000,,614256277883.000000,729333975669.000000,103946402700.000000,313295534484.000000,1760832190736.000000,3107410113178.000000,,,311318199889.000000,90000000000.000000,,11305936036.000000,83729726761.000000,95035662797.000000,,10596748464.000000,,10596748464.000000,4662502715.000000,13373089398.000000,,,,,97650196515.000000,311318199889.000000,872528984646.000000,,,,,,276753165940.000000,595775818706.000000,872528984646.000000,1183847184535.000000,,51600000000.000000,146970000000.000000,1712188001142.000000,12804927501.000000,1923562928643.000000,3107410113178.000000,10320000000.000000
12M 2021,,,370908976532.000000,464213539000.000000,456363183437.000000,7850355563.000000,464213539000.000000,5914215841.000000,666569804.000000,5247646037.000000,5914215841.000000,616148267900.000000,17556240655.000000,1474741239928.000000,,594728901512.000000,,594728901512.000000,736182138189.000000,87045170248.000000,343633472532.000000,1761589682481.000000,3236330922409.000000,,,407181217569.000000,30000000000.000000,,8040487284.000000,114433372970.000000,122473860254.000000,,12299617980.000000,29129628663.000000,41429246643.000000,43133250141.000000,15234080016.000000,,,,,154910780515.000000,407181217569.000000,701308809092.000000,,,,,,248033089677.000000,453275719415.000000,701308809092.000000,1108490026661.000000,,51600000000.000000,146970000000.000000,1894068454588.000000,35202441160.000000,2127840895748.000000,3236330922409.000000,10320000000.000000
12M 2022,,,405569883002.000000,474266206112.000000,467206368099.000000,7059838013.000000,474266206112.000000,1601599817.000000,95422143.000000,1506177674.000000,1601599817.000000,625693653055.000000,21555704139.000000,1528687046125.000000,,720066028096.000000,,720066028096.000000,718174794484.000000,72473539728.000000,265570783558.000000,1776285145866.000000,3304972191991.000000,,,427991220891.000000,10000000000.000000,,8633716302.000000,128550300889.000000,137184017191.000000,,14137952692.000000,62274265532.000000,76412218224.000000,28108482759.000000,15213990653.000000,,,,,161072512064.000000,427991220891.000000,574219520194.000000,,,,,,220396176896.000000,353823343298.000000,574219520194.000000,1002210741085.000000,,51600000000.000000,146970000000.000000,2032039216927.000000,72152233979.000000,2302761450906.000000,3304972191991.000000,10320000000.000000
12M 2023,,,325326738117.000000,493452197812.000000,490320131058.000000,3132066754.000000,493452197812.000000,7091061741.000000,3563593901.000000,3527467840.000000,7091061741.000000,616584635496.000000,18427276178.000000,1460881909344.000000,,701045403585.000000,,701045403585.000000,721680319138.000000,80599969425.000000,369683198484.000000,1873008890632.000000,3333890799976.000000,,,400851025764.000000,10000000000.000000,,3196272442.000000,116374753206.000000,119571025648.000000,,14913734001.000000,43049566084.000000,57963300085.000000,29822855703.000000,13888629258.000000,,,,,169605215070.000000,400851025764.000000,581642455644.000000,,,,,,204364229445.000000,377278226199.000000,581642455644.000000,982493481408.000000,,51600000000.000000,146970000000.000000,2078376971568.000000,74450347000.000000,2351397318568.000000,3333890799976.000000,10320000000.000000
12M 2024,,,335749272789.000000,545475548124.000000,543244560796.000000,2230987328.000000,545475548124.000000,4450898487.000000,287636093.000000,4163262394.000000,4450898487.000000,729409990742.000000,14490566425.000000,1629576276567.000000,,669720992371.000000,,669720992371.000000,729026611146.000000,78414041180.000000,344315979736.000000,1821477624433.000000,3451053901000.000000,,,448729781768.000000,5000000000.000000,,9055275255.000000,159920269349.000000,168975544604.000000,,15789290530.000000,31374382956.000000,47163673486.000000,29155323342.000000,19527995890.000000,,,,,178907244446.000000,448729781768.000000,540476390684.000000,,,,,,174940983850.000000,365535406834.000000,540476390684.000000,989206172452.000000,,51600000000.000000,146970000000.000000,2176290404077.000000,86987324471.000000,2461847728548.000000,3451053901000.000000,10320000000.000000
