Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1124346781952.000000,-816674603128.000000,307672178824.000000,-102011779644.000000,,-31327916386.000000,-70683863258.000000,-102011779644.000000,,-102011779644.000000,205660399180.000000,-114902013816.000000,1741023437.000000,-18150510043.000000,-101826471236.000000,-984116925.000000,,4318060951.000000,-114902013816.000000,90758385364.000000,-27471391576.000000,63286993788.000000,,,63286993788.000000,63286993788.000000,,63286993788.000000,,,,
12M 2009,980326552026.000000,-684157530482.000000,296169021544.000000,-82990054357.000000,,-26842863631.000000,-56147190726.000000,-82990054357.000000,,-82990054357.000000,213178967187.000000,41671551182.000000,3448410668.000000,-9317307417.000000,46632986608.000000,2448652104.000000,,-1541190781.000000,41671551182.000000,254850518369.000000,-72029623143.000000,182820895226.000000,,,182820895226.000000,182820895226.000000,,182820895226.000000,,,,
12M 2010,1121498803637.000000,-774226999137.000000,347271804500.000000,-88386909117.000000,,-30583645682.000000,-57803263435.000000,-88386909117.000000,,-88386909117.000000,258884895383.000000,1141852510.000000,3159518830.000000,-8109640548.000000,4462648511.000000,551489402.000000,,1077836315.000000,1141852510.000000,260026747893.000000,-66229058540.000000,193797689353.000000,,,193797689353.000000,193797689353.000000,,193797689353.000000,,,,
12M 2011,1341926755400.000000,-944934466678.000000,396992288722.000000,-97193930548.000000,,-38106298821.000000,-59087631727.000000,-97193930548.000000,,-97193930548.000000,299798358174.000000,-6771553174.000000,6155922734.000000,-12925825299.000000,,,,-1650609.000000,-6771553174.000000,293026805000.000000,-74902788716.000000,218124016284.000000,600000000.000000,218724016284.000000,218124016284.000000,218124016284.000000,,218124016284.000000,218724016284.000000,218724016284.000000,,218724016284.000000
12M 2012,1576763006759.000000,-1097693961159.000000,479069045600.000000,-136096895568.000000,,-38929951299.000000,-66707415516.000000,-105637366815.000000,-30459528753.000000,-136096895568.000000,342972150032.000000,-6690188944.000000,4960406436.000000,-11650595380.000000,,,,,-6690188944.000000,336281961088.000000,-100336317731.000000,235945643357.000000,750000000.000000,236695643357.000000,235945643357.000000,235945643357.000000,,235945643357.000000,236695643357.000000,236695643357.000000,,236695643357.000000
12M 2013,1711306783682.000000,-1223977593163.000000,487329190519.000000,-154513256798.000000,-139921284327.000000,,,-139921284327.000000,-14591972471.000000,-154513256798.000000,332815933721.000000,-9611068746.000000,5391349244.000000,-15002417990.000000,,,,,-9611068746.000000,323204864975.000000,-86647351813.000000,236557513162.000000,,236557513162.000000,236557513162.000000,236557513162.000000,,236557513162.000000,236557513162.000000,236557513162.000000,,236557513162.000000
12M 2014,2053630374083.000000,-1522595960036.000000,531034414047.000000,-140101195268.000000,-142426336087.000000,,,-142426336087.000000,2325140819.000000,-140101195268.000000,390933218779.000000,-9050490137.000000,6383860365.000000,-15434350502.000000,,,,,-9050490137.000000,381882728642.000000,-88078819693.000000,293803908949.000000,810000000.000000,294613908949.000000,293803908949.000000,293803908949.000000,,293803908949.000000,294613908949.000000,294613908949.000000,,294613908949.000000
12M 2015,2278673871193.000000,-1708574245367.000000,570099625826.000000,-174380575681.000000,-166745857801.000000,,,-166745857801.000000,-7634717880.000000,-174380575681.000000,395719050145.000000,-14145153528.000000,5072406149.000000,-18203078448.000000,,,,-1014481229.000000,-14145153528.000000,381573896617.000000,-96337115958.000000,285236780659.000000,52750907953.000000,337987688612.000000,285236780659.000000,285236780659.000000,,285236780659.000000,337987688612.000000,337987688612.000000,,337987688612.000000
12M 2016,2069017634710.000000,-1625425378349.000000,443592256361.000000,-178352745235.000000,-157022140522.000000,,,-157022140522.000000,-21330604713.000000,-178352745235.000000,265239511126.000000,-13918619205.000000,4615245674.000000,-18090664270.000000,,,,-443200609.000000,-13918619205.000000,251320891921.000000,-82756308203.000000,168564583718.000000,-11630483282.000000,156934100436.000000,168564583718.000000,168564583718.000000,,168564583718.000000,156934100436.000000,156934100436.000000,,156934100436.000000
12M 2017,2171861931164.000000,-1627586529130.000000,544275402034.000000,-170523537458.000000,-170510536045.000000,,,-170510536045.000000,-13001413.000000,-170523537458.000000,373751864576.000000,3909002934.000000,24369738022.000000,-16056554908.000000,,,-3841243610.000000,-562936570.000000,3909002934.000000,377660867510.000000,-98725062966.000000,278935804544.000000,-25583727539.000000,253352077005.000000,278935804544.000000,278935804544.000000,,278935804544.000000,253352077005.000000,253352077005.000000,,253352077005.000000
12M 2018,2228260379884.000000,-1640546621356.000000,587713758528.000000,-139066146145.000000,-193786925741.000000,,,-193786925741.000000,54720779596.000000,-139066146145.000000,448647612383.000000,3350951518.000000,17240044439.000000,-11040819769.000000,,,-2049138062.000000,-799135090.000000,3350951518.000000,451998563901.000000,-105305767799.000000,346692796102.000000,74752760088.000000,421445556190.000000,346692796102.000000,346692796102.000000,,346692796102.000000,421445556190.000000,421445556190.000000,,421445556190.000000
12M 2019,2056096661320.000000,-1671090856395.000000,385005804925.000000,-225872908206.000000,-226902639440.000000,,,-226902639440.000000,1029731234.000000,-225872908206.000000,159132896719.000000,26346408585.000000,24755445302.000000,-9698447101.000000,,,11935551088.000000,-646140704.000000,26346408585.000000,185479305304.000000,-44881804389.000000,140597500915.000000,-32292089951.000000,108305410964.000000,140597500915.000000,140597500915.000000,,140597500915.000000,108305410964.000000,108305410964.000000,,108305410964.000000
12M 2020,1622319756389.000000,-1419675181146.000000,202644575243.000000,-185870799659.000000,-191763575660.000000,,,-191763575660.000000,5892776001.000000,-185870799659.000000,16773775584.000000,-18552466545.000000,15907432094.000000,-23071682417.000000,,,-9686713992.000000,-1701502230.000000,-18552466545.000000,-1778690961.000000,-28910976507.000000,-30689667468.000000,60950032410.000000,30260364942.000000,-30689667468.000000,-30689667468.000000,,-30689667468.000000,30260364942.000000,30260364942.000000,,30260364942.000000
12M 2021,1831956807551.000000,-1458790358644.000000,373166448907.000000,-184723645494.000000,-197149909022.000000,,,-197149909022.000000,12426263528.000000,-184723645494.000000,188442803413.000000,8266002349.000000,6652852218.000000,-23813838159.000000,,,26757558734.000000,-1330570444.000000,8266002349.000000,196708805762.000000,-39972414020.000000,156736391742.000000,43774234624.000000,200510626366.000000,156736391742.000000,156736391742.000000,,156736391742.000000,200510626366.000000,200510626366.000000,,200510626366.000000
12M 2022,2086058728390.000000,-1516255128716.000000,569803599674.000000,-176513307538.000000,-192570429228.000000,,,-192570429228.000000,16057121690.000000,-176513307538.000000,393290292136.000000,2946067629.000000,5845172085.000000,-20087004206.000000,,,18356934167.000000,-1169034417.000000,2946067629.000000,396236359765.000000,-82825597426.000000,313410762339.000000,36949792819.000000,350360555158.000000,313410762339.000000,313410762339.000000,,313410762339.000000,350360555158.000000,350360555158.000000,,350360555158.000000
12M 2023,2125542963624.000000,-1614437758105.000000,511105205519.000000,-218616919576.000000,-212759709583.000000,,,-212759709583.000000,-5857209993.000000,-218616919576.000000,292488285943.000000,12859311059.000000,15375140957.000000,-20623878627.000000,,,20250128776.000000,-2142080047.000000,12859311059.000000,305347597002.000000,-62929842361.000000,242417754641.000000,2298113021.000000,244715867662.000000,242417754641.000000,242417754641.000000,,242417754641.000000,244715867662.000000,244715867662.000000,,244715867662.000000
12M 2024,2311035384234.000000,-1734250597991.000000,576784786243.000000,-211102489091.000000,-217742049887.000000,,,-217742049887.000000,6639560796.000000,-211102489091.000000,365682297152.000000,26327624833.000000,21391678914.000000,-18848214718.000000,,,27087698662.000000,-3303538025.000000,26327624833.000000,392009921985.000000,-77376489476.000000,314633432509.000000,12536977471.000000,327170409980.000000,314633432509.000000,314633432509.000000,,314633432509.000000,327170409980.000000,327170409980.000000,,327170409980.000000
