Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Hasil Lain-Lain,"Pembayaran Kepada Kontraktor,Pemasok Dan Lain-Lain",Pembayaran Beban Operasional,Pembayaran Beban Pegawai,Pembayaran Bunga Dan Beban Keuangan,Pembayaran (Penerimaan) Pajak Penghasilan,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Deposito Berjangka,Pencairan,Penempatan,Total Deposito Berjangka,Reksadana,Obligasi,Aset Keuangan Lancar Lainnya,Pencairan,Penempatan,Total Aset Keuangan Lancar Lainnya,Penurunan Piutang Pemegang Saham,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Penambahan (Pengurangan) Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor Lainnya,Penerbitan Utang Obligasi,Penerimaan,Biaya Emisi L,Total Penerbitan Utang Obligasi,Penerimaan Modal Disetor,Biaya Emisi Saham,Penerimaan Kepada Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Dividen Kas,Penerimaan Hutang Bank,Pembayaran Utang Pembalian Set Tetap,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Bunga Dari Aktivitas Pendanaan,Pembayaran Hutang Bank,Penerimaan Hutang Sewa Guna,Pembayaran Utang Bank Jangka Panjang,Pembayaran Hutang Sewa Guna,Pelaksanaan Waran Seri I,Pembayaran Imbalan Pasca Kerja,Tax Amnesty,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2019,113720677693.000000,237841080264.000000,2125598243.000000,-169742836336.000000,89352211815.000000,-17155665282.000000,,-3956120710.000000,-24743590301.000000,,113720677693.000000,-185518543354.000000,,,,,,,,,,,,-191993779814.000000,2327733500.000000,,4147502960.000000,,-185518543354.000000,66002061151.000000,,,,,,,,19912277289.000000,-28835662831.000000,,357334907792.000000,,,,-349569853145.000000,135498495822.000000,,-69428096571.000000,,1089992795.000000,,,66002061151.000000,-5795804510.000000,11947740143.000000,3.000000,6151935636.000000
12M 2020,137254563121.000000,276290505488.000000,943425092.000000,-200241316753.000000,113140490747.000000,-18859504079.000000,,-6083510048.000000,-27935527326.000000,,137254563121.000000,-87581524166.000000,,,,,,,,,,,,-88011324166.000000,429800000.000000,,,,-87581524166.000000,-38232165223.000000,,,,,,,,19430915416.000000,-6778053417.000000,,381323964526.000000,,,,-385053410308.000000,38601881366.000000,,-85932176564.000000,,174713758.000000,,,-38232165223.000000,11440873732.000000,6151935636.000000,8.000000,17592809376.000000
12M 2021,252266332319.000000,249876799342.000000,645907442.000000,-155430185202.000000,183662708491.000000,-18718734946.000000,,-3639954913.000000,-4130207895.000000,,252266332319.000000,-209342292427.000000,,,,,-5000000000.000000,,,,,,,-204342292427.000000,,,,,-209342292427.000000,-32564773310.000000,,,,,,,,974229616.000000,-1117345200.000000,,375492605972.000000,,,,-374485113791.000000,46322283409.000000,,-79944115883.000000,,192682567.000000,,,-32564773310.000000,10359266582.000000,17592809376.000000,18.000000,27952075976.000000
12M 2022,225545336099.000000,273311347945.000000,2084071817.000000,-175469052494.000000,193028604615.000000,-17395629128.000000,-10645121413.000000,-14123646930.000000,-25245238313.000000,,225545336099.000000,-239045283385.000000,,,,,-5500000000.000000,,,,,,,-237760840165.000000,793825273.000000,,3421731507.000000,,-239045283385.000000,27995402143.000000,300000000.000000,,,,,,,4680517481.000000,-1258785974.000000,,29993248105.000000,,,,-32750167570.000000,97625974806.000000,,-70534507211.000000,,-60877494.000000,,,27995402143.000000,14495454857.000000,27952075976.000000,,42447530833.000000
12M 2023,154066273425.000000,309013488974.000000,192894946.000000,-54881042806.000000,,-79226816472.000000,-12040376467.000000,-8991874750.000000,,,154066273425.000000,-249405350860.000000,,,-25000000000.000000,-25000000000.000000,,,,10500000000.000000,,10500000000.000000,,-229665598447.000000,3034245455.000000,-8273997868.000000,,,-249405350860.000000,112002131629.000000,175000000000.000000,,,,,,-4503500000.000000,,,,,-3521812276.000000,-60780437554.000000,,7976792785.000000,,-2168911326.000000,,,,,,112002131629.000000,16663054194.000000,42447530833.000000,,59110585027.000000
12M 2024,144113817549.000000,387624532453.000000,1643945933.000000,-140731709251.000000,,-84826018122.000000,-8194569120.000000,-11402364344.000000,,,144113817549.000000,-102704048481.000000,,25008219176.000000,-25500000000.000000,-491780824.000000,,-7212000000.000000,,10000000000.000000,-29871514108.000000,-19871514108.000000,5012500000.000000,-98339524286.000000,18276649673.000000,-78378936.000000,,,-102704048481.000000,148681158769.000000,,,300000000000.000000,-6057993500.000000,293942006500.000000,,,,,-16582018548.000000,,-828187724.000000,-95248281508.000000,,-32453941575.000000,,-233758376.000000,,85340000.000000,,,,148681158769.000000,190090927837.000000,59110585027.000000,,249201512864.000000
