Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,71259950.11,0.00,0.00,56.57 B,7.21%,14.31%,26.86%,
12M 2020,0.00 B,101032699.62,0.00,0.00,74.66 B,10.66%,16.87%,17.85%,
12M 2021,0.00 B,149850175.70,0.00,0.00,98.45 B,13.45%,20.01%,22.90%,
12M 2022,7.00 B,8.36,0.00,0.00,,9.55%,13.50%,15.26%,7.08
12M 2023,8.75 B,9.45,12.80,2.97,194.59 B,9.82%,12.58%,16.80%,8.65
12M 2024,8.75 B,9.21,21.17,4.66,215.97 B,7.21%,11.17%,11.50%,10.29
