Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembelian Aset Tetap,Utang Pembiayaan Konsumen,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,6151935636.000000,5012500000.000000,62017070171.000000,62017070171.000000,,62017070171.000000,,,,,5708808634.000000,1025148069.000000,79915462510.000000,,138735968670.000000,7311545689.000000,268196872070.000000,414244386429.000000,494159848939.000000,,,77367541740.000000,36918898237.000000,,27683916378.000000,27683916378.000000,10780000.000000,2157894864.000000,,,,,2615086383.000000,7980965878.000000,10596052261.000000,,77367541740.000000,167758029051.000000,,5863561648.000000,,,,160804474608.000000,166668036256.000000,1089992795.000000,167758029051.000000,245125570791.000000,,500000000.000000,248729249616.000000,,248729249616.000000,248729249616.000000,-194971468.000000,249034278148.000000,494159848939.000000,500.000000
12M 2020,,,17592809376.000000,5012500000.000000,63546339104.000000,63546339104.000000,,63546339104.000000,,,,,7779201473.000000,1026648068.000000,94957498021.000000,,138344416222.000000,16254464889.000000,224377550863.000000,378976431974.000000,473933929995.000000,,,62657993331.000000,33539741219.000000,,8559579492.000000,8559579492.000000,5390000.000000,1455826464.000000,,,,,2717743846.000000,16379712310.000000,19097456156.000000,,62657993331.000000,111750754957.000000,,5410615421.000000,,,,105075432983.000000,110486048404.000000,1264706553.000000,111750754957.000000,174408748288.000000,,500000000.000000,299245599427.000000,,299245599427.000000,299245599427.000000,-220417720.000000,299525181707.000000,473933929995.000000,500.000000
12M 2021,,,27952075976.000000,5012500000.000000,114816278916.000000,114816278916.000000,,114816278916.000000,,,,,4117539897.000000,5573812364.000000,157472207153.000000,,199321660231.000000,22347078644.000000,178003419983.000000,399672158858.000000,557144366011.000000,,,114501332346.000000,35632181477.000000,,27463593997.000000,27463593997.000000,5390000.000000,3336124634.000000,,19920922989.000000,19920922989.000000,,,28143119249.000000,28143119249.000000,,114501332346.000000,68190993875.000000,,7043411190.000000,,,,59690193565.000000,66733604755.000000,1457389120.000000,68190993875.000000,182692326221.000000,,500000000.000000,374170687276.000000,,374170687276.000000,374170687276.000000,-218647486.000000,374452039790.000000,557144366011.000000,500.000000
12M 2022,,,42447530833.000000,5012500000.000000,104637442081.000000,104637442081.000000,,104637442081.000000,,,,,4581157894.000000,14593845024.000000,171272475832.000000,,312187389183.000000,29897123653.000000,99434101002.000000,441518613838.000000,612791089670.000000,,,67694884750.000000,37516003501.000000,,15997418164.000000,15997418164.000000,5390000.000000,2958612614.000000,,4350000000.000000,4350000000.000000,,,6867460471.000000,6867460471.000000,,67694884750.000000,111856501267.000000,,2402669702.000000,,,,108057319939.000000,110459989641.000000,1396511626.000000,111856501267.000000,179551386017.000000,,350000000000.000000,83170175433.000000,500000000.000000,82670175433.000000,83170175433.000000,69528220.000000,433239703653.000000,612791089670.000000,7000000000.000000
12M 2023,,,59110585027.000000,25000000000.000000,152869247257.000000,152869247257.000000,,152869247257.000000,413550000.000000,,413550000.000000,413550000.000000,4906480565.000000,,242299862849.000000,,586702537609.000000,1265959091.000000,12367842892.000000,600336339592.000000,842636202441.000000,,,148298567941.000000,45492796286.000000,46771379759.000000,,46771379759.000000,96555409.000000,2290677837.000000,,828187724.000000,828187724.000000,,233758376.000000,52044949000.000000,52278707376.000000,540263550.000000,148298567941.000000,41743225792.000000,,,,40006540001.000000,,,40006540001.000000,1736685791.000000,41743225792.000000,190041793733.000000,,437500000000.000000,136310408708.000000,500000000.000000,135810408708.000000,136310408708.000000,83796500000.000000,657606908708.000000,847648702441.000000,8750000000.000000
12M 2024,,,249201512864.000000,25500000000.000000,131209897295.000000,131209897295.000000,,131209897295.000000,808828775.000000,,808828775.000000,808828775.000000,99108741831.000000,22664837576.000000,528493818341.000000,,582804863642.000000,2075255484.000000,5217260311.000000,590097379437.000000,1118591197778.000000,,,95064567058.000000,13038854711.000000,68222218128.000000,,68222218128.000000,1709639501.000000,2309096902.000000,,7545045044.000000,7545045044.000000,,,1056588772.000000,1056588772.000000,1183124000.000000,95064567058.000000,301646752255.000000,,,1888738745.000000,908358721.000000,294041446059.000000,,296838543525.000000,4808208730.000000,301646752255.000000,396711319313.000000,,437508534000.000000,200498038465.000000,1500000000.000000,198998038465.000000,200498038465.000000,83873306000.000000,721879878465.000000,1118591197778.000000,8750000000.000000
