Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,1.08,0.11,0.0,3.22,0.0,0.0,-0.08,0.0,1.94
12M 2020,2.38,0.14,0.05,2.4,0.0,0.0,-0.01,0.02,1.1
12M 2021,2.64,0.27,0.12,2.24,0.0,0.0,-0.02,0.05,0.97
12M 2022,1.77,0.43,0.34,3.17,0.0,0.0,0.06,0.11,1.91
12M 2023,1.56,0.29,0.41,3.37,0.0,0.0,0.29,0.12,2.12
12M 2024,1.28,0.08,1.16,5.39,0.0,0.0,1.06,0.21,4.13
