Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Operasional Lainnnya,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi Pada Perusahaan Asosiasi,Pelepasan Aset Tersedia Untuk Dijual,Penambahan Beban Ditangguhkan,Perolehan Aset Tak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penambahan Modal Disetor,Pembayaran Dividen,Pembayaran Biaya Emisi,Penerimaan Setoran Modal Dari Kepentingan Non Pengendali,Penerimaan (Pembayaran( Piutang Pihak Berelasi,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pembayaran Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-56756318921.000000,69050569789.000000,-114704553745.000000,-3067470211.000000,-4196277650.000000,,-3838587104.000000,-56756318921.000000,-2396375735.000000,-1592875735.000000,,400000000.000000,-913000000.000000,-290500000.000000,-2396375735.000000,52103389400.000000,,,33900000000.000000,,,14700000000.000000,449605400.000000,3117900000.000000,-64116000.000000,52103389400.000000,-7049305256.000000,11450845327.000000,4401540071.000000
12M 2020,-59700004025.000000,55149301392.000000,-100654510745.000000,-4107082298.000000,-7646897848.000000,,-2440814526.000000,-59700004025.000000,-177493000.000000,-63593000.000000,,,,-113900000.000000,-177493000.000000,61400257212.000000,,5000000000.000000,34000000000.000000,,-2034460000.000000,13020000000.000000,526650000.000000,10932500000.000000,-44432788.000000,61400257212.000000,1522760187.000000,4401540071.000000,5924300258.000000
12M 2021,6768208209.000000,69089922885.000000,-48253773089.000000,-5398134976.000000,-6535261859.000000,,-2134544752.000000,6768208209.000000,-192430977.000000,-192430977.000000,,,,,-192430977.000000,1758669360.000000,,3784719360.000000,,-1450000000.000000,,,-406050000.000000,-170000000.000000,,1758669360.000000,8334446592.000000,5924300258.000000,14258746850.000000
12M 2022,-5091795002.000000,64634111040.000000,-57058909045.000000,-5480493175.000000,-5277647771.000000,,-1908856051.000000,-5091795002.000000,-138454040.000000,-138454040.000000,,,,,-138454040.000000,19096980640.000000,,20765280640.000000,,-1800000000.000000,,,181700000.000000,-50000000.000000,,19096980640.000000,13866731598.000000,14258746850.000000,28125478448.000000
12M 2023,-21955590535.000000,84187542816.000000,-88459104281.000000,-5692218180.000000,-5991319498.000000,-3671933179.000000,-2328558213.000000,-21955590535.000000,-6631386808.000000,-4591386808.000000,-2040000000.000000,,,,-6631386808.000000,12474802881.000000,,12049603700.000000,,,,1000000000.000000,-274800819.000000,-300000000.000000,,12474802881.000000,-16112174462.000000,28125478448.000000,12013303986.000000
12M 2024,-65494158230.000000,104450028150.000000,-148306580859.000000,-5595292073.000000,-6859588106.000000,-6130116145.000000,-3052609197.000000,-65494158230.000000,-641638846.000000,-641638846.000000,,,,,-641638846.000000,62584668265.000000,143688063946.000000,-80861395681.000000,,,,,4000000.000000,-246000000.000000,,62584668265.000000,-3551128811.000000,12013303986.000000,8462175175.000000
