Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Final,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,72329941765.000000,-47469199476.000000,24860742289.000000,-10161884059.000000,-3268210883.000000,-6893673176.000000,-10161884059.000000,14698858230.000000,-2721665473.000000,-2882660019.000000,,160994546.000000,-2721665473.000000,11977192757.000000,-26760500.000000,-26760500.000000,,-26760500.000000,11950432257.000000,11950432257.000000,-9040811.000000,11941391446.000000,11950432257.000000,11960473114.000000,-10040857.000000,11950432257.000000,11941391446.000000,11941391446.000000,,11941391446.000000
12M 2020,75820719507.000000,-49557339158.000000,26263380349.000000,-16527437017.000000,-8049295507.000000,-8478141510.000000,-16527437017.000000,9735943332.000000,-2415730846.000000,-3010846896.000000,,595116050.000000,-2415730846.000000,7320212486.000000,-12688720.000000,-12688720.000000,,-12688720.000000,7307523766.000000,7307523766.000000,37280289.000000,7344804055.000000,7307523766.000000,7313666291.000000,-6142525.000000,7307523766.000000,7344804055.000000,7344804055.000000,,7344804055.000000
12M 2021,63302355439.000000,-40256008132.000000,23046347307.000000,-11883440453.000000,-3191736883.000000,-8691703570.000000,-11883440453.000000,11162906854.000000,-2090305651.000000,-2471864472.000000,,381558821.000000,-2090305651.000000,9072601203.000000,-880000.000000,-880000.000000,,-880000.000000,9071721203.000000,9071721203.000000,60266154.000000,9131987357.000000,9071721203.000000,10037365113.000000,-965643910.000000,9071721203.000000,9131987357.000000,10097631267.000000,-965643910.000000,9131987357.000000
12M 2022,32201432195.000000,-18369177980.000000,13832254215.000000,-13698184786.000000,-3191722797.000000,-10506461989.000000,-13698184786.000000,134069429.000000,587806671.000000,-1280053427.000000,,1867860098.000000,587806671.000000,721876100.000000,,,,,721876100.000000,721876100.000000,91633626.000000,813509726.000000,721876100.000000,1421941125.000000,-700065025.000000,721876100.000000,813509726.000000,1512125497.000000,-698615771.000000,813509726.000000
12M 2023,65608463022.000000,-48220028987.000000,17388434035.000000,-14146089461.000000,-3081729885.000000,-11064359576.000000,-14146089461.000000,3242344574.000000,-2084585757.000000,-1800924145.000000,-842114089.000000,558452477.000000,-2084585757.000000,1157758817.000000,-58794780.000000,,,-58794780.000000,1098964037.000000,1098964037.000000,-45602883.000000,1053361154.000000,1098964037.000000,2411383013.000000,-1312418976.000000,1098964037.000000,1053361154.000000,2367229384.000000,-1313868230.000000,1053361154.000000
12M 2024,15123139103.000000,-10863744894.000000,4259394209.000000,-13939789972.000000,-2824424370.000000,-11115365602.000000,-13939789972.000000,-9680395763.000000,-4180423187.000000,-280484595.000000,-2790947738.000000,-1108990854.000000,-4180423187.000000,-13860818950.000000,,,,,-13860818950.000000,-13860818950.000000,91609983.000000,-13769208967.000000,-13860818950.000000,-12212380598.000000,-1648438352.000000,-13860818950.000000,-13769208967.000000,-12120770615.000000,-1648438352.000000,-13769208967.000000
