Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.80 B,14.95,0.00,0.00,15.31 B,6.97%,22.44%,40.77%,
12M 2020,1.00 B,7.31,40.77,3.93,10.52 B,3.32%,7.98%,9.42%,
12M 2021,1.00 B,10.04,39.24,6.22,12.04 B,4.47%,10.00%,7.97%,
12M 2022,1.00 B,1.42,160.56,7.08,0.85 B,0.45%,1.42%,0.09%,
12M 2023,1.00 B,2.41,82.99,3.05,4.24 B,0.70%,2.35%,2.24%,3.85
12M 2024,1.00 B,-12.21,-22.77,18.38,(8.58 B),-2.51%,-13.52%,-7.10%,-3.47
