Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2018,,,,,,,,,,,,,,,0.0
12M 2019,,,,,,,,,55.14,61.9,1.25,0.83,,,0.0
12M 2020,,,,,,,,,95.41,115.48,0.92,0.88,,,0.0
12M 2021,,,,,,,,,202.73,286.21,1.0,1.01,,,0.0
12M 2022,,,,,,,,,296.21,305.26,0.86,0.92,,,0.0
12M 2023,,,,,,,,,288.62,256.0,0.87,0.88,,,0.0
