Period,Total Pendapatan,Jasa Kegiatan Manager Investasi,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,308887226797.000000,308887226797.000000,308887226797.000000,-195962639501.000000,-58233436266.000000,-1103602319.000000,,-136625600916.000000,-195962639501.000000,112924587296.000000,2034789641.000000,2034789641.000000,,2034789641.000000,,,,,,2034789641.000000,114959376937.000000,-28456430500.000000,86502946437.000000,23721750.000000,86526668187.000000,86502946437.000000,86502946437.000000,,86502946437.000000,86526668187.000000,86526668187.000000,,86526668187.000000
12M 2019,279622967425.000000,279622967425.000000,279622967425.000000,-182825938352.000000,-56623138693.000000,-1218488698.000000,,-124984310961.000000,-182825938352.000000,96797029073.000000,7400704492.000000,7400704492.000000,,7400704492.000000,,,,,,7400704492.000000,104197733565.000000,-24630939750.000000,79566793815.000000,-95086500.000000,79471707315.000000,79566793815.000000,79566793815.000000,,79566793815.000000,79471707315.000000,79471707315.000000,,79471707315.000000
12M 2020,335381828544.000000,335381828544.000000,335381828544.000000,-219006195404.000000,-57872711947.000000,-1263809906.000000,,-159869673551.000000,-219006195404.000000,116375633140.000000,9382343216.000000,9779670248.000000,,9779670248.000000,,1048675690.000000,,-1301516320.000000,-144486402.000000,9382343216.000000,125757976356.000000,-26138682776.000000,99619293580.000000,575885700.000000,100195179280.000000,99619293580.000000,99619293580.000000,,99619293580.000000,100195179280.000000,100195179280.000000,,100195179280.000000
12M 2021,393645000000.000000,393645000000.000000,393645000000.000000,-248494000000.000000,-61047000000.000000,-1279000000.000000,,-186168000000.000000,-248494000000.000000,145151000000.000000,5916000000.000000,3736000000.000000,,3736000000.000000,,1347000000.000000,,-1170000000.000000,2003000000.000000,5916000000.000000,151067000000.000000,-32595000000.000000,118472000000.000000,-44000000.000000,118428000000.000000,118472000000.000000,118472000000.000000,,118472000000.000000,118428000000.000000,118428000000.000000,,118428000000.000000
12M 2022,324643000000.000000,324643000000.000000,324643000000.000000,-215572000000.000000,-64104000000.000000,-1248000000.000000,,-150220000000.000000,-215572000000.000000,109071000000.000000,7578000000.000000,4104000000.000000,,4104000000.000000,,1369000000.000000,,-1029000000.000000,3134000000.000000,7578000000.000000,116649000000.000000,-24073000000.000000,92576000000.000000,-846000000.000000,91730000000.000000,92576000000.000000,92576000000.000000,,92576000000.000000,91730000000.000000,91730000000.000000,,91730000000.000000
12M 2023,322682000000.000000,322682000000.000000,322682000000.000000,-217525000000.000000,-66997000000.000000,-1205000000.000000,,-149323000000.000000,-217525000000.000000,105157000000.000000,26063000000.000000,,,,,5424000000.000000,,-873000000.000000,21512000000.000000,26063000000.000000,131220000000.000000,-25897000000.000000,105323000000.000000,26000000.000000,105349000000.000000,105323000000.000000,105323000000.000000,,105323000000.000000,105349000000.000000,105349000000.000000,,105349000000.000000
