Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Pihak Ketiga,Total Utang Bank,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,68204688239.000000,,,944357805.000000,,944357805.000000,,789779750.000000,5821045507.000000,,34944814379.000000,110704685680.000000,,,210833932.000000,210833932.000000,210833932.000000,,10144950391.000000,10144950391.000000,,10144950391.000000,24485452140.000000,22444062101.000000,14462698026.000000,71747996590.000000,,25000000000.000000,,13389653840.000000,5000000000.000000,8389653840.000000,13389653840.000000,,567035250.000000,38956689090.000000,110704685680.000000,25000000.000000
12M 2019,,211179779986.000000,88415555070.000000,,1145200931.000000,8893825.000000,1154094756.000000,,893300000.000000,4320840249.000000,,30435418738.000000,336398988799.000000,,,93611500.000000,93611500.000000,93611500.000000,,42125393036.000000,14877411794.000000,27247981242.000000,42125393036.000000,4160066763.000000,,4466500000.000000,50845571299.000000,,27777780000.000000,201347241095.000000,55956447655.000000,5000000000.000000,50956447655.000000,55956447655.000000,,471948750.000000,285553417500.000000,336398988799.000000,1111111200.000000
12M 2020,,262210304154.000000,,,1052853091.000000,10581533.000000,1063434624.000000,50000000000.000000,2194586484.000000,2709450384.000000,,74949818560.000000,393127594206.000000,,,,,,,22535591918.000000,4439691709.000000,18095900209.000000,22535591918.000000,10654293555.000000,,47758304783.000000,80948190256.000000,,27777780000.000000,200967387998.000000,75575734835.000000,5560000000.000000,70015734835.000000,75575734835.000000,,7858501117.000000,312179403950.000000,393127594206.000000,1111111200.000000
12M 2021,,175380000000.000000,,,1124000000.000000,12000000.000000,1136000000.000000,50384000000.000000,2155000000.000000,1174000000.000000,,162852000000.000000,393081000000.000000,,,,,,,20227000000.000000,7452000000.000000,12775000000.000000,20227000000.000000,9539000000.000000,,53815000000.000000,83581000000.000000,,27778000000.000000,200967000000.000000,81904000000.000000,5560000000.000000,76344000000.000000,81904000000.000000,,-1149000000.000000,309500000000.000000,393081000000.000000,2222222400.000000
12M 2022,,142552000000.000000,,,1248000000.000000,10000000.000000,1258000000.000000,50786000000.000000,2986000000.000000,1018000000.000000,,161767000000.000000,360367000000.000000,,,,,,,16714000000.000000,5400000000.000000,11314000000.000000,16714000000.000000,6727000000.000000,,46365000000.000000,69806000000.000000,,27778000000.000000,200967000000.000000,66954000000.000000,5560000000.000000,61394000000.000000,66954000000.000000,,-5138000000.000000,290561000000.000000,360367000000.000000,2222222400.000000
12M 2023,,197577000000.000000,,,1233000000.000000,2103000000.000000,3336000000.000000,,3725000000.000000,1218000000.000000,7410000000.000000,163961000000.000000,377227000000.000000,,,,,,10017000000.000000,9264000000.000000,,9264000000.000000,9264000000.000000,17885000000.000000,21019000000.000000,19761000000.000000,77946000000.000000,,27778000000.000000,210483000000.000000,75992000000.000000,5560000000.000000,70432000000.000000,75992000000.000000,,-14972000000.000000,299281000000.000000,377227000000.000000,2222222400.000000
