Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Imbalan Jasa Manajer Investasi,Penerimaan Bunga,"Pembayaran Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka/Jamianan Kepada Lembaga Kliring Dan Penjaminan,Penempatan Investasi Pada Saham,Penempatan Investasi Pada Reksa Dana,Penjualan Investasi Reksa Dana,Hasil Penjualan Aset Tetap,Penjualan Investasi Pada Saham,Investasi Pada Surat Berharga Syariah Negara,Perolehan Aset Takberwujud,Perolehan Aset Tetap,Investasi Pada Rekanan,Penempatan Deposito Berjangka/Jamianan Kepada Lembaga Kliring Dan Penjaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penawaran Umum Saham Perdana,Biaya Emisi Saham,Pembayaran Dividen,Pembelian Saham Tresuri,Pembayaran Liabilitas Sewa,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,117930298186.000000,322266543064.000000,2853464773.000000,-180157930763.000000,-27031778888.000000,117930298186.000000,-6046421287.000000,,,,,11000000.000000,,,,-6057421287.000000,,,-6046421287.000000,-85628593200.000000,,,,-85500000000.000000,,,,-128593200.000000,-85628593200.000000,26255283699.000000,41949404540.000000,68204688239.000000
12M 2019,64536931879.000000,286231804227.000000,5384059753.000000,-195294867586.000000,-31784064515.000000,64536931879.000000,-88558268020.000000,,,,,,,,,-142712950.000000,,-88415555070.000000,-88558268020.000000,166996427887.000000,,211111280000.000000,-6986258907.000000,-37000000006.000000,,,,-128593200.000000,166996427887.000000,142975091746.000000,68204688240.000000,211179779986.000000
12M 2020,107705924295.000000,320470750107.000000,11416403273.000000,-203073057317.000000,-21108171768.000000,107705924295.000000,28201555070.000000,88415555070.000000,-50000000000.000000,-10200000000.000000,,,,,,-14000000.000000,,,28201555070.000000,-84876955197.000000,,,-379853097.000000,-80000006400.000000,,-3101967880.000000,-1298682920.000000,-96444900.000000,-84876955197.000000,51030524168.000000,211179779986.000000,262210304154.000000
12M 2021,123744000000.000000,397614000000.000000,3945000000.000000,-244154000000.000000,-33661000000.000000,123744000000.000000,-89614000000.000000,,,-89345000000.000000,,,,,-175000000.000000,-94000000.000000,,,-89614000000.000000,-120960000000.000000,,,,-112143000000.000000,-7347000000.000000,-2640000000.000000,1170000000.000000,,-120960000000.000000,-86830000000.000000,262210000000.000000,175380000000.000000
12M 2022,83262000000.000000,327210000000.000000,3920000000.000000,-220393000000.000000,-27475000000.000000,83262000000.000000,-918000000.000000,,,-1000000.000000,,,,,,-917000000.000000,,,-918000000.000000,-115172000000.000000,,,,-107526000000.000000,-5154000000.000000,-3521000000.000000,1029000000.000000,,-115172000000.000000,-32828000000.000000,175380000000.000000,142552000000.000000
12M 2023,107510000000.000000,323787000000.000000,9436000000.000000,-199201000000.000000,-26512000000.000000,107510000000.000000,49667000000.000000,,,,,340000000.000000,50000000000.000000,,,-673000000.000000,,,49667000000.000000,-102152000000.000000,,,,-96285000000.000000,-2150000000.000000,-3717000000.000000,,,-102152000000.000000,55025000000.000000,142552000000.000000,197577000000.000000
