Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Beban Keuangan,Pembayaran Pajak,Pembayaran (Penerimaan) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi Pada Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Sewa,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Lainnya,Penerimaan Dari Penjualan Aset Keuangan,Perolehan Aset Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pencairan Pinjaman Bank,Pembayaran Pinjaman Bank,Tambahan Modal Disetor,Penurunan Modal Disetor Entitas Anak,Tambahan Modal Disetor Entitas Anak,Penerimaan Dari Lembaga Keuangan Lainnya,Pembayaran Bunga Lembaga Keuangan Lainnya,Pembayaran Bunga Pinjaman Bank,Pembayaran Pinjaman Leasing,Pembayaran Bunga Peminjaman Leasing,Penerimaan Dana Hasil Ipo,Biaya Emisi,Penerimaan (Pembayaran) Sewa Pembiayaan,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Penjualan Aset Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,44758509437.000000,383577315989.000000,-333657766721.000000,-1995922822.000000,,-2290152504.000000,-874964505.000000,44758509437.000000,-74931415220.000000,-51160786648.000000,-23591700000.000000,-812500000.000000,,633571428.000000,,,,-74931415220.000000,30501406173.000000,72820456276.000000,-13274624921.000000,30100000000.000000,-7070000000.000000,,,,-27224846272.000000,,,,-4000000000.000000,-260053703.000000,-20589525207.000000,,30501406173.000000,328500390.000000,4289611460.000000,114912.000000,4618226762.000000
12M 2018,28909076019.000000,319592783542.000000,-252539686527.000000,-36837674100.000000,,-4065980013.000000,2759633117.000000,28909076019.000000,-24817935655.000000,-10121816655.000000,-19725869000.000000,,,1084750000.000000,3945000000.000000,,,-24817935655.000000,-6765703395.000000,29125076577.000000,-13801649728.000000,,,,,,-18076382293.000000,,,41400000000.000000,-2974091152.000000,-28563670388.000000,-13874986411.000000,,-6765703395.000000,-2674563031.000000,4618226762.000000,910608.000000,1944574339.000000
12M 2019,54768232027.000000,395608046596.000000,-293184115514.000000,-43283241317.000000,,-3714397025.000000,-658060713.000000,54768232027.000000,-3066643628.000000,-2456631129.000000,,,,389987501.000000,-1000000000.000000,,,-3066643628.000000,-51568381153.000000,,-12080935673.000000,,,,16183533120.000000,-1772515132.000000,-25624944537.000000,,,,,-22452549303.000000,-5820969628.000000,,-51568381153.000000,133207246.000000,1944574340.000000,-563180.000000,2077218406.000000
12M 2020,66155905582.000000,280862455253.000000,-176052222929.000000,-36413699208.000000,,-2419081679.000000,178454145.000000,66155905582.000000,-1251061607.000000,-1251061607.000000,,,,,,,,-1251061607.000000,-64690411774.000000,6372559811.000000,-4464057525.000000,,,,1116537382.000000,-3218972441.000000,-13730365700.000000,,,,,-11476025749.000000,-39290087552.000000,,-64690411774.000000,214432201.000000,2077218406.000000,128456.000000,2291779063.000000
12M 2021,40335944233.000000,281336805901.000000,-185368960357.000000,-54342958027.000000,,-2474937274.000000,1185993990.000000,40335944233.000000,16188906953.000000,-6661582052.000000,,,,22850489005.000000,,,,16188906953.000000,-57950879056.000000,,-15720320007.000000,,,,73072925.000000,-3397650982.000000,-3218213616.000000,,,,,-29582174644.000000,-6105592732.000000,,-57950879056.000000,-1426027870.000000,2291779063.000000,133052.000000,865884245.000000
12M 2022,-7936686565.000000,278305591391.000000,-242159188067.000000,-46574099693.000000,,1858618111.000000,632391693.000000,-7936686565.000000,68341610879.000000,-1075682703.000000,,,,69417293582.000000,,,,68341610879.000000,-58857320074.000000,,-28037825686.000000,,,,-889352298.000000,-2743361244.000000,-687251659.000000,,,,,-15821472079.000000,-10678057108.000000,,-58857320074.000000,1547604240.000000,865884245.000000,,2413488485.000000
12M 2023,-9710749120.000000,282577961200.000000,-241594761013.000000,-49383620646.000000,,-1313411461.000000,3082800.000000,-9710749120.000000,15569552325.000000,-3617488666.000000,,,,19187040991.000000,,,,15569552325.000000,-7076682700.000000,,-12219085162.000000,,,,,-56660000.000000,-160310005.000000,,,,,-5894916385.000000,11254288852.000000,,-7076682700.000000,-1217879495.000000,2413488485.000000,,1195608990.000000
12M 2024,10442093408.000000,288188997835.000000,-243106626128.000000,-31380327860.000000,,-3261952110.000000,2001671.000000,10442093408.000000,-5063489996.000000,-7017776304.000000,,,,1954286308.000000,,,,-5063489996.000000,-5599826294.000000,,-11745477724.000000,,,,,-875000000.000000,,,,,,-3773515774.000000,10794167204.000000,,-5599826294.000000,-221222882.000000,1195608990.000000,,974386108.000000
