Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Bunga,Penerimaan Ppn Yang Akan Disetor,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penjualan Surat Berharga,Pembatalan Aset Dalam Pengembangan,Penerimaan Deviden,Investasi Ori,Bunga Atas Ori,Investasi Deposito,Dana Escrow,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Dari Transaksi Pihak Berelasi,Pembayaran Untuk Transaksi Pihak Berelasi,Penerimaan Tambahan Modal Disetor,Pembayaran Pembiayaan Konsumen,Penerimaan Dividen,Pembayaran Dividen,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-32080933840.000000,145819051936.000000,-130472611709.000000,-24084227104.000000,2322127592.000000,-9899259640.000000,,-15766014915.000000,-32080933840.000000,-6929137282.000000,-8476003182.000000,75000000.000000,69665900.000000,,1402200000.000000,,,,,-6929137282.000000,61751152372.000000,93259167345.000000,-27500000000.000000,123167444.000000,-507611327.000000,234500000.000000,-252001143.000000,,-3606069947.000000,,61751152372.000000,22741081250.000000,68738691382.000000,-176369990.000000,91303402642.000000
12M 2017,55237701512.000000,164259523267.000000,-64447050622.000000,-26178455028.000000,1161297170.000000,-10299537300.000000,,-9258075975.000000,55237701512.000000,-61316937167.000000,-63012487167.000000,52500000.000000,,1450000000.000000,193050000.000000,,,,,-61316937167.000000,-52736045335.000000,45000000000.000000,-96041666670.000000,616760000.000000,-698280000.000000,,-629385000.000000,,-983473665.000000,,-52736045335.000000,-58815280990.000000,91303402642.000000,-31907646.000000,32456214006.000000
12M 2018,-23848927530.000000,79824287219.000000,-76982530945.000000,-13984076727.000000,1082850712.000000,-11289215863.000000,,-2500241926.000000,-23848927530.000000,-8939159340.000000,-10402384340.000000,165500000.000000,,,1297725000.000000,,,,,-8939159340.000000,28781996686.000000,127909000000.000000,-91566487960.000000,550000000.000000,,,-7807677675.000000,,-302837679.000000,,28781996686.000000,-4006090184.000000,32456214006.000000,,28450123822.000000
12M 2019,-15052258605.000000,75927139911.000000,-60378784552.000000,-14993721826.000000,777387403.000000,-12825855403.000000,,-3558424138.000000,-15052258605.000000,-16592817944.000000,-16894942944.000000,,,,302125000.000000,,,,,-16592817944.000000,26769776433.000000,55000000000.000000,-26808387499.000000,8255289835.000000,-9115792395.000000,,-259391333.000000,,-301942175.000000,,26769776433.000000,-4875300116.000000,28450123822.000000,,23574823706.000000
12M 2020,-4796014431.000000,63095103904.000000,-27259468652.000000,-23448802639.000000,336527863.000000,-13801844783.000000,,-3717530124.000000,-4796014431.000000,-17300965343.000000,-5623860509.000000,416000000.000000,,,23692938.000000,,,-10501775000.000000,-1615022772.000000,-17300965343.000000,13048993103.000000,23538634700.000000,-8750360344.000000,,-1163299487.000000,,-246421766.000000,,-329560000.000000,,13048993103.000000,-9047986671.000000,23574823706.000000,,14526837035.000000
12M 2021,-11012612250.000000,46581799673.000000,-21431853178.000000,-19513666704.000000,1283695301.000000,-14344371099.000000,,-3588216243.000000,-11012612250.000000,-1697546340.000000,-1295421006.000000,,,,127396708.000000,,,,-529522042.000000,-1697546340.000000,5928220411.000000,,-50000000.000000,,6200000000.000000,,-221779589.000000,,,,5928220411.000000,-6781938179.000000,14526837035.000000,,7744898856.000000
12M 2022,391806865527.000000,467065552591.000000,-82254095632.000000,-18101696921.000000,2727272483.000000,-10556668735.000000,46750000000.000000,-13823498259.000000,391806865527.000000,-3114882875.000000,-3182238677.000000,,,,67355802.000000,,,,,-3114882875.000000,-182852215770.000000,,-157279743059.000000,431193956.000000,-26003666667.000000,,,,,,-182852215770.000000,205839766882.000000,7744898856.000000,,213584665738.000000
12M 2023,-67721126793.000000,33353504866.000000,-31165466757.000000,-23670740967.000000,4929555951.000000,-208274225.000000,,-50959705661.000000,-67721126793.000000,-71116684005.000000,-3135558495.000000,,,,287875220.000000,-68903877320.000000,634876590.000000,,,-71116684005.000000,-67986639157.000000,,-321333370.000000,,-2176509787.000000,,,,-65488796000.000000,,-67986639157.000000,-206824449955.000000,213584665738.000000,,6760215783.000000
12M 2024,-4704727967.000000,43495801547.000000,-22271274855.000000,-22004649916.000000,896075247.000000,-516394018.000000,,-4304285972.000000,-4704727967.000000,4553935315.000000,-2329008435.000000,,,,2781250000.000000,,4101693750.000000,,,4553935315.000000,-952387232.000000,19809962642.000000,-16717076604.000000,2300000000.000000,-2892933420.000000,,,,-3452339850.000000,,-952387232.000000,-1103179884.000000,6760215783.000000,,5657035899.000000
