Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pendapatan Bunga,"Pembayaran Kas Kepada Pemasok, Pihak Ketiga Dan Pemerintah",Pembayaran Kas Untuk Gaji Dan Tunjangan Lainnya,Pembayaran Bunga,Penerimaan Dari (Pembayaran Kepada) Pihak Hubungan Istimewa,Pengeluaran Untuk Kegiatan Usaha Lainnya,Pendapatan Klaim Asuransi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi Jangka Pendek,Penerimaan (Pembayaran) Dari Entitas Asosiasi,Uang Muka Properti Investasi,Penerimaan Pengalihan Uang Muka Pembelian Properti Investasi,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Pembayaran Piutang Pihak Berelasi,Perolehan Surat-Surat Berharga,Penjualan Surat-Surat Berharga,Pengurangan (Penambahan) Investasi Lainnya,Penerimaan Pinjaman Bank,Penerimaan Dividen,Penerimaan Dari (Pembayaran Kepada) Pihak Hubungan Istimewa,Penjualan Aset Tetap,Penjualan Properti Investasi,Kenaikan (Penurunan) Hubungan Berelasi,Perolehan Investasi Jangka Pendek,Pengurangan Investasi Jangka Pendek,Penambahan Cip,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali Untuk Pendirian Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerimaan Utang Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Utang Bank,Perolehan (Pembayaran) Utang Modal Kerja,Pembayaran Dividen,Penerimaan Deviden,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Dividen Tunai,Perolehan Hutang Bank,Penerimaan Dari Pihak Hubungan Istimewa,Penerimaan Dari (Pengeluaran Untuk) Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Tambahan Modal Disetor Terkait Pengampunan Pajak,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Perolehan Setoran Modal Entitas Anak Dari Pemegang Saham Non Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,48990944719.000000,163672100544.000000,765828975.000000,-70390815038.000000,-35032980379.000000,-6399374451.000000,,-3623814932.000000,,,48990944719.000000,-36317954080.000000,,,,,,,-35442471286.000000,,,-11150051123.000000,10255433530.000000,,,19134799.000000,,,,,,,,,,-36317954080.000000,6659702464.000000,-57816290000.000000,,,-57816290000.000000,,,,,,-5812746406.000000,,,,70288738870.000000,,,,,,,,,6659702464.000000,,19332693103.000000,33510651372.000000,52843344475.000000
12M 2009,41717786175.000000,187434794186.000000,1719158965.000000,-89074687026.000000,-41335796130.000000,-10267224578.000000,,-6758459242.000000,,,41717786175.000000,-33610019296.000000,,,,,,,-39294158723.000000,,,-11974497502.000000,17484427974.000000,,,55044955.000000,,119164000.000000,,,,,,,,-33610019296.000000,-6610328295.000000,-9994572703.000000,,,-9994572703.000000,,,,,,-6459328295.000000,,,,9843572703.000000,,,,,,,,,-6610328295.000000,,1497438584.000000,52843344475.000000,54340783059.000000
12M 2010,55651446089.000000,198342744066.000000,1038636729.000000,-84639339825.000000,-42727962269.000000,-9435542096.000000,,-6927090516.000000,,,55651446089.000000,-20836164540.000000,,,,,,,-24507139103.000000,,,-6025637486.000000,7510195983.000000,,,2186416066.000000,,,,,,,,,,-20836164540.000000,-23888190034.000000,-12350000000.000000,,,-12350000000.000000,,,,,,-11538190034.000000,,,,,,,,,,,,,-23888190034.000000,,10927091515.000000,46441517470.000000,57368608985.000000
12M 2011,67431584553.000000,241930658137.000000,1675360770.000000,-110732965198.000000,-45935971173.000000,-8669627796.000000,,-10835870187.000000,,,67431584553.000000,-15667000469.000000,,,,,,,-15176915468.000000,,,-19683342945.000000,18284987944.000000,,,908270000.000000,,,,,,,,,,-15667000469.000000,-27619632991.000000,-13400000000.000000,,,-13400000000.000000,,,,,,-14219632991.000000,,,,,,,,,,,,,-27619632991.000000,,24144951093.000000,57368608985.000000,81513560078.000000
12M 2012,51840001655.000000,250969325800.000000,1524193806.000000,-128162828932.000000,-52522701313.000000,-6834554024.000000,,-13133433682.000000,,,51840001655.000000,-24868064162.000000,13569161377.000000,,,,,,-26530099322.000000,,,,,,,550000000.000000,,2870038878.000000,,,-15327165095.000000,,,,,-24868064162.000000,-33374011793.000000,-14800000000.000000,,,-14800000000.000000,,,,,,-18574011793.000000,,,,,,,,,,,,,-33374011793.000000,,-6402074300.000000,81513560078.000000,75111485778.000000
12M 2013,61417188815.000000,255138156604.000000,813672707.000000,-119004861024.000000,-64287468400.000000,-5068944763.000000,,-6173366309.000000,,,61417188815.000000,-40946135034.000000,15904602521.000000,,,,,,-50244480238.000000,,,,,,,550000000.000000,,,,,-11567257317.000000,,,4411000000.000000,,-40946135034.000000,35899980518.000000,-31862738870.000000,,,-31862738870.000000,,,,,,-10037280612.000000,,,,77800000000.000000,,,,,,,,,35899980518.000000,,56371034299.000000,75111485778.000000,131482520077.000000
12M 2014,31442429960.000000,247623517772.000000,6244432874.000000,-130817518396.000000,-70791862072.000000,-11161585961.000000,,-9654554257.000000,,,31442429960.000000,-20331103569.000000,21914219482.000000,,,,,,-20206347310.000000,,,,,,,1100000000.000000,,54000000.000000,,,-23192975741.000000,,,,,-20331103569.000000,-29133363699.000000,-17700000000.000000,,,-17700000000.000000,,,,,,-11433363699.000000,,,,,,,,,,,,,-29133363699.000000,,-18022037308.000000,131482520077.000000,113460482769.000000
12M 2015,34547912190.000000,226034018995.000000,2323575531.000000,-106751299714.000000,-74086117379.000000,-9047956453.000000,,-3924308790.000000,,,34547912190.000000,-69332542786.000000,12144200775.000000,,-4750000000.000000,,-1750000000.000000,-25000000000.000000,-41208867059.000000,,,,,,,412500000.000000,,326300000.000000,,,-9506676502.000000,,,,,-69332542786.000000,-23507562663.000000,-17719671280.000000,,,-17719671280.000000,,,,,,-10787891383.000000,,,,,2000000000.000000,,,,,,3000000000.000000,,-23507562663.000000,,-58292193259.000000,113460482769.000000,55168289510.000000
12M 2016,14476962745.000000,224299179650.000000,2129129305.000000,-115351568801.000000,-73156931966.000000,-17767232161.000000,,-5675613282.000000,,,14476962745.000000,-75902463025.000000,14139546746.000000,,,,-318749400.000000,,-75686633464.000000,,,,,,,330000000.000000,,30000000.000000,,,-14396626907.000000,,,,,-75902463025.000000,71479885067.000000,75350000000.000000,,,75350000000.000000,,,,,,-4377548896.000000,,,,,,,,809000000.000000,-301566037.000000,,,,71479885067.000000,,10054384787.000000,55168289510.000000,65222674297.000000
12M 2017,41397306917.000000,224311826013.000000,1468745703.000000,-103292937585.000000,-74251367470.000000,-14904162822.000000,,-2622860597.000000,10688063675.000000,,41397306917.000000,-45978816.000000,3733929808.000000,,,,,,-32881570197.000000,,,,,,,385000000.000000,,22045629587.000000,8652610000.000000,,-1981578014.000000,,,,,-45978816.000000,-30596583894.000000,-21600000000.000000,,,-21600000000.000000,,,,,,-4208540466.000000,,,,,,,,,-378043428.000000,,-4410000000.000000,,-30596583894.000000,,10754744207.000000,65222674293.000000,75977418500.000000
