Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,52843344475.000000,4540198001.000000,,,4540198001.000000,14423440868.000000,2044524624.000000,1392065274.000000,652459350.000000,2044524624.000000,11015655470.000000,,1115988170.000000,85983151608.000000,,160603811768.000000,,2005775904.000000,5667042399.000000,,858103392.000000,169134733463.000000,255117885071.000000,,,60722480869.000000,1650000000.000000,4638305290.000000,16037186325.000000,,,16037186325.000000,4290607836.000000,,,4290607836.000000,9213610548.000000,,,8975000000.000000,8975000000.000000,15917770870.000000,60722480869.000000,90100798554.000000,2695096619.000000,,71863738870.000000,,,71863738870.000000,15541963065.000000,90100798554.000000,150823279423.000000,,64862885500.000000,152000000.000000,62754143069.000000,1000000000.000000,61754143069.000000,62754143069.000000,20997184640.000000,-44471607561.000000,104294605648.000000,,255117885071.000000,129725771.000000
12M 2009,,,54340783059.000000,3801388000.000000,,,3801388000.000000,15829405398.000000,2252236048.000000,1410677152.000000,841558896.000000,2252236048.000000,10696744789.000000,,1196299476.000000,88116856770.000000,,189669738651.000000,,2612106707.000000,4074451275.000000,,5984239966.000000,202340536599.000000,290457393369.000000,,,58921022319.000000,1650000000.000000,6879941423.000000,4389022092.000000,,,4389022092.000000,5395471883.000000,,,5395471883.000000,12951894219.000000,,,10700000000.000000,10700000000.000000,16954692702.000000,58921022319.000000,87863611504.000000,628966122.000000,,69987738870.000000,,,69987738870.000000,17246906512.000000,87863611504.000000,146784633823.000000,,64862885500.000000,152000000.000000,88312761997.000000,1100000000.000000,87212761997.000000,88312761997.000000,28699384751.000000,-38354272702.000000,143672759546.000000,,290457393369.000000,129725771.000000
12M 2010,,,57368608985.000000,12811582713.000000,,,12811582713.000000,19649740247.000000,944964790.000000,822512573.000000,122452217.000000,944964790.000000,5184872445.000000,,2046800298.000000,98006569478.000000,,201756205979.000000,6308859530.000000,3227055737.000000,4137382236.000000,,7888611641.000000,223318115123.000000,321324684601.000000,,,62262150638.000000,,7976185441.000000,3748205250.000000,,,3748205250.000000,6006316605.000000,,,6006316605.000000,10037025975.000000,,,13400000000.000000,13400000000.000000,21094417367.000000,62262150638.000000,86925194348.000000,106572496.000000,,66907410150.000000,,463575073.000000,67370985223.000000,19447636629.000000,86925194348.000000,149187344986.000000,,64862885500.000000,152000000.000000,110460910532.000000,1200000000.000000,109260910532.000000,110460910532.000000,37141703350.000000,-40480159767.000000,172137339615.000000,,321324684601.000000,129725771.000000
12M 2011,,,81513560078.000000,13986962724.000000,13935812724.000000,51150000.000000,13986962724.000000,17745299478.000000,1078619361.000000,1075709361.000000,2910000.000000,1078619361.000000,9861381179.000000,,1873586533.000000,126059409353.000000,,203593012978.000000,6021008294.000000,3590998559.000000,5699216206.000000,,2073419043.000000,220977655080.000000,347037064433.000000,,,66305428298.000000,,7499771017.000000,,4540333022.000000,602683297.000000,5143016319.000000,7701189472.000000,,,7701189472.000000,13584783074.000000,,,14400000000.000000,14400000000.000000,17976668416.000000,66305428298.000000,75268317639.000000,,,52507410150.000000,,,52507410150.000000,22760907489.000000,75268317639.000000,141573745937.000000,,64862885500.000000,152000000.000000,136380053176.000000,1300000000.000000,135080053176.000000,136380053176.000000,44548539587.000000,-40480159767.000000,205463318496.000000,,347037064433.000000,129725771.000000
12M 2012,,,75111485778.000000,12074556124.000000,12014056124.000000,60500000.000000,12074556124.000000,19726387199.000000,1561085551.000000,1549996088.000000,11089463.000000,1561085551.000000,11397198483.000000,,2898819169.000000,122769532304.000000,,212051220560.000000,5705565317.000000,4043353541.000000,5916341849.000000,,3107251073.000000,230823732340.000000,353593264644.000000,,,61981330810.000000,,7530934890.000000,,4041325896.000000,1096175253.000000,5137501149.000000,7237193938.000000,,,7237193938.000000,6641349198.000000,,,15400000000.000000,15400000000.000000,20034351635.000000,61981330810.000000,63369538913.000000,11692277.000000,,36707410150.000000,,,36707410150.000000,26650436486.000000,63369538913.000000,125350869723.000000,,77835463000.000000,48799165625.000000,92063446832.000000,1400000000.000000,90663446832.000000,92063446832.000000,50024479231.000000,-40480159767.000000,228242394921.000000,,353593264644.000000,778354630.000000
12M 2013,,,131482520077.000000,7413782565.000000,7351636565.000000,62146000.000000,7413782565.000000,21933995034.000000,1502910893.000000,1446662611.000000,56248282.000000,1502910893.000000,11972679424.000000,,1692416690.000000,175998304683.000000,,245712062746.000000,5390090845.000000,4869412769.000000,6877609483.000000,,7103087734.000000,269952263577.000000,445950568260.000000,,,68031862930.000000,,8009310484.000000,,4690609347.000000,3139367702.000000,7829977049.000000,7938139232.000000,,,7938139232.000000,8671059040.000000,,,17700000000.000000,17700000000.000000,17883377125.000000,68031862930.000000,107642909185.000000,1510988.000000,,80344671280.000000,,,80344671280.000000,27296726917.000000,107642909185.000000,175674772115.000000,,79781349600.000000,17270084218.000000,109708724735.000000,1500000000.000000,108208724735.000000,109708724735.000000,63515637592.000000,,270275796145.000000,,445950568260.000000,797813496.000000
12M 2014,,,113460482769.000000,7419575693.000000,7362479693.000000,57096000.000000,7419575693.000000,17271344710.000000,1963825952.000000,1955205489.000000,8620463.000000,1963825952.000000,12268058346.000000,,3253876555.000000,155637164025.000000,,249672772967.000000,5074611873.000000,4460108250.000000,6256055397.000000,,11874293673.000000,277337842160.000000,432975006185.000000,,,54581201388.000000,,6569861004.000000,,4260112497.000000,1855510799.000000,6115623296.000000,6655481488.000000,,,6655481488.000000,4505958242.000000,,,17407171280.000000,17407171280.000000,13327106078.000000,54581201388.000000,89891882672.000000,14866192.000000,,62937500000.000000,,,62937500000.000000,26939516480.000000,89891882672.000000,144473084060.000000,,79781349600.000000,17270084218.000000,121838522195.000000,1600000000.000000,120238522195.000000,121838522195.000000,69611966112.000000,,288501922125.000000,,432975006185.000000,797813496.000000
12M 2015,,,55168289510.000000,4762523508.000000,4708146108.000000,54377400.000000,4762523508.000000,16624859796.000000,2785163425.000000,2595949942.000000,189213483.000000,2785163425.000000,12503182400.000000,,2287078470.000000,94131097109.000000,,275686567443.000000,6443507901.000000,4156397193.000000,9628828135.000000,,42063330800.000000,337978631472.000000,432109728581.000000,,,56119919385.000000,,7190847832.000000,,6381792641.000000,3740830281.000000,10122622922.000000,8829165663.000000,,,8829165663.000000,4063635194.000000,,,12625000000.000000,12625000000.000000,13288647774.000000,56119919385.000000,93493235397.000000,9467688.000000,,50000000000.000000,,,50000000000.000000,43483767709.000000,93493235397.000000,149613154782.000000,,79781349600.000000,17270084218.000000,110095979305.000000,1700000000.000000,108395979305.000000,110095979305.000000,75349160676.000000,,282496573799.000000,,432109728581.000000,797813496.000000
12M 2016,,,65222674293.000000,5816318407.000000,5767119407.000000,49199000.000000,5816318407.000000,16728278736.000000,1559160806.000000,1375070662.000000,184090144.000000,1559160806.000000,13231100600.000000,,2300042907.000000,104857575749.000000,,361422779264.000000,6353965839.000000,4250014389.000000,9777790595.000000,,14573380394.000000,396377930481.000000,501235506230.000000,,,59896241448.000000,,6448354717.000000,,5759128696.000000,3746762172.000000,9505890868.000000,5713011932.000000,,,5713011932.000000,3758796089.000000,,378043421.000000,20150000000.000000,20528043421.000000,13942144421.000000,59896241448.000000,166943153249.000000,119831987.000000,,117825000000.000000,953890542.000000,,118778890542.000000,48044430720.000000,166943153249.000000,226839394697.000000,,79781349600.000000,18079084218.000000,102940569838.000000,1800000000.000000,101140569838.000000,102940569838.000000,73595107877.000000,,274396111533.000000,,501235506230.000000,797813496.000000
12M 2017,,,75977418500.000000,4463928484.000000,4405666484.000000,58262000.000000,4463928484.000000,14182484330.000000,1970509559.000000,1783677950.000000,186831609.000000,1970509559.000000,14051898151.000000,,1990721274.000000,112636960298.000000,,361539358945.000000,5178316399.000000,4157938900.000000,12433796469.000000,,11914693111.000000,395224103824.000000,507861064122.000000,,,66165708792.000000,,7034268750.000000,,9216211434.000000,4610218137.000000,13826429571.000000,6842819159.000000,,,6842819159.000000,3768547692.000000,,415859222.000000,23000000000.000000,23415859222.000000,11277784398.000000,66165708792.000000,152164958660.000000,295511942.000000,,93375000000.000000,538031313.000000,,93913031313.000000,57956415405.000000,152164958660.000000,218330667452.000000,,79781349600.000000,18079084218.000000,116711025478.000000,1800000000.000000,114911025478.000000,116711025478.000000,74958937374.000000,,289530396670.000000,,507861064122.000000,797813496.000000
