Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,277713343064.000000,-274342213697.000000,3371129367.000000,-20618450704.000000,-3862609831.000000,-16755840873.000000,,-20618450704.000000,-17247321337.000000,-37798717187.000000,15266450.000000,-17654410079.000000,-21175028782.000000,1113047607.000000,,-97592383.000000,-37798717187.000000,-55046038524.000000,-5346176470.000000,-60392214994.000000,,-60392214994.000000,,,-60392214994.000000,-60392214994.000000,,,-60392214994.000000,,,,,
12M 2009,70550639865.000000,-69933948635.000000,616691230.000000,-19223344690.000000,-990366656.000000,-18232978034.000000,,-19223344690.000000,-18606653460.000000,11499000779.000000,7610216.000000,-17751405851.000000,18703493157.000000,9652189336.000000,,887113921.000000,11499000779.000000,-7107652681.000000,161316597.000000,-6946336084.000000,-2864028.000000,-6949200112.000000,,,-6949200112.000000,-6949200112.000000,,,-6949200112.000000,,,,,
12M 2010,39219746479.000000,-41477498798.000000,-2257752319.000000,-8633244858.000000,-777358650.000000,-7855886208.000000,,-8633244858.000000,-10890997177.000000,725794801.000000,11432739.000000,-6456290661.000000,5391613953.000000,87500000.000000,,1691538770.000000,725794801.000000,-10165202376.000000,64749676.000000,-10100452700.000000,,-10100452700.000000,,,-10100452700.000000,-10100452700.000000,,,-10100452700.000000,,,,,
12M 2011,25103575040.000000,-30823403397.000000,-5719828357.000000,62175642076.000000,-157589417.000000,-5906915225.000000,68240146718.000000,62175642076.000000,56455813719.000000,-11460324246.000000,67565754.000000,-11527890000.000000,,,,,-11460324246.000000,44995489473.000000,778537973.000000,45774027446.000000,,45774027446.000000,,45774027446.000000,45774027446.000000,45774027446.000000,,,45774027446.000000,45774027446.000000,45779597755.000000,-5570309.000000,,45774027446.000000
12M 2012,3148079.000000,-3580112.000000,-432033.000000,6022891.000000,,-959684.000000,6982575.000000,6022891.000000,5590858.000000,-16422.000000,16285.000000,-32707.000000,,,,,-16422.000000,5574436.000000,181745.000000,5756181.000000,,5756181.000000,,5756181.000000,5756181.000000,5756181.000000,,,5756181.000000,5756181.000000,5756181.000000,,,5756181.000000
12M 2013,2638464.000000,-5895597.000000,-3257133.000000,-1581617.000000,,-2224680.000000,643063.000000,-1581617.000000,-4838750.000000,6127.000000,6127.000000,,,,,,6127.000000,-4832623.000000,113465.000000,-4719158.000000,,-4719158.000000,22970.000000,-4696188.000000,-4719158.000000,-4717954.000000,-1204.000000,,-4719158.000000,-4696188.000000,-4694985.000000,-1203.000000,,-4696188.000000
12M 2014,2591442.000000,-3276641.000000,-685199.000000,-1737856.000000,,-1290095.000000,-447761.000000,-1737856.000000,-2423055.000000,-39636.000000,1122.000000,-40758.000000,,,,,-39636.000000,-2462691.000000,-523175.000000,-2985866.000000,,-2985866.000000,15452.000000,-2970414.000000,-2985866.000000,-2985609.000000,-257.000000,,-2985866.000000,-2970414.000000,-2970159.000000,-255.000000,,-2970414.000000
12M 2015,3113603.000000,-3026621.000000,86982.000000,-1216541.000000,,-1213508.000000,-3033.000000,-1216541.000000,-1129559.000000,-27995867.000000,1144.000000,-77438.000000,,,,-27919573.000000,-27995867.000000,-29125426.000000,-36521.000000,-29161947.000000,,-29161947.000000,-1304.000000,-29163251.000000,-29161947.000000,-29161863.000000,-84.000000,,-29161947.000000,-29163251.000000,-29163167.000000,-84.000000,,-29163251.000000
12M 2016,7668273.000000,-4246495.000000,3421778.000000,-1056153.000000,,-1047680.000000,-8473.000000,-1056153.000000,2365625.000000,-67725.000000,17166.000000,-81458.000000,,,,-3433.000000,-67725.000000,2297900.000000,47393.000000,2345293.000000,,2345293.000000,-12565.000000,2332728.000000,2345293.000000,2345012.000000,281.000000,,2345293.000000,2332728.000000,2332458.000000,270.000000,,2332728.000000
12M 2017,7923022.000000,-4010776.000000,3912246.000000,-1530935.000000,,-1424745.000000,-106190.000000,-1530935.000000,2381311.000000,45502.000000,58321.000000,-1155.000000,,,,-11664.000000,45502.000000,2426813.000000,,2426813.000000,,2426813.000000,110595.000000,2537408.000000,2426813.000000,2426524.000000,289.000000,,2426813.000000,2537408.000000,2537108.000000,300.000000,,2537408.000000
12M 2018,6323645.000000,-4002019.000000,2321626.000000,-1421380.000000,,-1067136.000000,-354244.000000,-1421380.000000,900246.000000,55830.000000,69787.000000,,,,,-13957.000000,55830.000000,956076.000000,-228828.000000,727248.000000,,727248.000000,-7574.000000,719674.000000,727248.000000,727120.000000,128.000000,,727248.000000,719674.000000,719546.000000,128.000000,,719674.000000
12M 2019,3415191.000000,-3285565.000000,129626.000000,-723686.000000,,-904575.000000,180889.000000,-723686.000000,-594060.000000,43441.000000,54303.000000,,,,,-10862.000000,43441.000000,-550619.000000,-8752.000000,-559371.000000,,-559371.000000,641.000000,-558730.000000,-559371.000000,-559355.000000,-16.000000,,-559371.000000,-558730.000000,-558714.000000,-16.000000,,-558730.000000
12M 2020,4528900.000000,-3257400.000000,1271500.000000,-1156403.000000,,-1053784.000000,-102619.000000,-1156403.000000,115097.000000,22403.000000,33449.000000,-4356.000000,,,,-6690.000000,22403.000000,137500.000000,-68199.000000,69301.000000,,69301.000000,-251.000000,69050.000000,69301.000000,69247.000000,54.000000,,69301.000000,69050.000000,68996.000000,54.000000,,69050.000000
12M 2021,2933937.000000,-3431469.000000,-497532.000000,111929.000000,,-1039374.000000,1151303.000000,111929.000000,-385603.000000,52951.000000,71084.000000,-3916.000000,,,,-14217.000000,52951.000000,-332652.000000,-255673.000000,-588325.000000,,-588325.000000,5713.000000,-582612.000000,-588325.000000,-588289.000000,-36.000000,,-588325.000000,-582612.000000,-582577.000000,-35.000000,,-582612.000000
12M 2022,7138357.000000,-4099140.000000,3039217.000000,-1643886.000000,,-1164978.000000,-478908.000000,-1643886.000000,1395331.000000,12021.000000,21181.000000,-4924.000000,,,,-4236.000000,12021.000000,1407352.000000,-451823.000000,955529.000000,,955529.000000,6379.000000,961908.000000,955529.000000,955392.000000,137.000000,,955529.000000,961908.000000,961770.000000,138.000000,,961908.000000
12M 2023,6783708.000000,-4150640.000000,2633068.000000,-905660.000000,,-987037.000000,81377.000000,-905660.000000,1727408.000000,9150.000000,11868.000000,,,,,-2718.000000,9150.000000,1736558.000000,-534763.000000,1201795.000000,,1201795.000000,-1038.000000,1200757.000000,1201795.000000,1201634.000000,161.000000,,1201795.000000,1200757.000000,1200596.000000,161.000000,,1200757.000000
12M 2024,4590060.000000,-3490759.000000,1099301.000000,-883085.000000,,-760311.000000,-122774.000000,-883085.000000,216216.000000,8375.000000,9049.000000,,,,,-674.000000,8375.000000,224591.000000,-146869.000000,77722.000000,,77722.000000,26488.000000,104210.000000,77722.000000,77675.000000,47.000000,,77722.000000,104210.000000,104166.000000,44.000000,,104210.000000
