Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,41432210341.000000,-23729238987.000000,17702971354.000000,-6998940541.000000,-5488965337.000000,-1272966310.000000,-237008894.000000,-6998940541.000000,10704030813.000000,-9116213760.000000,30658106.000000,-9146871866.000000,-9116213760.000000,1587817053.000000,,1587817053.000000,-75306000.000000,-75306000.000000,-75306000.000000,1512511053.000000,1587817053.000000,1587817053.000000,,1587817053.000000,1512511053.000000,1512511053.000000,,1512511053.000000
12M 2020,25376582800.000000,-14321377215.000000,11055205585.000000,-5828298613.000000,-5014150432.000000,-909834984.000000,95686803.000000,-5828298613.000000,5226906972.000000,-9272131874.000000,261565887.000000,-9533697761.000000,-9272131874.000000,-4045224902.000000,,-4045224902.000000,159160000.000000,159160000.000000,159160000.000000,-3886064902.000000,-4045224902.000000,-4045224902.000000,,-4045224902.000000,-3886064902.000000,-3886064902.000000,,-3886064902.000000
12M 2021,50363743196.000000,-33358131716.000000,17005611480.000000,-6892921806.000000,-5757875049.000000,-1563208775.000000,428162018.000000,-6892921806.000000,10112689674.000000,-9957466131.000000,20368778.000000,-9977834909.000000,-9957466131.000000,155223543.000000,-68406250.000000,86817293.000000,181719000.000000,181719000.000000,181719000.000000,268536293.000000,86817293.000000,86817293.000000,,86817293.000000,268536293.000000,268536293.000000,,268536293.000000
12M 2022,14768916731.000000,-11173011942.000000,3595904789.000000,2239047338.000000,-8576789099.000000,-572582560.000000,11388418997.000000,2239047338.000000,5834952127.000000,-10801028049.000000,31528537.000000,-10832556586.000000,-10801028049.000000,-4966075922.000000,,-4966075922.000000,-53578000.000000,-53578000.000000,-53578000.000000,-5019653922.000000,-4966075922.000000,-4966075922.000000,,-4966075922.000000,-5019653922.000000,-5019653922.000000,,-5019653922.000000
12M 2023,28372087077.000000,-15480358663.000000,12891728414.000000,-8268095396.000000,-8721177471.000000,-676310415.000000,1129392490.000000,-8268095396.000000,4623633018.000000,-10998966440.000000,10641644.000000,-11009608084.000000,-10998966440.000000,-6375333422.000000,,-6375333422.000000,-27625000.000000,-27625000.000000,-27625000.000000,-6402958422.000000,-6375333422.000000,-6375333422.000000,,-6375333422.000000,-6402958422.000000,-6402958422.000000,,-6402958422.000000
12M 2024,23174307675.000000,-11394487204.000000,11779820471.000000,-6257067082.000000,-5663945334.000000,-604338626.000000,11216878.000000,-6257067082.000000,5522753389.000000,-14016167566.000000,4107265.000000,-14020274831.000000,-14016167566.000000,-8493414177.000000,,-8493414177.000000,28509000.000000,28509000.000000,28509000.000000,-8464905177.000000,-8493414177.000000,-8493414177.000000,,-8493414177.000000,-8464905177.000000,-8464905177.000000,,-8464905177.000000
