Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penerimaan (Pembayaran) Lainny,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Investasi Asosiasi,Penerimaan Pengembalian Uang Muka Investasi Asosiasi,Penerimaan Penjualan Investasi Pada Entitas Asosiasi,Penambahan Properti Investasi,Pembayaran Uang Muka Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Penerimaan Pihak Berelasi,Pembayaran Pihak Berelasi,Penerimaan Setoran Modal Saham,Penerimaan Tambahan Setoran Modal,Pembayaran Biaya Emisi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,9630810983.000000,43489803981.000000,-21336961390.000000,-1576426790.000000,30658106.000000,-8364134879.000000,-2375119151.000000,-237008894.000000,9630810983.000000,-42900188349.000000,403290384.000000,-391421478.000000,-4570183800.000000,,,20000000000.000000,-58341873455.000000,,-42900188349.000000,31408290804.000000,-610772667.000000,17343582163.000000,-16051937567.000000,,9750000000.000000,,201755569997.000000,-190796278003.000000,116371277138.000000,-106353150257.000000,,31408290804.000000,-1861086562.000000,3559233900.000000,1698147338.000000
12M 2020,-1847264499.000000,33314029048.000000,-21214581750.000000,-2099998999.000000,261565887.000000,-9133249316.000000,-3070716172.000000,95686803.000000,-1847264499.000000,-40455395049.000000,,-79307620.000000,,,,,-40376087429.000000,,-40455395049.000000,41535598744.000000,-764593180.000000,2719174378.000000,-1140225000.000000,,35000000000.000000,,121999914794.000000,-110956536478.000000,21618854076.000000,-26940989846.000000,,41535598744.000000,-767060804.000000,1698147338.000000,931086534.000000
12M 2021,1286477099.000000,51218091667.000000,-34460328561.000000,-2344109330.000000,20368778.000000,-11892903118.000000,-1682804355.000000,428162018.000000,1286477099.000000,-3803470558.000000,550000000.000000,-130039263.000000,,,,,-4223431295.000000,,-3803470558.000000,5372685742.000000,-736139034.000000,2245000000.000000,1109642712.000000,,,,12349782536.000000,-15805401806.000000,31317468751.000000,-25107667417.000000,,5372685742.000000,2855692283.000000,931086534.000000,3786778817.000000
12M 2022,-20052928160.000000,21939592132.000000,-25993829888.000000,-2743383913.000000,31528537.000000,-12560438392.000000,-882170710.000000,155774074.000000,-20052928160.000000,-982812652.000000,,-110322571.000000,,,,,-872490081.000000,,-982812652.000000,18247535201.000000,-73871000.000000,,-4115036233.000000,15000000000.000000,,-809295000.000000,3000000000.000000,-33000216051.000000,79950984353.000000,-41705030868.000000,,18247535201.000000,-2788205611.000000,3786778817.000000,998573206.000000
12M 2023,-9134908585.000000,17761365884.000000,-10482012216.000000,-3131158310.000000,10641644.000000,-13110778860.000000,-412773709.000000,229806982.000000,-9134908585.000000,-2130495096.000000,,-668529917.000000,,,,,-1461965179.000000,,-2130495096.000000,10864526312.000000,-165218222.000000,1900618521.000000,,,,,54441585610.000000,-49528491347.000000,43376813881.000000,-39160782131.000000,,10864526312.000000,-400877369.000000,998573206.000000,597695837.000000
12M 2024,6352154897.000000,39498109788.000000,-16116505005.000000,-2378717774.000000,4107265.000000,-13341841681.000000,-1324214574.000000,11216878.000000,6352154897.000000,-151634810.000000,,-151634810.000000,,,,,,,-151634810.000000,-6128660583.000000,-158250000.000000,63469801.000000,,,,,,,2975222542.000000,-9009102926.000000,,-6128660583.000000,71859504.000000,597695837.000000,669555341.000000
