Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,10 B,(63 B),(54 B),-67.09
12M 2020,(2 B),(40 B),(42 B),-42.30
12M 2021,1 B,(4 B),(3 B),-3.07
12M 2022,(20 B),(1 B),(21 B),-17.53
12M 2023,(9 B),(2 B),(11 B),-9.39
12M 2024,6 B,(0 B),6 B,5.17
