Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Kendaraan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,28889090916.000000,10144312200.000000,10144312200.000000,,10144312200.000000,3710712085.000000,,3710712085.000000,3710712085.000000,245977736667.000000,6532501599.000000,295254353467.000000,,,,,,,,661749284.000000,,2500000000.000000,3161749284.000000,298416102751.000000,,,224306801599.000000,77254031413.000000,,,8847297322.000000,8847297322.000000,103770321.000000,2258770586.000000,,,261941713.000000,261941713.000000,,,,,,135580990244.000000,224306801599.000000,4971478608.000000,,,,,,3371447235.000000,1046447474.000000,4417894709.000000,553583899.000000,4971478608.000000,229278280207.000000,,9000000000.000000,,-17862177456.000000,,,-17862177456.000000,,78000000000.000000,69137822544.000000,298416102751.000000,90000000.000000
12M 2011,,,496319472902.000000,39991537133.000000,25236055356.000000,14755481777.000000,39991537133.000000,107506540823.000000,103535556167.000000,3970984656.000000,107506540823.000000,464510656477.000000,34674934182.000000,1143003141517.000000,,,,,,471854072603.000000,,101325860354.000000,,20336616377.000000,593516549334.000000,1736519690851.000000,,,495874470577.000000,169899085661.000000,,128101385735.000000,26130005369.000000,154231391104.000000,5997411319.000000,6249378127.000000,,,172370599.000000,172370599.000000,,,,,,159324833767.000000,495874470577.000000,24553108889.000000,,,,,,6578740027.000000,16541682380.000000,23120422407.000000,1432686482.000000,24553108889.000000,520427579466.000000,,780076000000.000000,222442743783.000000,187336966902.000000,,,187336966902.000000,26236400700.000000,,1216092111385.000000,1736519690851.000000,7800760000.000000
12M 2012,,,510481936763.000000,54967748745.000000,,54967748745.000000,54967748745.000000,116357783496.000000,112350969071.000000,4006814425.000000,116357783496.000000,479429160412.000000,2949990309.000000,1164186619725.000000,,,,,,592522334820.000000,,109845845790.000000,37137523543.000000,171161001524.000000,910666705677.000000,2074853325402.000000,,,403142420520.000000,167088004010.000000,,64241715123.000000,84465104498.000000,148706819621.000000,17892709927.000000,9697660732.000000,,,73359303.000000,73359303.000000,,,,,,59683866927.000000,403142420520.000000,21303867723.000000,,,,,,3459151377.000000,15656161158.000000,19115312535.000000,2188555188.000000,21303867723.000000,424446288243.000000,,780076000000.000000,222442743783.000000,615845144117.000000,5000000000.000000,610845144117.000000,615845144117.000000,32043149259.000000,,1650407037159.000000,2074853325402.000000,7800760000.000000
12M 2013,,,751951757827.000000,14244066003.000000,,14244066003.000000,14244066003.000000,3309954683.000000,1678981001.000000,1630973682.000000,3309954683.000000,196817152643.000000,8608563088.000000,974931494244.000000,,2655943978.000000,2655943978.000000,2655943978.000000,214912513079.000000,537061319458.000000,,155823192905.000000,138969375721.000000,21347945060.000000,1070770290201.000000,2045701784445.000000,,,170581179177.000000,12809149206.000000,,47341715123.000000,21709361930.000000,69051077053.000000,7324453296.000000,4530505091.000000,,1481940530.000000,,1481940530.000000,,3371447235.000000,12334489822.000000,15705937057.000000,,59678116944.000000,170581179177.000000,80353257653.000000,,65959610596.000000,65959610596.000000,,,,,,14393647057.000000,80353257653.000000,250934436830.000000,,780076000000.000000,222442743783.000000,756894059922.000000,10000000000.000000,746894059922.000000,756894059922.000000,35354543910.000000,,1794767347615.000000,2045701784445.000000,7800760000.000000
12M 2014,,,54415282547.000000,16344558969.000000,,16344558969.000000,16344558969.000000,4392551133.000000,,4392551133.000000,4392551133.000000,748459496665.000000,17611561784.000000,841223451098.000000,,2477687445.000000,2477687445.000000,2477687445.000000,409767236196.000000,593115782904.000000,,210502098908.000000,166236947350.000000,69338791599.000000,1451438544402.000000,2292661995500.000000,,,206368263636.000000,14102154028.000000,,21549417573.000000,20750807537.000000,42300225110.000000,2778109730.000000,7146550700.000000,,5927317872.000000,,5927317872.000000,,455310368.000000,78552303863.000000,79007614231.000000,,55106291965.000000,206368263636.000000,114840106353.000000,,93288743959.000000,93288743959.000000,,,,,,21551362394.000000,114840106353.000000,321208369989.000000,,780076000000.000000,222442743783.000000,924830581945.000000,15000000000.000000,909830581945.000000,924830581945.000000,44104299783.000000,,1971453625511.000000,2292661995500.000000,7800760000.000000
12M 2015,,,134875157674.000000,23361117970.000000,,23361117970.000000,23361117970.000000,8482780179.000000,74358000.000000,8408422179.000000,8482780179.000000,560057725381.000000,83087317018.000000,809864098222.000000,,2703046049.000000,2703046049.000000,2703046049.000000,266419314765.000000,3131308835631.000000,,212862270432.000000,2307430000000.000000,74690197209.000000,5995413664086.000000,6805277762308.000000,,,230319789255.000000,13771197077.000000,,20668763245.000000,17365930431.000000,38034693676.000000,7079885456.000000,59339209206.000000,,6676407643.000000,,6676407643.000000,,248518532.000000,36944784484.000000,37193303016.000000,,68225093181.000000,230319789255.000000,306012188873.000000,,102466899427.000000,102466899427.000000,67201690245.000000,,,,,136343599201.000000,306012188873.000000,536331978128.000000,,780076000000.000000,222442743783.000000,5216349481642.000000,20000000000.000000,5196349481642.000000,5216349481642.000000,53255538347.000000,-3177979592.000000,6268945784180.000000,6805277762308.000000,7800760000.000000
12M 2016,,,139869349253.000000,24829518544.000000,,24829518544.000000,24829518544.000000,8849257494.000000,,8849257494.000000,8849257494.000000,613419589552.000000,23625132357.000000,810592847200.000000,,2528325416.000000,2528325416.000000,2528325416.000000,277103661461.000000,3415842394362.000000,12780250.000000,202485570411.000000,2178889600000.000000,75817883104.000000,6152680215004.000000,6963273062204.000000,,,92102697715.000000,11716783324.000000,,7245816994.000000,8879585321.000000,16125402315.000000,3619508681.000000,5612970394.000000,,9677417531.000000,,9677417531.000000,,4296963504.000000,2714390074.000000,7011353578.000000,,38339261892.000000,92102697715.000000,386382687073.000000,,155010322965.000000,155010322965.000000,68110951711.000000,,,,,163261412397.000000,386382687073.000000,478485384788.000000,,780076000000.000000,222442743783.000000,5424273461777.000000,25000000000.000000,5399273461777.000000,5424273461777.000000,60819921753.000000,-2824449897.000000,6484787677416.000000,6963273062204.000000,7800760000.000000
12M 2017,,,175170598050.000000,12914015914.000000,,12914015914.000000,12914015914.000000,8318301374.000000,,8318301374.000000,8318301374.000000,682139197106.000000,20920014016.000000,899462126460.000000,,2730405982.000000,2730405982.000000,2730405982.000000,292466370972.000000,3592040725375.000000,45139750.000000,191280335059.000000,2155259500000.000000,67576779805.000000,6301399256943.000000,7200861383403.000000,,,108794083687.000000,11978329412.000000,,7210862871.000000,6705838403.000000,13916701274.000000,1258976804.000000,6404961563.000000,,58282640029.000000,,58282640029.000000,,,2226064124.000000,2226064124.000000,,14726410481.000000,108794083687.000000,415566902369.000000,,172645983662.000000,172645983662.000000,69182346497.000000,,,,,173738572210.000000,415566902369.000000,524360986056.000000,,780076000000.000000,222442743783.000000,5614677215596.000000,30000000000.000000,5584677215596.000000,5614677215596.000000,62112921513.000000,-2808483545.000000,6676500397347.000000,7200861383403.000000,7800760000.000000
12M 2018,,,382603313470.000000,11020198913.000000,,11020198913.000000,11020198913.000000,4606288428.000000,,4606288428.000000,4606288428.000000,746400918074.000000,29556925307.000000,1174187644192.000000,,2948638168.000000,2948638168.000000,2948638168.000000,292651617334.000000,3585883315659.000000,130373029.000000,222749848702.000000,2160671681383.000000,51810706805.000000,6316846181080.000000,7491033825272.000000,,,150466366721.000000,13702749598.000000,,7164310425.000000,16176269173.000000,23340579598.000000,1554494206.000000,28613599640.000000,,60541699919.000000,,60541699919.000000,,,3356652563.000000,3356652563.000000,,19356591197.000000,150466366721.000000,447023703855.000000,,258846654840.000000,258846654840.000000,70444785114.000000,,,,,117732263901.000000,447023703855.000000,597490070576.000000,,780076000000.000000,222442743783.000000,5826926249271.000000,35000000000.000000,5791926249271.000000,5826926249271.000000,63649815601.000000,448946041.000000,6893543754696.000000,7491033825272.000000,7800760000.000000
12M 2019,,,374633166041.000000,1089534887.000000,1089534887.000000,,1089534887.000000,3671163146.000000,,3671163146.000000,3671163146.000000,834189673144.000000,36819690763.000000,1250403227981.000000,,2948638168.000000,2948638168.000000,2948638168.000000,292843653614.000000,3617204418362.000000,152700413.000000,206892381780.000000,2178858779177.000000,52339021208.000000,6351239592722.000000,7601642820703.000000,,,430963598546.000000,14024180297.000000,,6871715123.000000,5599539200.000000,12471254323.000000,1344049639.000000,6508932360.000000,,301008493625.000000,,301008493625.000000,,,3088874864.000000,3088874864.000000,71932333201.000000,20585480237.000000,430963598546.000000,149221187370.000000,,37459476494.000000,37459476494.000000,,,,,,111761710876.000000,149221187370.000000,580184785916.000000,,780076000000.000000,222442743783.000000,5954608910704.000000,40000000000.000000,5914608910704.000000,5954608910704.000000,64091765811.000000,238614489.000000,7021458034787.000000,7601642820703.000000,7800760000.000000
