Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,94355614723.000000,-67193236891.000000,27162377832.000000,-10703474014.000000,-1090442120.000000,-9613031894.000000,-10703474014.000000,16458903818.000000,1741351594.000000,,,,,,1741351594.000000,1741351594.000000,18200255412.000000,-4719109236.000000,13481146176.000000,,,,13481146176.000000,13481146176.000000,13481146176.000000,,13481146176.000000,13481146176.000000,13481146176.000000,,13481146176.000000
12M 2011,258090167331.000000,-124954118892.000000,133136048439.000000,-35409149614.000000,-10485879010.000000,-24923270604.000000,-35409149614.000000,97726898825.000000,124960158689.000000,118394689674.000000,,,,,6565469015.000000,124960158689.000000,222687057514.000000,-14964051586.000000,207723005928.000000,,,,207723005928.000000,207723005928.000000,205199144358.000000,2523861570.000000,207723005928.000000,207723005928.000000,205199144358.000000,2523861570.000000,207723005928.000000
12M 2012,713853560743.000000,-334089199171.000000,379764361572.000000,-97789638195.000000,-35172461000.000000,-62617177195.000000,-97789638195.000000,281974723377.000000,192314171720.000000,152668262217.000000,,,,,39645909503.000000,192314171720.000000,474288895097.000000,-39973969323.000000,434314925774.000000,,,,434314925774.000000,434314925774.000000,428508177215.000000,5806748559.000000,434314925774.000000,434314925774.000000,428508177215.000000,5806748559.000000,434314925774.000000
12M 2013,91916072166.000000,-31550542258.000000,60365529908.000000,-80487609174.000000,-4411168630.000000,-76076440544.000000,-80487609174.000000,-20122079266.000000,174433519956.000000,122738984638.000000,-917944670.000000,44784719866.000000,5606025309.000000,,2221734813.000000,174433519956.000000,154311440690.000000,-9951130234.000000,144360310456.000000,,,,144360310456.000000,144360310456.000000,141048915805.000000,3311394651.000000,144360310456.000000,144360310456.000000,141048915805.000000,3311394651.000000,144360310456.000000
12M 2014,176000943214.000000,-47311194887.000000,128689748327.000000,-81554102311.000000,-17311001323.000000,-64243100988.000000,-81554102311.000000,47135646016.000000,142148933911.000000,114454463446.000000,-5155212556.000000,951597448.000000,2505471858.000000,,29392613715.000000,142148933911.000000,189284579927.000000,-17539215447.000000,171745364480.000000,,,,171745364480.000000,171745364480.000000,167936522023.000000,3808842457.000000,171745364480.000000,171745364480.000000,167936522023.000000,3808842457.000000,171745364480.000000
12M 2015,83739395532.000000,-25078663621.000000,58660731911.000000,-100142378604.000000,-15399430691.000000,-84742947913.000000,-100142378604.000000,-41481646693.000000,1310595783667.000000,251578492040.000000,-23526698951.000000,11239544498.000000,988948026.000000,-5232964677.000000,1075548462731.000000,1310595783667.000000,1269114136974.000000,-5249660965.000000,1263864476009.000000,274068088.000000,,274068088.000000,1264138544097.000000,1263864476009.000000,1261413971236.000000,2450504773.000000,1263864476009.000000,1264138544097.000000,1261621473708.000000,2517070389.000000,1264138544097.000000
12M 2016,141439630076.000000,-39341480082.000000,102098149994.000000,-77576147799.000000,-9584171612.000000,-67991976187.000000,-77576147799.000000,24522002195.000000,190589554072.000000,350741157512.000000,-26559326837.000000,7060557081.000000,-2315825564.000000,-7278534348.000000,-131058473772.000000,190589554072.000000,215111556267.000000,-4962712750.000000,210148843517.000000,-110458781.000000,,-110458781.000000,210038384736.000000,210148843517.000000,207923980135.000000,2224863382.000000,210148843517.000000,210038384736.000000,207865653830.000000,2172730906.000000,210038384736.000000
12M 2017,84985760705.000000,-27005000893.000000,57980759812.000000,-106002852691.000000,-5188479044.000000,-100814373647.000000,-106002852691.000000,-48022092879.000000,238594483475.000000,267117183178.000000,-24701171175.000000,7750144854.000000,,-4471319869.000000,-7100353513.000000,238594483475.000000,190572390596.000000,-2071958500.000000,188500432096.000000,-37387165.000000,,-37387165.000000,188463044931.000000,188500432096.000000,190403753819.000000,-1903321723.000000,188500432096.000000,188463044931.000000,190419720171.000000,-1956675240.000000,188463044931.000000
12M 2018,134413002080.000000,-87714970807.000000,46698031273.000000,-106279972799.000000,-4945504284.000000,-101334468515.000000,-106279972799.000000,-59581941526.000000,272396673131.000000,264722514716.000000,-22794458311.000000,11716386679.000000,,-5253897357.000000,24006127404.000000,272396673131.000000,212814731605.000000,-2244292428.000000,210570439177.000000,3521593172.000000,,3521593172.000000,214092032349.000000,210570439177.000000,212249033675.000000,-1678594498.000000,210570439177.000000,214092032349.000000,215506463261.000000,-1414430912.000000,214092032349.000000
12M 2019,87824837112.000000,-37362240346.000000,50462596766.000000,-100527226566.000000,-4752985565.000000,-95774241001.000000,-100527226566.000000,-50064629800.000000,177407924830.000000,177159577422.000000,-21388305738.000000,21186229606.000000,,-2967213837.000000,3417637377.000000,177407924830.000000,127343295030.000000,-801212115.000000,126542082915.000000,-388652824.000000,,-388652824.000000,126153430091.000000,126542082915.000000,127682661433.000000,-1140578518.000000,126542082915.000000,126153430091.000000,127472329881.000000,-1318899790.000000,126153430091.000000
12M 2020,32332146290.000000,-18065656256.000000,14266490034.000000,-74623330362.000000,-4750922197.000000,-69872408165.000000,-74623330362.000000,-60356840328.000000,3823680145.000000,-2939321147.000000,-8446991479.000000,14017400347.000000,,-1856649249.000000,3049241673.000000,3823680145.000000,-56533160183.000000,-681190872.000000,-57214351055.000000,2455910493.000000,,2455910493.000000,-54758440562.000000,-57214351056.000000,-50291005159.000000,-6923345897.000000,-57214351056.000000,-54758440562.000000,-47868291381.000000,-6890149181.000000,-54758440562.000000
12M 2021,47833682344.000000,-25367166881.000000,22466515463.000000,-76381492718.000000,-5126507048.000000,-71254985670.000000,-76381492718.000000,-53914977255.000000,73817999081.000000,50377599769.000000,-7956219977.000000,6553931250.000000,,-1285459548.000000,26128147587.000000,73817999081.000000,19903021826.000000,84761944.000000,19987783770.000000,4453653535.000000,,4453653535.000000,24441437305.000000,19987783770.000000,21693353275.000000,-1705569505.000000,19987783770.000000,24441437305.000000,25963165003.000000,-1521727698.000000,24441437305.000000
12M 2022,57039668930.000000,-30472874042.000000,26566794888.000000,-86352431558.000000,-5715985284.000000,-80636446274.000000,-86352431558.000000,-59785636670.000000,90341175261.000000,113530601263.000000,-19646242042.000000,1599704693.000000,,-1199862037.000000,-3943026616.000000,90341175261.000000,30555538591.000000,136968986.000000,30692507577.000000,671429706.000000,,671429706.000000,31363937283.000000,30692507577.000000,31096724286.000000,-404216709.000000,30692507577.000000,31363937283.000000,31735122318.000000,-371185035.000000,31363937283.000000
