Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pendapatan Bunga,Pembayaran Kas Kepada Karyawan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Pembayaran Pajak Revaluasi,Pembayaran Lebih Bayar Pajak Revaluasi,Pembayaran Beban Pajak Final,Pembayaran Beban Bunga Dan Provisi Yang Dikapitalisasi Ke Persediaan Real Estate,Pembayaran Beban Usaha,Pembayaran Kas Kepada Pemasok Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dari Pengembalian Investasi Dari Entitas Asosiasi,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Penurunana (Kenaikan) Deposito Berjangka Dan Rekening Yang Dibatasi Penggunaannya,Penambahan Properti Investasi,Pembayaran Bunga Dan Provisi Yang Dikapitalisasi Ke Properti Investasi,Aset Tetap,Properti Investasi,Total Pembayaran Bunga Dan Provisi Yang Dikapitalisasi Ke Properti Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Penambahan Investasi Pada Entitas Asosiasi,Pembayaran Utang Atas Pembelian Aset Tetap,Investasi Dalam Saham Entitas Anak -Bersih Setelah Dikurangi Saldo Kas Entitas Anak,Uang Muka Investasi Dalam Saham Anak Perusahaan,Penurunan (Kenaikan) Piutang Dari Pihak Berelasi,Pemberian Piutang Kepada Pihak Berelasi,Investasi Dalam Saham Entitas Anak Asosiasi,Uang Muka Investasi Dalam Saham Perusahaan Asosiasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penambahan Utang Bank,Penerimaan (Pembayaran) Dari Entitas Non Pengendali,Penambahan Uang Muka Setoran Modal,Penerimanaan Penerbitan Obligasi,Penerimaan Utang Obligasi,Penerimaan Dari Pihak Nonpengendali,Pembayaran Utang Kepada Pihak Berelasi,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Biaya Penawaran Umum Perdana,Penambahan Utang Pembelian Kendaraan,Pembayaran Utang Bank Jangka Pendek,Penerimanan Utang Bank Jangka Pendek,Pembayaran Utang Pembelian Kendaraan,Pembayaran Bunga Obligasi,Pembayaran Obligasi,Pembayaran Biaya Emisi Obligasi,Pembayaran Biaya Emisi Saham,Pembayaran Utang Kepada Lembaga Keuangan,Penurunan (Kenaikan) Utang Kepada Pihak Berelasi,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,-84429735364.000000,71934162877.000000,1075690691.000000,-5589359919.000000,,-5324681280.000000,,,,-5067127083.000000,-4600029387.000000,-136858391263.000000,-84429735364.000000,-459809300.000000,,,,-459809300.000000,,,,,,,,,,,,,,,,,,-459809300.000000,109761941713.000000,,80000000000.000000,,29500000000.000000,,,,,,,261941713.000000,,,,,,,,,,,109761941713.000000,24872397049.000000,4016693867.000000,,28889090916.000000
12M 2011,-3260385755.000000,244744485748.000000,2350156842.000000,-12827602457.000000,,-15308540599.000000,,,,-15823303674.000000,-53449665579.000000,-152945916036.000000,-3260385755.000000,-516586136676.000000,11670000000.000000,,-13086484293.000000,-18646073125.000000,,,,-939536604.000000,,-939536604.000000,,,,,-53937593675.000000,,-76517066050.000000,,-365129382929.000000,,,-516586136676.000000,987276904417.000000,917275438031.000000,90000000000.000000,291037500.000000,,,,,,,,,,,-89571114.000000,,,,,,-20200000000.000000,,987276904417.000000,467430381986.000000,28889090916.000000,,496319472902.000000
12M 2012,185573400207.000000,598376340953.000000,31516798824.000000,-30808448731.000000,,-33292491044.000000,,,,-24251853081.000000,-33583939672.000000,-322383007042.000000,185573400207.000000,-164199829915.000000,32000000000.000000,,-150329137073.000000,-44563304656.000000,,,,-436567873.000000,-1024389507.000000,-1460957380.000000,,,,,,,153569194.000000,,,,,-164199829915.000000,-7101650659.000000,,38252385176.000000,-291037500.000000,,,,,,,,,,,-99011296.000000,,,,-1756694248.000000,,-3207292792.000000,-39999999999.000000,-7101650659.000000,14271919633.000000,496319472902.000000,-109455772.000000,510481936763.000000
12M 2013,-63376730735.000000,141029548749.000000,44216765945.000000,-56027446179.000000,2984021886.000000,-14438460353.000000,,,,-6126532658.000000,,-175014628125.000000,-63376730735.000000,392059624809.000000,178200000000.000000,,152010852419.000000,-39960037646.000000,,,,-5223187034.000000,-338091000.000000,-5561278034.000000,,,,,,,112350969071.000000,-1678981001.000000,-3301900000.000000,,,392059624809.000000,-87671077590.000000,,51587985856.000000,,,,,,,,,,,,-73359303.000000,,,,,,-87704142.000000,-139098000001.000000,-87671077590.000000,241011816484.000000,510481936763.000000,458004580.000000,751951757827.000000
12M 2014,-257726788804.000000,175492616049.000000,30894703684.000000,-49371988985.000000,,-19232351518.000000,,,,,,-395509768034.000000,-257726788804.000000,14404874625.000000,58400000000.000000,,-803586250.000000,-29049394845.000000,,-1126685243.000000,,-9232451079.000000,,-9232451079.000000,,,,,-2881988959.000000,-2580000000.000000,1678981001.000000,,,,,14404874625.000000,-454415433685.000000,,34998953182.000000,5001750000.000000,,,,,,,,,,,,,,,,-490000000000.000000,-2916136867.000000,-1500000000.000000,-454415433685.000000,-697737347864.000000,751951757827.000000,200872584.000000,54415282547.000000
12M 2015,-90584303847.000000,133899613420.000000,11019469609.000000,-56032427959.000000,,-4734251798.000000,-62902321070.000000,,-8764156978.000000,,-19940129906.000000,-83130099165.000000,-90584303847.000000,90123355650.000000,103056000000.000000,,-3861683194.000000,-4972751171.000000,,-603851985.000000,,,,,,,,,,-3420000000.000000,-74358000.000000,,,,,90123355650.000000,80205489014.000000,,15518367826.000000,4434300000.000000,,72000000000.000000,,,,,,,,,,,,-5540386976.000000,,,-206791836.000000,-6000000000.000000,80205489014.000000,79744540817.000000,54415282547.000000,715334310.000000,134875157674.000000
12M 2016,-107982102731.000000,137143476148.000000,7015620281.000000,-37182364441.000000,,-4351592962.000000,,10961501603.000000,-10868416966.000000,,-29045985607.000000,-181654340787.000000,-107982102731.000000,55778943883.000000,1014950000000.000000,,-1127685895.000000,-499322749.000000,,-8574123135.000000,,,,,,,-946670000000.000000,-2374282338.000000,,,74358000.000000,,,,,55778943883.000000,57087902097.000000,,60500663350.000000,5391652500.000000,,,,,,,,,-28494992934.000000,26440579181.000000,,,,,,,,-6750000000.000000,57087902097.000000,4884743249.000000,134875157674.000000,109448330.000000,139869349253.000000
12M 2017,-146717219807.000000,80189036640.000000,7680915288.000000,-69784488300.000000,,-3993591829.000000,,,-3128319339.000000,,-34039455957.000000,-123641316310.000000,-146717219807.000000,112653805976.000000,90920000000.000000,,8240103299.000000,-544871735.000000,,-6365484622.000000,,,,,,21884960000.000000,,-1480900966.000000,,,,,,,,112653805976.000000,69264317908.000000,,75503096820.000000,3249675000.000000,,,,,,,,,-26801238945.000000,27062785033.000000,,,,,,,,-9750000000.000000,69264317908.000000,35200904077.000000,139869349253.000000,100344720.000000,175170598050.000000
12M 2018,-145615316186.000000,85351011556.000000,11058934770.000000,-67270114794.000000,,-2284723862.000000,,,-2979708896.000000,,-43429264280.000000,-126061450680.000000,-145615316186.000000,260538937419.000000,272168750000.000000,,5824054712.000000,-2673025154.000000,,-22545180789.000000,,,,,,,,-1537561350.000000,,,,,,9301900000.000000,,260538937419.000000,92562659583.000000,,101933466843.000000,2951325000.000000,,,,,,,,,-184436775032.000000,186161195218.000000,,,,,,,-46552446.000000,-14000000000.000000,92562659583.000000,207486280816.000000,175170598050.000000,-53565396.000000,382603313470.000000
12M 2019,-167908867346.000000,87826268743.000000,21408519658.000000,-63588762804.000000,,-842126971.000000,,,-2726864091.000000,,-53047971754.000000,-156937930127.000000,-167908867346.000000,138856835663.000000,146308000000.000000,,-49744542.000000,-334125023.000000,,-7067294772.000000,,,,,,,,,,,,,,,,138856835663.000000,20869300757.000000,,,1760850000.000000,,,,,,,,,-941185340.000000,34342231399.000000,,,,,,,-292595302.000000,-14000000000.000000,20869300757.000000,-8182730926.000000,382603313470.000000,212583497.000000,374633166041.000000
12M 2020,-135917653720.000000,12632537291.000000,14017400347.000000,-43910178801.000000,,-925957783.000000,,,-1931659855.000000,,-8446991479.000000,-107352803440.000000,-135917653720.000000,70772429905.000000,79706100000.000000,,,-74146500.000000,,-8859523595.000000,,,,,,,,,,,,,,,,70772429905.000000,-72640761776.000000,,,1755000000.000000,,,,,,,,,-180557009072.000000,174873580497.000000,,,-71932333201.000000,,,,3220000000.000000,,-72640761776.000000,-137785985591.000000,374633166041.000000,468692001.000000,237315872451.000000
12M 2021,-174431599849.000000,51388272351.000000,6997556288.000000,-47603620203.000000,,-167164333.000000,,,-1102712253.000000,,-37246572467.000000,-146697359232.000000,-174431599849.000000,36890907699.000000,30603800000.000000,,,-44320527.000000,-30246681.000000,-9058683958.000000,,,,,105072500.000000,15315286365.000000,,,,,,,,,,36890907699.000000,-6977834961.000000,,,2383875000.000000,,,,,,,,,-10281709961.000000,,,,,,,,920000000.000000,,-6977834961.000000,-144518527111.000000,237315872451.000000,128056612.000000,92925401952.000000
12M 2022,-282450293032.000000,55838242459.000000,1463688320.000000,-48830656416.000000,,-18667039423.000000,,,-1199862037.000000,,-43316681158.000000,-227737984777.000000,-282450293032.000000,66007454303.000000,84133100000.000000,,,-869672052.000000,-384482061.000000,-16871491584.000000,,,,,,,,,,,,,,,,66007454303.000000,202367364106.000000,,207200000000.000000,,,,,,,,,,-7132635894.000000,,,,,,,,2300000000.000000,,202367364106.000000,-14075474623.000000,92925401952.000000,-44243707.000000,78805683622.000000
12M 2023,-123803563648.000000,59825831476.000000,4098687014.000000,-46097016480.000000,,-4770671311.000000,,,-1446127587.000000,,-54952486593.000000,-80461780167.000000,-123803563648.000000,353376555339.000000,206387200000.000000,164400000000.000000,,-12299496954.000000,382088998.000000,-5493236705.000000,,,,,,,,,,,,,,,,353376555339.000000,12781145891.000000,,17800000000.000000,,,,,,,,,,,4298795461.000000,,,,,,,2530000000.000000,-11847649570.000000,12781145891.000000,242354137582.000000,78805683622.000000,15353968.000000,321175175172.000000
12M 2024,-139593032549.000000,77281710811.000000,11349165432.000000,-48234700761.000000,,-4224390782.000000,,,-918325360.000000,,-41878889905.000000,-132967601984.000000,-139593032549.000000,324117565984.000000,341208250000.000000,,,-5902162407.000000,-450059352.000000,-10738462257.000000,,,,,,,,,,,,,,,,324117565984.000000,-104747838401.000000,,,,,,,,,,,,-38150439064.000000,29522900663.000000,,,,,,,95499700000.000000,-191620000000.000000,-104747838401.000000,79776695034.000000,321175175172.000000,2702276.000000,400954572482.000000
