Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Aset Pajak Tangguhan,Aset Tetap,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Wesel Bayar,Beban Akrual,Utang Pajak,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Dari Pihak Berelasi,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,21289551769.000000,17966051247.000000,17966051247.000000,17966051247.000000,54156977783.000000,106255809591.000000,,294370696826.000000,494039087216.000000,,,,,39962824717.000000,724785575872.000000,,169991352751.000000,934739753340.000000,1428778840556.000000,,,1324672722609.000000,161027176615.000000,,91379997676.000000,3913777349.000000,95293775025.000000,186798873399.000000,7401000000.000000,225655296274.000000,16351069964.000000,,,582559330025.000000,49020326307.000000,,631579656332.000000,565875000.000000,1324672722609.000000,150523172457.000000,18981593101.000000,6766872600.000000,,,21189501123.000000,,21189501123.000000,103585205633.000000,150523172457.000000,1475195895066.000000,,1359624542100.000000,356296283600.000000,-1762356164452.000000,1000000000.000000,-1763356164452.000000,-1762356164452.000000,18284242.000000,,-46417054510.000000,1428778840556.000000,3111401022.000000
12M 2013,,,17332000000.000000,31812000000.000000,31812000000.000000,31812000000.000000,22272000000.000000,134294000000.000000,,38535000000.000000,244245000000.000000,,,,,2565000000.000000,459264000000.000000,,235067000000.000000,696896000000.000000,941141000000.000000,,,845368000000.000000,,,95291000000.000000,2823000000.000000,98114000000.000000,73160000000.000000,3657000000.000000,90936000000.000000,1999000000.000000,,,536637000000.000000,40359000000.000000,,576996000000.000000,506000000.000000,845368000000.000000,467769000000.000000,1234000000.000000,7409000000.000000,,,273619000000.000000,,273619000000.000000,185507000000.000000,467769000000.000000,1313137000000.000000,,1423560000000.000000,292360000000.000000,-2087962000000.000000,1000000000.000000,-2088962000000.000000,-2087962000000.000000,46000000.000000,,-371996000000.000000,941141000000.000000,3111401022.000000
12M 2014,,,31668000000.000000,32667000000.000000,32667000000.000000,32667000000.000000,18322000000.000000,167665000000.000000,,46889000000.000000,297211000000.000000,,,,,4814000000.000000,406365000000.000000,,192221000000.000000,603400000000.000000,900611000000.000000,,,386373000000.000000,,,130579000000.000000,783000000.000000,131362000000.000000,99165000000.000000,16172000000.000000,86445000000.000000,1662000000.000000,,,12297000000.000000,38761000000.000000,,51058000000.000000,509000000.000000,386373000000.000000,880715000000.000000,13550000000.000000,,74285000000.000000,,665302000000.000000,,665302000000.000000,127578000000.000000,880715000000.000000,1267088000000.000000,,1423560000000.000000,292360000000.000000,-2082159000000.000000,1000000000.000000,-2083159000000.000000,-2082159000000.000000,-238000000.000000,,-366477000000.000000,900611000000.000000,3111401022.000000
12M 2015,,,3472264.000000,3916436.000000,3916436.000000,3916436.000000,1202039.000000,22174855.000000,,2507412.000000,33273006.000000,,369840.000000,369840.000000,369840.000000,516144.000000,35711424.000000,,15144868.000000,51742276.000000,85015282.000000,,,37318594.000000,,,11229123.000000,54201.000000,11283324.000000,12434168.000000,800000.000000,8584446.000000,380839.000000,,,981158.000000,2817741.000000,,3798899.000000,36918.000000,37318594.000000,69306146.000000,720970.000000,,5971447.000000,,52129077.000000,65401.000000,52194478.000000,10419251.000000,69306146.000000,106624740.000000,,225503086.000000,138928258.000000,-214408287.000000,249593.000000,-214657880.000000,-214408287.000000,-17706.000000,-171614809.000000,-21609458.000000,85015282.000000,3111401022.000000
12M 2016,,,3725437.000000,3492145.000000,3492145.000000,3492145.000000,602842.000000,23558136.000000,,3088610.000000,34467170.000000,,,,,376366.000000,40202223.000000,,16526087.000000,57104676.000000,91571846.000000,,,39040191.000000,,,15541957.000000,49146.000000,15591103.000000,13465499.000000,300000.000000,7299877.000000,398002.000000,,,1642438.000000,305367.000000,,1947805.000000,37905.000000,39040191.000000,67973936.000000,706967.000000,,5971447.000000,,50704003.000000,124693.000000,50828696.000000,10466826.000000,67973936.000000,107014127.000000,,225503086.000000,138928258.000000,-214120192.000000,249593.000000,-214369785.000000,-214120192.000000,-15924.000000,-165737509.000000,-15442281.000000,91571846.000000,3111401022.000000
12M 2017,,,3076723.000000,2200410.000000,2200410.000000,2200410.000000,627597.000000,19752248.000000,,2976542.000000,28633520.000000,,,,,333411.000000,40474481.000000,,13086185.000000,53894077.000000,82527597.000000,,,29974970.000000,,,8369131.000000,916.000000,8370047.000000,10532127.000000,300000.000000,8201495.000000,594585.000000,,,1667358.000000,271453.000000,,1938811.000000,37905.000000,29974970.000000,51684826.000000,469917.000000,,6106909.000000,,33144766.000000,644152.000000,33788918.000000,11319082.000000,51684826.000000,81659796.000000,,232072575.000000,147205814.000000,-213141241.000000,249593.000000,-213390834.000000,-213141241.000000,-16949.000000,-165252398.000000,867801.000000,82527597.000000,3111401022.000000
12M 2018,,,5817102.000000,4041995.000000,4041995.000000,4041995.000000,611896.000000,21258272.000000,,9316835.000000,41046100.000000,,,,,2231480.000000,46247665.000000,,11664873.000000,60144018.000000,101190118.000000,,,90200114.000000,,,14752440.000000,,14752440.000000,5810445.000000,3335840.000000,12929272.000000,720138.000000,8000000.000000,,39890063.000000,905843.000000,3818168.000000,44614074.000000,37905.000000,90200114.000000,6004287.000000,334738.000000,,,,,2033462.000000,2033462.000000,3636087.000000,6004287.000000,96204401.000000,,232072575.000000,147205814.000000,-209779966.000000,249593.000000,-210029559.000000,-209779966.000000,-15668.000000,-164497038.000000,4985717.000000,101190118.000000,3986916802.000000
12M 2019,,,2180607.000000,2760765.000000,2760765.000000,2760765.000000,523145.000000,22209819.000000,,5205463.000000,32879799.000000,,,,,2220713.000000,57568875.000000,,12370578.000000,72160166.000000,105039965.000000,,,95539486.000000,,,17995104.000000,,17995104.000000,9998114.000000,,15930449.000000,882300.000000,6000000.000000,,39708915.000000,1169799.000000,3818168.000000,44696882.000000,36637.000000,95539486.000000,4936330.000000,184090.000000,,,,,1177850.000000,1177850.000000,3574390.000000,4936330.000000,100475816.000000,,232072575.000000,147205814.000000,-219151149.000000,249593.000000,-219400742.000000,-219151149.000000,-17510.000000,-155545581.000000,4564149.000000,105039965.000000,3986916802.000000
12M 2020,,,964395.000000,1407997.000000,1407997.000000,1407997.000000,236236.000000,9563594.000000,,4708354.000000,16880576.000000,,,,,2613792.000000,53769454.000000,,11835500.000000,68218746.000000,85099322.000000,,,98991041.000000,,,21006017.000000,,21006017.000000,6480362.000000,2895533.000000,17210726.000000,599787.000000,6493740.000000,,39708915.000000,741686.000000,3818168.000000,44268769.000000,36107.000000,98991041.000000,4200043.000000,332341.000000,,,,,838689.000000,838689.000000,3029013.000000,4200043.000000,103191084.000000,,232072575.000000,147205814.000000,-238778723.000000,249593.000000,-239028316.000000,-238778723.000000,-18264.000000,-158573164.000000,-18091762.000000,85099322.000000,3986916802.000000
12M 2021,,,1232538.000000,1212036.000000,1212036.000000,1212036.000000,2288318.000000,10682167.000000,,10910578.000000,26325637.000000,,,,,2398802.000000,50039564.000000,,10944019.000000,63382385.000000,89708022.000000,,,100694422.000000,,,18520918.000000,,18520918.000000,9541186.000000,1559304.000000,19264671.000000,828069.000000,6672440.000000,,39708915.000000,733162.000000,3818168.000000,44260245.000000,47589.000000,100694422.000000,3538973.000000,339531.000000,,,,,568870.000000,568870.000000,2630572.000000,3538973.000000,104233395.000000,,232072575.000000,147205814.000000,-235339222.000000,249593.000000,-235588815.000000,-235339222.000000,-22328.000000,-158442212.000000,-14525373.000000,89708022.000000,3986916802.000000
