Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Pengembalian Pajak Pertambahan Nilai,Pembayaran Untuk Beban Usaha,Penerimaan Dari Penghasilan Bunga - Neto,Pembayaran Untuk Beban Keuangan,Penerimaan (Pembayaran) Lainnya - Neto,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Saham Anak Perusahaan,Penambahan Hutan Tanaman Industri Dalam Pengembangan,Perolehan Biaya Tangguhan Pengelolaan Hak Pengusahaan Hutan,Perolehan Aset Tetap,Penerimaan Deviden,Hasil Penjualan Aset Tetap,Hasil Penjualan Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan (Pelunasan) Wesel Bayar,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Liabilitas Jangka Pendek Lainnya,Pembayaran Laibilitas Jangka Pendek Lainnya,Pembayaran Pinjaman Jangka Pendek,Pembayaran Piutang Lain-Lain,Penerimaan Penerbitan Saham Baru,Penerimaan Utang Sewa Pembiayaan,Pembayaran Liabilitas Pembiayaan,Pembayaran Utang Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,-20566000000.000000,285108000000.000000,-217844000000.000000,,-48265000000.000000,125000000.000000,-6365000000.000000,-33325000000.000000,,-20566000000.000000,53180000000.000000,50000000000.000000,-11893000000.000000,,-2080000000.000000,,17153000000.000000,,53180000000.000000,-18728000000.000000,4816000000.000000,-13531000000.000000,,,-3000000000.000000,,,,-7013000000.000000,,-18728000000.000000,13886000000.000000,7404000000.000000,21290000000.000000
12M 2013,-183639000000.000000,162950000000.000000,-308213000000.000000,,-57589000000.000000,3861000000.000000,-40119000000.000000,55471000000.000000,,-183639000000.000000,310496000000.000000,280000000000.000000,,,-861000000.000000,,31357000000.000000,,310496000000.000000,-130815000000.000000,-7000000000.000000,-97204000000.000000,,,-8696000000.000000,,,,-17915000000.000000,,-130815000000.000000,-3958000000.000000,21290000000.000000,17332000000.000000
12M 2014,34541000000.000000,532312000000.000000,-405324000000.000000,,-43495000000.000000,119000000.000000,-24261000000.000000,-24810000000.000000,,34541000000.000000,13951000000.000000,14850000000.000000,,,-1013000000.000000,,114000000.000000,,13951000000.000000,-34156000000.000000,12166000000.000000,-36070000000.000000,,,,,,,-2000000000.000000,-8252000000.000000,-34156000000.000000,14336000000.000000,17332000000.000000,31668000000.000000
12M 2015,4175861.000000,67505943.000000,-57201785.000000,,-3876420.000000,14563.000000,-2981642.000000,715202.000000,,4175861.000000,-443609.000000,,,,-489072.000000,,45463.000000,,-443609.000000,-2805654.000000,-500000.000000,-1877281.000000,,,,,,,-428373.000000,,-2805654.000000,926598.000000,2545666.000000,3472264.000000
12M 2016,3184769.000000,80789930.000000,-75195114.000000,,,11564.000000,-2777390.000000,355779.000000,,3184769.000000,-197942.000000,,,,-239758.000000,,41816.000000,,-197942.000000,-2733654.000000,-500000.000000,-1861507.000000,,,,,,,-372147.000000,,-2733654.000000,253173.000000,3472264.000000,3725437.000000
12M 2017,121929.000000,72372222.000000,-74113989.000000,,,42403.000000,-1793786.000000,3615079.000000,,121929.000000,47486.000000,,,,-7523.000000,,55009.000000,,47486.000000,-818129.000000,,-396032.000000,,,,,,,-422097.000000,,-818129.000000,-648714.000000,3725437.000000,3076723.000000
12M 2018,4464362.000000,100304131.000000,-96022908.000000,,,18899.000000,-2628621.000000,2792861.000000,,4464362.000000,-9148610.000000,,,-3177474.000000,-6008765.000000,,37629.000000,,-9148610.000000,7424627.000000,3249383.000000,-1786876.000000,,,4221857.000000,,,2350200.000000,-609937.000000,,7424627.000000,2740379.000000,3076723.000000,5817102.000000
12M 2019,4593000.000000,74789332.000000,-74841113.000000,,,18379.000000,-3450614.000000,8077016.000000,,4593000.000000,-5085455.000000,,,,-5086295.000000,,840.000000,,-5085455.000000,-3144040.000000,2000000.000000,-181146.000000,,,-4000000.000000,,,,-962894.000000,,-3144040.000000,-3636495.000000,5817102.000000,2180607.000000
12M 2020,2654836.000000,61761519.000000,-60085329.000000,,,11332.000000,-2398376.000000,3365690.000000,,2654836.000000,-2421668.000000,,,-183859.000000,-2252476.000000,7081.000000,7586.000000,,-2421668.000000,-1449380.000000,-451790.000000,,,,,,,,-997590.000000,,-1449380.000000,-1216212.000000,2180607.000000,964395.000000
12M 2021,-3716044.000000,83479907.000000,-88506163.000000,,,110828.000000,-1998329.000000,3197713.000000,,-3716044.000000,5849830.000000,,,,-790276.000000,,6640106.000000,,5849830.000000,-1865643.000000,-1420936.000000,,,,,,,,-444707.000000,,-1865643.000000,268143.000000,964395.000000,1232538.000000
