Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,303056000000.000000,-294547000000.000000,8509000000.000000,-230957000000.000000,-55467000000.000000,-175490000000.000000,-230957000000.000000,,-222448000000.000000,105494000000.000000,107000000.000000,-120254000000.000000,,225641000000.000000,105494000000.000000,-116954000000.000000,-32598000000.000000,,,-32598000000.000000,-32598000000.000000,-149552000000.000000,-1132000000.000000,-150684000000.000000,,-150684000000.000000,-150684000000.000000,-150613000000.000000,-71000000.000000,-150684000000.000000,-150684000000.000000,-150613000000.000000,-71000000.000000,-150684000000.000000
12M 2013,177698000000.000000,-148265000000.000000,29433000000.000000,-99873000000.000000,-51769000000.000000,-48104000000.000000,-99873000000.000000,,-70440000000.000000,-220555000000.000000,3861000000.000000,-224416000000.000000,,,-220555000000.000000,-290995000000.000000,-35354000000.000000,,,-35354000000.000000,-35354000000.000000,-326349000000.000000,770000000.000000,-325579000000.000000,,-325579000000.000000,-325579000000.000000,-325606000000.000000,27000000.000000,-325579000000.000000,-325579000000.000000,-325606000000.000000,27000000.000000,-325579000000.000000
12M 2014,531317000000.000000,-482975000000.000000,48342000000.000000,-81500000000.000000,-48199000000.000000,-33301000000.000000,-81500000000.000000,,-33158000000.000000,48744000000.000000,105277000000.000000,-56533000000.000000,,,48744000000.000000,15586000000.000000,-10067000000.000000,,,-10067000000.000000,-10067000000.000000,5519000000.000000,,5519000000.000000,,5519000000.000000,5519000000.000000,5803000000.000000,-284000000.000000,5519000000.000000,5519000000.000000,5803000000.000000,-284000000.000000,5519000000.000000
12M 2015,64284265.000000,-53160297.000000,11123968.000000,-7481925.000000,-4409509.000000,-3072416.000000,-7481925.000000,,3642043.000000,-3677431.000000,18204.000000,-3695635.000000,,,-3677431.000000,-35388.000000,345015.000000,-4226.000000,,349241.000000,345015.000000,309627.000000,,309627.000000,8617674.000000,8927301.000000,309627.000000,310562.000000,-935.000000,309627.000000,8927301.000000,8925827.000000,1474.000000,8927301.000000
12M 2016,73717004.000000,-60667093.000000,13049911.000000,-6314010.000000,-5773215.000000,-540795.000000,-6314010.000000,,6735901.000000,-6137945.000000,13775.000000,-6151720.000000,,,-6137945.000000,597956.000000,-214508.000000,-4252.000000,-52659.000000,-157597.000000,-214508.000000,383448.000000,,383448.000000,5783729.000000,6167177.000000,383448.000000,384284.000000,-836.000000,383448.000000,6167177.000000,6165395.000000,1782.000000,6167177.000000
12M 2017,65920016.000000,-58768879.000000,7151137.000000,-2869281.000000,-5542135.000000,2672854.000000,-2869281.000000,,4281856.000000,-3735764.000000,58552.000000,-3794316.000000,,,-3735764.000000,546092.000000,800074.000000,-11710.000000,,811784.000000,800074.000000,1346166.000000,,1346166.000000,116870.000000,1463036.000000,1346166.000000,1347118.000000,-952.000000,1346166.000000,1463036.000000,1464062.000000,-1026.000000,1463036.000000
12M 2018,93849379.000000,-79094218.000000,14755161.000000,-5314749.000000,-6782567.000000,1467818.000000,-5314749.000000,,9440412.000000,-8130406.000000,23625.000000,-8154031.000000,,,-8130406.000000,1310006.000000,1957390.000000,-2105.000000,,1959495.000000,1957390.000000,3267396.000000,,3267396.000000,850520.000000,4117916.000000,3267396.000000,3267119.000000,277.000000,3267396.000000,4117916.000000,4116635.000000,1281.000000,4117916.000000
12M 2019,65923702.000000,-63648009.000000,2275693.000000,-6724621.000000,-5711954.000000,-1012667.000000,-6724621.000000,,-4448928.000000,-4967849.000000,22502.000000,-4990351.000000,,,-4967849.000000,-9416777.000000,161651.000000,-4500.000000,,166151.000000,161651.000000,-9255126.000000,,-9255126.000000,8833558.000000,-421568.000000,-9255126.000000,-9252905.000000,-2221.000000,-9255126.000000,-421568.000000,-419726.000000,-1842.000000,-421568.000000
12M 2020,52524459.000000,-55597323.000000,-3072864.000000,-13652703.000000,-4304988.000000,-9347715.000000,-13652703.000000,,-16725567.000000,-4522904.000000,8222.000000,-3453177.000000,-1077949.000000,,-4522904.000000,-21248471.000000,192742.000000,-1644.000000,-42391.000000,236777.000000,192742.000000,-21055729.000000,,-21055729.000000,-1600182.000000,-22655911.000000,-21055729.000000,-21056528.000000,799.000000,-21055729.000000,-22655911.000000,-22655157.000000,-754.000000,-22655911.000000
12M 2021,71396229.000000,-62048805.000000,9347424.000000,-3275557.000000,-5092750.000000,1817193.000000,-3275557.000000,,6071867.000000,-2424966.000000,139016.000000,-3625627.000000,1061645.000000,,-2424966.000000,3646901.000000,-211158.000000,-27803.000000,-1125.000000,-182230.000000,-211158.000000,3435743.000000,,3435743.000000,130646.000000,3566389.000000,3435743.000000,3439501.000000,-3758.000000,3435743.000000,3566389.000000,3570453.000000,-4064.000000,3566389.000000
