Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,-7.24,-14.92,-7.24,-14.92,800 B,28 B,828 B,807 B,(831 B)
12M 2013,-0.62,-119.57,-0.62,-119.57,581 B,281 B,862 B,844 B,(601 B)
12M 2014,-0.53,-117.71,-0.53,-117.71,67 B,665 B,733 B,701 B,(89 B)
12M 2015,-0.53,-95.73,-0.53,-95.73,63 B,720 B,783 B,736 B,(56 B)
12M 2016,-2.85,-66.62,-2.85,-66.62,30 B,683 B,713 B,663 B,(61 B)
12M 2017,49.35,3.85,49.35,3.85,30 B,458 B,488 B,446 B,(18 B)
12M 2018,5.56,18.17,5.56,18.17,810 B,29 B,840 B,755 B,(712 B)
12M 2019,3.13,15.97,3.13,15.97,705 B,16 B,721 B,691 B,(871 B)
12M 2020,-0.78,-63.94,-0.78,-63.94,757 B,12 B,769 B,755 B,"(1,158 B)"
12M 2021,-0.96,-51.94,-0.96,-51.94,749 B,8 B,758 B,740 B,"(1,062 B)"
12M 2022,1.86,85.27,1.86,85.27,138 B,5 B,143 B,116 B,(260 B)
12M 2023,4.12,33.95,4.12,33.95,147 B,4 B,151 B,139 B,(488 B)
12M 2024,1.25,65.43,1.25,65.43,31 B,82 B,112 B,73 B,(213 B)
