Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Jasa Administrasi,Provisi Dan Komisi Lainnya,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan Dan Non- Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Others,Total Beban Usaha,Laba Usaha,Pendapatan Non-Operasional,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,272642095000.000000,-144911630000.000000,127730465000.000000,-97523358000.000000,13551001000.000000,2482527000.000000,1904907000.000000,-76320773000.000000,-41582061000.000000,-2679051000.000000,5120092000.000000,-97523358000.000000,30207107000.000000,1298311000.000000,31505418000.000000,-7851380000.000000,23654038000.000000,,,,23654038000.000000,23654038000.000000,23654038000.000000,,23654038000.000000,23654038000.000000,23654038000.000000,,23654038000.000000
12M 2013,343062959000.000000,-189531395000.000000,153531564000.000000,-112139619000.000000,14379960000.000000,2145835000.000000,4644183000.000000,-79747396000.000000,-55730501000.000000,-2970196000.000000,5138496000.000000,-112139619000.000000,41391945000.000000,557503000.000000,41949448000.000000,-10489962000.000000,31459486000.000000,,,,31459486000.000000,31459486000.000000,31459486000.000000,,31459486000.000000,31459486000.000000,31459486000.000000,,31459486000.000000
12M 2014,419730921000.000000,-259576855000.000000,160154066000.000000,-127573961000.000000,13763609000.000000,2185303000.000000,2398732000.000000,-89058754000.000000,-59878352000.000000,-2610127000.000000,5625628000.000000,-127573961000.000000,32580105000.000000,1153496000.000000,33733601000.000000,-8942612000.000000,24790989000.000000,,,,24790989000.000000,24790989000.000000,24790989000.000000,,24790989000.000000,24790989000.000000,24790989000.000000,,24790989000.000000
12M 2015,490105173000.000000,-316600479000.000000,173504694000.000000,-117526790000.000000,24477323000.000000,2029903000.000000,9493299000.000000,-88265368000.000000,-64911818000.000000,-6489080000.000000,6138951000.000000,-117526790000.000000,55977904000.000000,-1324262000.000000,54653642000.000000,-14463820000.000000,40189822000.000000,183237753000.000000,183237753000.000000,183237753000.000000,223427575000.000000,40189822000.000000,40189822000.000000,,40189822000.000000,223427575000.000000,223427575000.000000,,223427575000.000000
12M 2016,523187980000.000000,-291577126000.000000,231610854000.000000,-140032043000.000000,28012490000.000000,5039751000.000000,2511638000.000000,-102950940000.000000,-69656945000.000000,-9012291000.000000,6024254000.000000,-140032043000.000000,91578811000.000000,420286000.000000,91999097000.000000,-23841587000.000000,68157510000.000000,-2050404000.000000,-2050404000.000000,-2050404000.000000,66107106000.000000,68157510000.000000,68157510000.000000,,68157510000.000000,66107106000.000000,66107106000.000000,,66107106000.000000
12M 2017,495687668000.000000,-267056482000.000000,228631186000.000000,-136879728000.000000,26338978000.000000,6620948000.000000,,-104796916000.000000,-69716289000.000000,-1022994000.000000,5696545000.000000,-136879728000.000000,91751458000.000000,1408905000.000000,93160363000.000000,-23663171000.000000,69497192000.000000,-18951940000.000000,-18951940000.000000,-18951940000.000000,50545252000.000000,69497192000.000000,69497192000.000000,,69497192000.000000,50545252000.000000,50545252000.000000,,50545252000.000000
12M 2018,511186044000.000000,-276263254000.000000,234922790000.000000,-164951762000.000000,22185674000.000000,2511681000.000000,,-118434821000.000000,-71787534000.000000,-5873603000.000000,6446841000.000000,-164951762000.000000,69971028000.000000,25243282000.000000,95214310000.000000,-24200444000.000000,71013866000.000000,3117033000.000000,3117033000.000000,3117033000.000000,74130899000.000000,71013866000.000000,71013866000.000000,,71013866000.000000,74130899000.000000,74130899000.000000,,74130899000.000000
12M 2019,595200789000.000000,-354239522000.000000,240961267000.000000,-157694261000.000000,26749149000.000000,1598950000.000000,873609000.000000,-116903532000.000000,-78465490000.000000,,8453053000.000000,-157694261000.000000,83267006000.000000,-2826745000.000000,80440261000.000000,-20693447000.000000,59746814000.000000,3991867000.000000,3991867000.000000,3991867000.000000,63738681000.000000,59746814000.000000,59746814000.000000,,59746814000.000000,63738681000.000000,63738681000.000000,,63738681000.000000
12M 2020,630419914000.000000,-401285815000.000000,229134099000.000000,-142426808000.000000,30065041000.000000,1731864000.000000,,-114827968000.000000,-86143871000.000000,-8923350000.000000,35671476000.000000,-142426808000.000000,86707291000.000000,2847404000.000000,89554695000.000000,-22568224000.000000,66986471000.000000,-6247927000.000000,-6247927000.000000,-6247927000.000000,60506659000.000000,66986471000.000000,66986471000.000000,,66986471000.000000,60506659000.000000,60506659000.000000,,60506659000.000000
12M 2021,900997213000.000000,-624148254000.000000,276848959000.000000,-176140429000.000000,37763423000.000000,1604974000.000000,,-128698048000.000000,-95356352000.000000,-8840971000.000000,17386545000.000000,-176140429000.000000,100708530000.000000,833501000.000000,101542031000.000000,-21379963000.000000,80162068000.000000,112740000.000000,112740000.000000,112740000.000000,80274808000.000000,80162068000.000000,80162068000.000000,,80162068000.000000,80274808000.000000,80274808000.000000,,80274808000.000000
