Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,69306253000.000000,245604132000.000000,138632772000.000000,,1039535000.000000,2690246292000.000000,-6768960000.000000,2684516867000.000000,69725759000.000000,,69725759000.000000,1881711000.000000,,193615207000.000000,3403282701000.000000,,,3812313000.000000,3000102775000.000000,248678245000.000000,2751424530000.000000,3000102775000.000000,7249459000.000000,1834799000.000000,4621492000.000000,,15764235000.000000,,3033385073000.000000,,308100000000.000000,,61797628000.000000,,,61797628000.000000,,369897628000.000000,3403282701000.000000,3081000000.000000
12M 2013,,98041311000.000000,270935545000.000000,455483253000.000000,,57950478000.000000,2894261191000.000000,-5092900000.000000,2947118769000.000000,69861285000.000000,,69861285000.000000,2422522000.000000,,326560851000.000000,4170423536000.000000,,,11220475000.000000,3443576352000.000000,327214475000.000000,3116361877000.000000,3443576352000.000000,45495455000.000000,3720198000.000000,6238299000.000000,,23137786000.000000,,3533388565000.000000,,385100000000.000000,158677857000.000000,93257114000.000000,,,93257114000.000000,,637034971000.000000,4170423536000.000000,3851000000.000000
12M 2014,,74912487000.000000,332756394000.000000,441546234000.000000,,58627770000.000000,3074992791000.000000,-5304554000.000000,3128316007000.000000,90037402000.000000,,90037402000.000000,3083314000.000000,,757923593000.000000,4828575431000.000000,,,9718803000.000000,4059271059000.000000,473021724000.000000,3586249335000.000000,4059271059000.000000,78365319000.000000,630728000.000000,5828841000.000000,,28634721000.000000,,4182449471000.000000,,385100000000.000000,158677857000.000000,99348103000.000000,,,99348103000.000000,3000000000.000000,646125960000.000000,4828575431000.000000,3851000000.000000
12M 2015,,68913296000.000000,331678484000.000000,194096960000.000000,,132502405000.000000,3906068062000.000000,-2300673000.000000,4036269794000.000000,,279772096000.000000,279772096000.000000,,,433205758000.000000,5343936388000.000000,,,4377671000.000000,4344547239000.000000,399707297000.000000,3944839942000.000000,4344547239000.000000,83795968000.000000,,12404197000.000000,4340893000.000000,46463705000.000000,,4495929673000.000000,,385100000000.000000,158677857000.000000,130958223000.000000,6000000000.000000,124958223000.000000,130958223000.000000,173270635000.000000,848006715000.000000,5343936388000.000000,3851000000.000000
12M 2016,,54515170000.000000,282944574000.000000,126971787000.000000,,145810987000.000000,4037552375000.000000,-8612179000.000000,4174751183000.000000,,271967351000.000000,271967351000.000000,9684385000.000000,,560684490000.000000,5481518940000.000000,,,3168362000.000000,4188585489000.000000,329394901000.000000,3859190588000.000000,4188585489000.000000,109030979000.000000,,8739708000.000000,,60382266000.000000,,4369906804000.000000,,385100000000.000000,158677857000.000000,204765704000.000000,10000000000.000000,194765704000.000000,204765704000.000000,363068575000.000000,1111612136000.000000,5481518940000.000000,4443461538.000000
12M 2017,,58620166000.000000,320459013000.000000,63493828000.000000,,175980408000.000000,4346428487000.000000,-9635318000.000000,4512773577000.000000,,444086784000.000000,444086784000.000000,16544963000.000000,,638866951000.000000,6054845282000.000000,,,1367878000.000000,4655524319000.000000,353549723000.000000,4301974596000.000000,4655524319000.000000,134330273000.000000,,8694623000.000000,,92770801000.000000,,4892687894000.000000,,444346154000.000000,296930018000.000000,275953545000.000000,16000000000.000000,259953545000.000000,275953545000.000000,144927671000.000000,1162157388000.000000,6054845282000.000000,4443461538.000000
12M 2018,,102244527000.000000,313439022000.000000,385113861000.000000,,191675708000.000000,4784915696000.000000,-15495592000.000000,4961095812000.000000,,439337143000.000000,439337143000.000000,16143488000.000000,,476649824000.000000,6694023677000.000000,,,4544783000.000000,4933458229000.000000,339617095000.000000,4593841134000.000000,4933458229000.000000,463004209000.000000,,10573582000.000000,,81702279000.000000,,5493283082000.000000,,444346154000.000000,296930018000.000000,313110368000.000000,20000000000.000000,293110368000.000000,313110368000.000000,146354055000.000000,1200740595000.000000,6694023677000.000000,4443461538.000000
12M 2019,,114927155000.000000,355892018000.000000,433983325000.000000,,171469063000.000000,5295437576000.000000,-14621509000.000000,5452285130000.000000,,438379326000.000000,438379326000.000000,16361442000.000000,,757751742000.000000,7569580138000.000000,,,3736600000.000000,5807722699000.000000,390619254000.000000,5417103445000.000000,5807722699000.000000,434475861000.000000,,9506599000.000000,,85206795000.000000,,6340648554000.000000,,444346154000.000000,296930018000.000000,339000139000.000000,22000000000.000000,317000139000.000000,339000139000.000000,148655273000.000000,1228931584000.000000,7569580138000.000000,4443461538.000000
12M 2020,,94867114000.000000,245752629000.000000,690789853000.000000,,146263991000.000000,6761427721000.000000,-27205270000.000000,6880486442000.000000,,433371108000.000000,433371108000.000000,15152031000.000000,4271415000.000000,1745829099000.000000,10110519691000.000000,,,5327546000.000000,8205394897000.000000,359971737000.000000,7845423160000.000000,8205394897000.000000,494711562000.000000,,13185561000.000000,,107638032000.000000,,8826257598000.000000,,444346154000.000000,296930018000.000000,403522622000.000000,22000000000.000000,381522622000.000000,403522622000.000000,139463299000.000000,1284262093000.000000,10110519691000.000000,4443461538.000000
12M 2021,,95180419000.000000,421420858000.000000,1710650170000.000000,,118592754000.000000,8113646176000.000000,-35579876000.000000,8196659054000.000000,,420986976000.000000,420986976000.000000,14071459000.000000,2853888000.000000,3372535760000.000000,14234358584000.000000,,,6386092000.000000,12004244727000.000000,309346826000.000000,11694897901000.000000,12004244727000.000000,745233041000.000000,,7975064000.000000,,139308721000.000000,,12903147645000.000000,,444346154000.000000,296930018000.000000,452256813000.000000,22000000000.000000,430256813000.000000,452256813000.000000,137677954000.000000,1331210939000.000000,14234358584000.000000,4443461538.000000
