Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Penerimaan Dari Pendapatan Operasional Lainnya,"Penerimaan Dari Pendapatan Non-Operasional, Neto","Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Beban Tenaga Kerja Dan Imbalan Kerja,Pembayaran Beban Umum Dan Administrasi,Pembelian Efek-Efek,Pembelian Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Pembayaran Pajak,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Penurunan (Kenaikan) Dalam Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Tagihan Spot Dan Derivatif,Surat – Surat Berharga,Tagihan Akseptasi,Kredit Yang Diberikan,Aset Lain-Lain,Total Penurunan (Kenaikan) Dalam Aset Operasi:,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Liabilitas Spot Dan Derivatif,Hutang Pajak,Liabilitas Akseptasi,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Pembelian) Surat Berharga,Penjualan (Pembelian) Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penjualan (Pembelian) Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Pembelian Efek-Efek,Penerimaan Dari Penjualan Surat Berharga,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penambahan Modal Saham,Penerimaan Dari Penawaran Umum Terbatas I (Put I),Kenaikan Pada Liabilitas Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Biaya Emisi Dari Penawaran Umum Terbatas I (Put I),Pembayaran Dividen Tunai,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,-18801394000.000000,269223567000.000000,20077957000.000000,477158000.000000,-143562133000.000000,-75626403000.000000,-35584123000.000000,,,-7083794000.000000,,,133409684000.000000,,,1003424000.000000,-773723138000.000000,-9016718000.000000,-648326748000.000000,,1129314000.000000,600463621000.000000,-772510000.000000,,652432000.000000,-1003424000.000000,1133692000.000000,601603125000.000000,-18801394000.000000,34743932000.000000,,,,,57884658000.000000,-23961901000.000000,,821175000.000000,34743932000.000000,-22300000000.000000,,,,,-22300000000.000000,,-22300000000.000000,-6357462000.000000,481324622000.000000,918917000.000000,475886077000.000000
12M 2013,266897560000.000000,340730901000.000000,10678151000.000000,382650000.000000,-185145790000.000000,-77153160000.000000,-47806282000.000000,,,-10230909000.000000,,,,,,-1885399000.000000,-260931080000.000000,6026628000.000000,-256789851000.000000,,6918261000.000000,443473578000.000000,38245995000.000000,,816943000.000000,1885399000.000000,891674000.000000,492231850000.000000,266897560000.000000,-129955983000.000000,-118870995000.000000,,,,,-11262838000.000000,,177850000.000000,-129955983000.000000,235677857000.000000,246400000000.000000,,,,,-10722143000.000000,235677857000.000000,372619434000.000000,475886077000.000000,10990504000.000000,859496015000.000000
12M 2014,435404439000.000000,418861177000.000000,20755890000.000000,358923000.000000,-257193904000.000000,-85441129000.000000,-50988546000.000000,,,-11334328000.000000,,,,,,3089470000.000000,-181408892000.000000,-66101925000.000000,-244421347000.000000,,-1522235000.000000,615694707000.000000,32869864000.000000,,1321466000.000000,-3089470000.000000,-466629000.000000,644807703000.000000,435404439000.000000,-155938053000.000000,-127647325000.000000,,,,,-29099128000.000000,,808400000.000000,-155938053000.000000,-15700000000.000000,,,,,-15700000000.000000,,-15700000000.000000,263766386000.000000,859496015000.000000,818402000.000000,1124080803000.000000
12M 2015,-565344513000.000000,483965537000.000000,28582305000.000000,-2261587000.000000,-316095752000.000000,-85908350000.000000,-55114362000.000000,,,-8290847000.000000,-5716684000.000000,,,,,630728000.000000,-904949906000.000000,8736803000.000000,-895582375000.000000,,-6228194000.000000,285276180000.000000,5430650000.000000,,121591000.000000,-630728000.000000,7108103000.000000,291077602000.000000,-565344513000.000000,244651896000.000000,255381816000.000000,,,,,-11725445000.000000,,995525000.000000,244651896000.000000,-12361710000.000000,,,,,-12361710000.000000,,-12361710000.000000,-333054327000.000000,1124080803000.000000,4064211000.000000,795090687000.000000
12M 2016,-188365553000.000000,524933763000.000000,40111445000.000000,410134000.000000,-294425583000.000000,-101179253000.000000,-55850600000.000000,,,-28402026000.000000,,,,,,,-144982022000.000000,-2577977000.000000,-147559999000.000000,,-1114401000.000000,-155961750000.000000,25235011000.000000,,-1145266000.000000,,6582972000.000000,-126403434000.000000,-188365553000.000000,-41279271000.000000,83474302000.000000,-118762125000.000000,,,,-6023728000.000000,,32280000.000000,-41279271000.000000,197498315000.000000,,201436923000.000000,,-3938608000.000000,,,197498315000.000000,-32146509000.000000,795090687000.000000,-1035232000.000000,761908946000.000000
12M 2017,233597722000.000000,494087768000.000000,38286850000.000000,847325000.000000,-266714450000.000000,-100053668000.000000,-60376769000.000000,,,-24916561000.000000,,,,,,,-339045533000.000000,-1653157000.000000,-340698690000.000000,,-810268000.000000,466938830000.000000,25299294000.000000,,665040000.000000,,1043021000.000000,493135917000.000000,233597722000.000000,-449306455000.000000,-152375697000.000000,-111760662000.000000,,,,-181108716000.000000,-4643540000.000000,582160000.000000,-449306455000.000000,,,,,,,,,-215708733000.000000,761908946000.000000,370379000.000000,546570592000.000000
12M 2018,205679472000.000000,510129121000.000000,27679457000.000000,24413939000.000000,-273085643000.000000,-114293911000.000000,-61588867000.000000,,,-23018931000.000000,,,,,,,-454197905000.000000,-25972215000.000000,-480170120000.000000,,2600587000.000000,277933910000.000000,328673936000.000000,,59910000.000000,,-13653916000.000000,595614427000.000000,205679472000.000000,153637317000.000000,168176732000.000000,-10686339000.000000,,,,-4603891000.000000,-165550000.000000,916365000.000000,153637317000.000000,-35547692000.000000,,,,,-35547692000.000000,,-35547692000.000000,323769097000.000000,546570592000.000000,3466867000.000000,873806556000.000000
12M 2019,458469434000.000000,592426484000.000000,38696685000.000000,-3311924000.000000,-352001397000.000000,-109075834000.000000,-69207660000.000000,,,-24672699000.000000,,,,,,,-490315235000.000000,30522054000.000000,-459793181000.000000,,-1749643000.000000,874264470000.000000,-28528348000.000000,,1363693000.000000,,58788000.000000,845408960000.000000,458469434000.000000,-323636262000.000000,-188249801000.000000,-127944489000.000000,,,,-7258172000.000000,-674000000.000000,490200000.000000,-323636262000.000000,-35547692000.000000,,,,,-35547692000.000000,,-35547692000.000000,99285480000.000000,873806556000.000000,-1896266000.000000,971195770000.000000
12M 2020,208404415000.000000,613503018000.000000,66802123000.000000,1653569000.000000,-392114332000.000000,-106963462000.000000,-76495665000.000000,-526943068000.000000,-153884537000.000000,-19826301000.000000,,,,,,,-1440993626000.000000,-217758058000.000000,-1658751684000.000000,,-453646000.000000,2397672198000.000000,60235701000.000000,,1978413000.000000,,1992088000.000000,2461424754000.000000,208404415000.000000,-7000371000.000000,,,,,,-5687658000.000000,-2506548000.000000,1193835000.000000,-7000371000.000000,,,,,,,,,201404044000.000000,971195770000.000000,656085000.000000,1173255899000.000000
12M 2021,2625740712000.000000,879155120000.000000,54997543000.000000,201545000.000000,-618863564000.000000,-138803135000.000000,-84890682000.000000,,,-23152561000.000000,,,,,,,-1324547218000.000000,-202706062000.000000,-1527253280000.000000,,-548088000.000000,3798849830000.000000,250521479000.000000,,-2389125000.000000,,37915630000.000000,4084349726000.000000,2625740712000.000000,-1263413931000.000000,,-90360739000.000000,,-1170028875000.000000,,-4348187000.000000,-203500000.000000,1527370000.000000,-1263413931000.000000,-33325961000.000000,,,,,-33325961000.000000,,-33325961000.000000,1329000820000.000000,1173255899000.000000,1758108000.000000,2504014827000.000000
