Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,1.74,144.06,1.81,138.05,213 B,57 B,269 B,216 B,185 B
12M 2016,1.13,127.90,1.17,124.22,208 B,9 B,217 B,179 B,121 B
12M 2017,1.14,123.12,1.16,120.49,220 B,34 B,254 B,207 B,122 B
12M 2018,1.34,126.98,1.36,125.40,176 B,114 B,290 B,277 B,216 B
12M 2019,0.81,129.78,0.81,129.26,164 B,124 B,288 B,252 B,170 B
12M 2020,0.77,103.26,0.92,87.33,208 B,77 B,285 B,176 B,76 B
12M 2021,1.01,259.44,1.07,245.28,220 B,66 B,286 B,57 B,243 B
12M 2022,1.32,583.42,1.35,571.03,131 B,49 B,181 B,(41 B),608 B
12M 2023,0.47,710.46,0.48,699.84,263 B,21 B,284 B,135 B,624 B
12M 2024,0.44,721.03,0.44,721.03,307 B,27 B,334 B,274 B,550 B
