Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,2207653025157.000000,-2077222272104.000000,130430753053.000000,-114923526995.000000,-101977629728.000000,-12945897267.000000,-114923526995.000000,15507226058.000000,-22352595161.000000,173174013.000000,-28017053064.000000,9769936083.000000,392985914.000000,-4671638107.000000,-22352595161.000000,-6845369103.000000,35047619.000000,,,35047619.000000,-6810321484.000000,-6810321484.000000,-9001110681.000000,-15811432165.000000,-6810321484.000000,-6810320079.000000,-1405.000000,-6810321484.000000,-15811432165.000000,-15811430760.000000,-1405.000000,-15811432165.000000
12M 2016,2253792419520.000000,-2120008525285.000000,133783894235.000000,-113518031507.000000,-106781819912.000000,-6736211595.000000,-113518031507.000000,20265862728.000000,-39901507303.000000,132147720.000000,-40438515687.000000,-718818265.000000,8757576.000000,1114921353.000000,-39901507303.000000,-19635644575.000000,66419892.000000,,,66419892.000000,-19569224683.000000,-19569224683.000000,840224914.000000,-18728999769.000000,-19569224683.000000,-19568621202.000000,-603481.000000,-19569224683.000000,-18728999769.000000,-18728396288.000000,-603481.000000,-18728999769.000000
12M 2017,2627918564007.000000,-2462187235480.000000,165731328527.000000,-125225515616.000000,-116002044059.000000,-9223471557.000000,-125225515616.000000,40505812911.000000,-43452906316.000000,375859291.000000,-49364974635.000000,306854626.000000,-7603860.000000,5236958262.000000,-43452906316.000000,-2947093405.000000,-150812001.000000,,,-150812001.000000,-3097905406.000000,-3097905406.000000,-2445973388.000000,-5543878794.000000,-3097905406.000000,-3097903647.000000,-1759.000000,-3097905406.000000,-5543878794.000000,-5543877035.000000,-1759.000000,-5543878794.000000
12M 2018,3233006982684.000000,-3057566080865.000000,175440901819.000000,-122411626917.000000,-113359692348.000000,-9051934569.000000,-122411626917.000000,53029274902.000000,-46801910807.000000,647411744.000000,-51296888214.000000,1807994638.000000,-10234992.000000,2049806017.000000,-46801910807.000000,6227364095.000000,-670401340.000000,,,-670401340.000000,5556962755.000000,5556962755.000000,-1083222908.000000,4473739847.000000,5556962755.000000,5558213323.000000,-1250568.000000,5556962755.000000,4473739847.000000,4474990415.000000,-1250568.000000,4473739847.000000
12M 2019,2909964456328.000000,-2740599293901.000000,169365162427.000000,-132474025833.000000,-120335751241.000000,-12138274592.000000,-132474025833.000000,36891136594.000000,-30592571322.000000,,-39997893949.000000,-74356195.000000,3346029876.000000,6133648946.000000,-30592571322.000000,6298565272.000000,-1106456261.000000,,,-1106456261.000000,5192109011.000000,5192109011.000000,-1943550790.000000,3248558221.000000,5192109011.000000,5193359627.000000,-1250616.000000,5192109011.000000,3248558221.000000,3249808837.000000,-1250616.000000,3248558221.000000
12M 2020,2597432424347.000000,-2392955809347.000000,204476615000.000000,-156775188243.000000,-143376179031.000000,-13399009212.000000,-156775188243.000000,47701426757.000000,-35075458317.000000,,-40170045361.000000,24637421.000000,2466439170.000000,2603510453.000000,-35075458317.000000,12625968440.000000,-11567420380.000000,-2876679490.000000,-8690740890.000000,-11567420380.000000,1058548060.000000,1058548060.000000,-1019278426.000000,39269634.000000,1058548060.000000,-1276221557.000000,2334769617.000000,1058548060.000000,39269634.000000,-2295499983.000000,2334769617.000000,39269634.000000
12M 2021,3309550194031.000000,-3012066823075.000000,297483370956.000000,-156364034690.000000,-142672388018.000000,-13691646672.000000,-156364034690.000000,141119336266.000000,100723738329.000000,,-31129081062.000000,19367883.000000,,131833451508.000000,100723738329.000000,241843074595.000000,-63794566504.000000,-63722004500.000000,-72562004.000000,-63794566504.000000,178048508091.000000,178048508091.000000,1619706794.000000,179668214885.000000,178048508091.000000,179419547565.000000,-1371039474.000000,178048508091.000000,179668214885.000000,181039254359.000000,-1371039474.000000,179668214885.000000
12M 2022,4830287518791.0,-4233080829875.0,597206688916.0,-163758350175.0,-145205450466.0,-18552899709.0,-163758350175.0,433448338741.0,-26291243457.0,7907952847.0,-26732786444.0,4501556454.0,-398978634.0,-11568987680.0,-26291243457.0,407157095284.0,-32647985240.0,-32708024050.0,60038810.0,-32647985240.0,374509110044.0,374509110044.0,74246220.0,374583356264.0,374509110044.0,375486730238.0,-977620194.0,374509110044.0,374583356264.0,375560976458.0,-977620194.0,374583356264.0
12M 2023,3859879267941.0,-3545806311747.0,314072956194.0,-175705234977.0,-145682809180.0,-30022425797.0,-175705234977.0,138367721217.0,71891888616.0,11412110005.0,-23559221924.0,-1554514593.0,229167.0,85593285961.0,71891888616.0,210259609833.0,-35567647859.0,-35694391990.0,126744131.0,-35567647859.0,174691961974.0,174691961974.0,-27536828029.0,147155133945.0,174691961974.0,174797980396.0,-106018422.0,174691961974.0,147155133945.0,147261152367.0,-106018422.0,147155133945.0
12M 2024,3013056320674.0,-2822400468189.0,190655852485.0,-180022364310.0,-148332618362.0,-31689745948.0,-180022364310.0,10633488175.0,5056980218.0,14417411445.0,-34049555812.0,1853501983.0,-24930385.0,22860552987.0,5056980218.0,15690468393.0,-5907481034.0,-6145167530.0,237686496.0,-5907481034.0,9782987359.0,9782987359.0,1741186758.0,11524174117.0,9782987359.0,9765550608.0,17436751.0,9782987359.0,11524174117.0,11506737366.0,17436751.0,11524174117.0
