Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,53509160902.000000,277523096904.000000,277523096904.000000,,277523096904.000000,34329483347.000000,34329483347.000000,,34329483347.000000,,,121401618688.000000,486763359841.000000,,5759838094.000000,28818542075.000000,1359416140.000000,6959635444.000000,471352677.000000,43368784430.000000,,530132144271.000000,,,301914409763.000000,189606872195.000000,,24742326555.000000,,24742326555.000000,47767850972.000000,,,47767850972.000000,268770016.000000,10270833097.000000,22979953374.000000,6277803554.000000,301914409763.000000,60600409720.000000,56590955720.000000,4009454000.000000,60600409720.000000,362514819483.000000,,579600012000.000000,-11389551711.000000,-278922225054.000000,1750000000.000000,-280672225054.000000,-278922225054.000000,625362644.000000,-122296273091.000000,167617324788.000000,530132144271.000000,1159200024.000000
12M 2016,,,37608649528.000000,211660054574.000000,211660054574.000000,,211660054574.000000,46533059876.000000,46533059876.000000,,46533059876.000000,109668000.000000,,162341787424.000000,458253219402.000000,,6659888215.000000,27363623128.000000,1512051282.000000,4267104142.000000,456030020.000000,40258696787.000000,,498511916189.000000,,,336908914171.000000,173002828259.000000,,33687046230.000000,,33687046230.000000,70193345928.000000,,,70193345928.000000,285972450.000000,3019844285.000000,34683636374.000000,22036240645.000000,336908914171.000000,12714677000.000000,9193683000.000000,3520994000.000000,12714677000.000000,349623591171.000000,,579600012000.000000,-11389551711.000000,-298490846257.000000,1750000000.000000,-300240846257.000000,-298490846257.000000,624759163.000000,-121456048177.000000,148888325018.000000,498511916189.000000,1159200024.000000
12M 2017,,,47514397789.000000,248799416921.000000,248799416921.000000,,248799416921.000000,51133568250.000000,51133568250.000000,,51133568250.000000,,,98037307950.000000,445484690910.000000,,4350834834.000000,25737855114.000000,1800278281.000000,3047931531.000000,24690143154.000000,59627042914.000000,,505111733824.000000,,,323689803205.000000,212660151015.000000,,20593572570.000000,,20593572570.000000,63194799893.000000,,,63194799893.000000,763198408.000000,9717147522.000000,7470000000.000000,9290933797.000000,323689803205.000000,38077484395.000000,33988481395.000000,4089003000.000000,38077484395.000000,361767287600.000000,,579600012000.000000,-11389551711.000000,-291095725972.000000,1750000000.000000,-292845725972.000000,-291095725972.000000,624757404.000000,-134395045497.000000,143344446224.000000,505111733824.000000,1159200024.000000
12M 2018,,,13720644252.000000,266281815527.000000,266281815527.000000,,266281815527.000000,87092246055.000000,87092246055.000000,,87092246055.000000,,,181428843824.000000,548523549658.000000,,2786300699.000000,24249385018.000000,1812210941.000000,1828758920.000000,18692790988.000000,49369446566.000000,,597892996224.000000,,,332509461535.000000,165249799818.000000,,28231624693.000000,,28231624693.000000,48787069635.000000,,,48787069635.000000,797406228.000000,13630215889.000000,11208382517.000000,64604962755.000000,332509461535.000000,117565348618.000000,114031682618.000000,3533666000.000000,117565348618.000000,450074810153.000000,,579600012000.000000,-11389551711.000000,-296527628250.000000,1750000000.000000,-298277628250.000000,-296527628250.000000,623506836.000000,-124488152804.000000,147818186071.000000,597892996224.000000,1159200024.000000
12M 2019,,,36062732427.000000,259850522956.000000,259850522956.000000,,259850522956.000000,61604465831.000000,61604465831.000000,,61604465831.000000,,,156078148843.000000,513595870057.000000,,65097500742.000000,22476930807.000000,2050064430.000000,609586309.000000,18221494620.000000,108455576908.000000,,622051446965.000000,,,343509001933.000000,148579397073.000000,,107491967018.000000,,107491967018.000000,29242260172.000000,,,29242260172.000000,389951441.000000,9934934271.000000,15298533878.000000,32571958080.000000,343509001933.000000,127475700740.000000,123733148740.000000,3742552000.000000,127475700740.000000,470984702673.000000,,579600012000.000000,-11389551711.000000,-291334268623.000000,1750000000.000000,-293084268623.000000,-291334268623.000000,622256220.000000,-126431703594.000000,151066744292.000000,622051446965.000000,1159200024.000000
12M 2020,,,109240792449.000000,297491937732.000000,297491937732.000000,,297491937732.000000,64846619276.000000,,,64846619276.000000,1615658111.000000,,100176904908.000000,573371912476.000000,,60318983259.000000,49537597552.000000,1879836429.000000,18460358197.000000,2719761626.000000,132916537063.000000,,706288449539.000000,,,497735678708.000000,160537927443.000000,,179051379589.000000,,179051379589.000000,20964920809.000000,,,20964920809.000000,341281617.000000,23229075361.000000,47165993036.000000,66445100853.000000,497735678708.000000,81553535704.000000,77352155704.000000,4201380000.000000,81553535704.000000,579289214412.000000,,579600012000.000000,-7852828180.000000,-324607012190.000000,1750000000.000000,-326357012190.000000,-324607012190.000000,7301025837.000000,-127441962340.000000,126999235127.000000,706288449539.000000,1159200024.000000
12M 2021,,,229363711776.000000,436701663769.000000,436701663769.000000,,436701663769.000000,113367693285.000000,,,113367693285.000000,1615658111.000000,,62952728801.000000,844001455742.000000,,60877208000.000000,51057283308.000000,1748880705.000000,16409207286.000000,3035691887.000000,133128271186.000000,,977129726928.000000,,,601013420572.000000,195309075336.000000,,267259611480.000000,,267259611480.000000,30955673951.000000,,,30955673951.000000,38449510459.000000,16007437205.000000,24764011136.000000,28268101005.000000,601013420572.000000,69448856344.000000,66108528344.000000,3340328000.000000,69448856344.000000,670462276916.000000,,579600012000.000000,-7852828180.000000,-145187464625.000000,1750000000.000000,-146937464625.000000,-145187464625.000000,5929986363.000000,-125822255546.000000,306667450012.000000,977129726928.000000,1159200024.000000
12M 2022,,,221378911350.000000,506974337804.000000,506974337804.000000,,506974337804.000000,218220906075.000000,,,218220906075.000000,9649259611.000000,186103409510.000000,287392730377.000000,1429719554727.000000,,57548694432.000000,48328617399.000000,1791503735.000000,14358056375.000000,3386112513.000000,125412984454.000000,,1555132539181.000000,,,821297807289.000000,106610593414.000000,,587571679831.000000,,587571679831.000000,33007470450.000000,,,33007470450.000000,4160000650.000000,20873698862.000000,24678387770.000000,44395976312.000000,821297807289.000000,52583925616.000000,49281339616.000000,3302586000.000000,52583925616.000000,873881732905.000000,,579600012000.000000,-7852828180.000000,103973206607.000000,1750000000.000000,102223206607.000000,103973206607.000000,4952366169.000000,578049680.000000,681250806276.000000,1555132539181.000000,1159200024.000000
12M 2023,,,148703789488.000000,349906095981.000000,349906095981.000000,,349906095981.000000,295299283058.000000,,,295299283058.000000,5026856111.000000,245865218201.000000,276175651245.000000,1320976894084.000000,,107777649433.000000,104902007757.000000,1901395246.000000,12306905464.000000,3381597879.000000,230269555779.000000,,1551246449863.000000,,,697098889524.000000,234385193000.000000,,353800044566.000000,,353800044566.000000,34253380512.000000,,,34253380512.000000,2432151534.000000,14791907815.000000,28197624947.000000,29238587150.000000,697098889524.000000,24977177120.000000,21049458120.000000,3927719000.000000,24977177120.000000,722076066644.000000,,579600012000.000000,-7852828180.000000,278771187003.000000,2750000000.000000,276021187003.000000,278771187003.000000,5610790745.000000,-26958778349.000000,829170383219.000000,1551246449863.000000,1159200024.000000
12M 2024,,,59610487127.000000,310975341753.000000,310975341753.000000,,310975341753.000000,440433555204.000000,,,440433555204.000000,89175661000.000000,344339475292.000000,226162010706.000000,1470696531082.000000,,165833985426.000000,129044246940.000000,2135835022.000000,,22045675028.000000,319059742416.000000,,1789756273498.000000,,,920465207161.000000,283116945000.000000,,512672794977.000000,,512672794977.000000,35802896512.000000,,,35802896512.000000,2419881644.000000,20712555093.000000,23876815690.000000,41863318245.000000,920465207161.000000,30856555675.000000,26722947675.000000,4133608000.000000,30856555675.000000,951321762836.000000,,579600012000.000000,-11389551711.000000,292821893848.000000,3000000000.000000,289821893848.000000,292821893848.000000,2619748116.000000,-25217591591.000000,838434510662.000000,1789756273498.000000,1159200024.000000
